"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","Num Cands","Num Seats"
"2","6","4","3","10","11","8","5","9","7","skipped","11.0","1.0"
"11","1","4","2","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","2","11","3","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","8","4","5","10","2","6","3","1","skipped","skipped","nan","nan"
"11","2","1","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","11","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","11","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","6","3","4","7","9","1","10","8","5","2","nan","nan"
"11","6","4","1","5","7","2","skipped","skipped","skipped","skipped","nan","nan"
"11","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","2","11","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","8","9","7","3","1","6","4","11","10","2","nan","nan"
"5","4","3","2","11","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","8","2","3","5","9","4","10","6","7","1","nan","nan"
"9","8","5","1","6","11","4","10","2","7","3","nan","nan"
"9","1","5","4","11","3","10","2","8","6","skipped","nan","nan"
"1","7","4","10","2","11","5","6","3","skipped","skipped","nan","nan"
"5","3","2","11","1","4","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","8","5","3","1","11","10","9","4","6","7","nan","nan"
"7","3","6","2","1","11","5","8","4","skipped","skipped","nan","nan"
"10","4","2","3","6","11","8","5","7","9","1","nan","nan"
"11","2","4","3","5","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","9","4","5","1","11","6","8","3","10","7","nan","nan"
"2","3","11","6","5","7","8","9","4","10","1","nan","nan"
"5","3","2","10","6","11","7","1","9","8","4","nan","nan"
"4","8","11","2","6","7","1","10","9","5","3","nan","nan"
"10","9","5","1","11","6","2","3","4","skipped","skipped","nan","nan"
"1","8","7","2","10","11","3","6","5","9","4","nan","nan"
"11","8","9","3","7","10","6","2","1","5","4","nan","nan"
"11","4","2","10","1","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","3","5","1","4","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","4","3","8","2","11","9","7","10","5","1","nan","nan"
"11","4","2","3","5","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","4","9","10","1","11","6","7","2","8","3","nan","nan"
"11","8","3","2","6","10","4","7","5","1","skipped","nan","nan"
"5","7","10","9","3","11","4","6","2","8","1","nan","nan"
"1","3","2","11","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","5","7","4","10","8","3","11","1","9","6","nan","nan"
"2","6","10","1","3","9","4","8","5","7","11","nan","nan"
"11","1","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
