"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","Num Cands","Num Seats"
"7","9","11","3","8","6","4","5","1","10","2","11.0","1.0"
"7","4","6","1","10","8","9","5","3","11","2","nan","nan"
"4","6","11","2","5","3","1","skipped","skipped","skipped","skipped","nan","nan"
"8","9","4","5","10","7","6","3","1","11","2","nan","nan"
"6","10","5","2","9","7","8","4","3","11","1","nan","nan"
"11","6","4","3","1","2","5","skipped","skipped","skipped","skipped","nan","nan"
"4","11","6","8","10","7","5","3","1","9","2","nan","nan"
"8","9","6","1","10","4","7","5","3","11","2","nan","nan"
"4","10","6","3","9","5","8","7","1","11","2","nan","nan"
"9","3","6","4","7","5","2","8","10","1","skipped","nan","nan"
"11","4","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","7","10","9","5","2","6","8","1","11","3","nan","nan"
"8","5","9","7","10","2","11","3","1","6","4","nan","nan"
"4","10","2","11","3","7","6","1","8","5","skipped","nan","nan"
"8","10","7","2","6","1","11","5","4","9","3","nan","nan"
"7","8","3","2","9","4","6","1","11","10","5","nan","nan"
"9","8","4","2","10","7","5","6","3","11","1","nan","nan"
"8","9","10","2","6","5","4","1","7","11","3","nan","nan"
"8","6","9","2","5","3","4","7","1","10","11","nan","nan"
"9","11","7","2","10","1","8","6","3","skipped","skipped","nan","nan"
"2","6","9","4","11","5","7","8","1","3","skipped","nan","nan"
"7","11","9","4","8","2","1","6","3","10","5","nan","nan"
"8","10","5","4","11","6","2","3","9","7","1","nan","nan"
"5","11","7","2","8","1","9","6","4","10","3","nan","nan"
"9","6","10","5","11","4","3","2","1","8","7","nan","nan"
"2","9","7","11","6","3","8","5","4","10","1","nan","nan"
"5","10","8","6","9","1","4","7","2","11","3","nan","nan"
"10","7","6","2","11","3","8","4","1","9","5","nan","nan"
"9","11","6","2","7","1","4","3","8","5","skipped","nan","nan"
"8","11","4","7","9","6","5","3","2","10","1","nan","nan"
"8","3","7","4","10","6","9","5","1","11","2","nan","nan"
"3","5","11","7","9","2","10","6","1","8","4","nan","nan"
"11","8","4","7","6","5","2","10","1","9","3","nan","nan"
"7","6","11","8","9","3","5","4","1","10","2","nan","nan"
"6","9","10","1","7","2","8","3","4","11","5","nan","nan"
"11","7","6","3","9","8","5","2","4","10","1","nan","nan"
"10","1","4","8","11","5","3","6","7","9","2","nan","nan"
"3","10","6","2","11","9","4","8","5","7","1","nan","nan"
"11","10","2","1","6","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","9","2","4","5","1","3","11","6","7","8","nan","nan"
"11","8","9","4","7","5","6","1","3","10","2","nan","nan"
"9","6","10","1","8","7","2","5","4","11","3","nan","nan"
"8","11","6","1","10","4","9","3","5","7","2","nan","nan"
"11","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","2","5","4","3","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","5","7","4","11","9","6","8","3","10","1","nan","nan"
"7","4","9","11","10","3","6","5","1","8","2","nan","nan"
"6","9","7","3","10","4","8","2","1","11","5","nan","nan"
"4","10","11","7","8","6","5","2","1","9","3","nan","nan"
"7","3","9","2","10","8","4","6","5","11","1","nan","nan"
"7","5","3","4","9","8","6","10","2","11","1","nan","nan"
"5","8","7","6","11","2","4","9","3","10","1","nan","nan"
"7","11","6","4","8","2","5","10","1","9","3","nan","nan"
"4","7","11","10","5","3","2","1","skipped","skipped","skipped","nan","nan"
"9","11","6","3","8","2","7","5","1","10","4","nan","nan"
"5","10","8","4","9","3","7","6","2","11","1","nan","nan"
"6","2","3","7","10","8","9","4","5","11","1","nan","nan"
"5","9","7","2","10","3","6","8","4","11","1","nan","nan"
"8","10","7","6","9","2","4","3","5","11","1","nan","nan"
"7","4","10","11","6","2","5","1","8","9","3","nan","nan"
"7","8","10","11","6","3","4","5","1","9","2","nan","nan"
"10","5","4","6","3","7","2","11","1","skipped","skipped","nan","nan"
"5","9","4","6","10","1","8","7","3","11","2","nan","nan"
"5","9","8","4","7","10","1","6","2","11","3","nan","nan"
"2","4","3","7","11","5","8","6","1","9","skipped","nan","nan"
"7","6","9","3","10","4","1","8","5","11","2","nan","nan"
