"rank1","rank2","rank3","rank4","rank5","Num Cands","Num Seats"
"5","1","3","2","4","5.0","1.0"
"5","1","3","2","4","nan","nan"
"5","1","3","2","4","nan","nan"
"5","1","3","2","4","nan","nan"
"5","1","3","2","4","nan","nan"
"5","1","3","2","4","nan","nan"
"5","1","3","2","4","nan","nan"
"5","1","3","2","4","nan","nan"
"5","1","3","2","4","nan","nan"
"5","2","1","4","skipped","nan","nan"
"5","2","3","1","4","nan","nan"
"5","1","3","2","4","nan","nan"
"5","1","3","2","4","nan","nan"
"5","1","3","2","4","nan","nan"
"4","5","2","1","3","nan","nan"
"5","1","3","2","4","nan","nan"
"5","1","3","2","4","nan","nan"
"5","1","3","2","skipped","nan","nan"
"5","1","3","2","4","nan","nan"
"5","2","3","1","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"5","1","3","2","4","nan","nan"
"5","1","3","2","4","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"5","1","skipped","skipped","skipped","nan","nan"
"4","5","1","2","3","nan","nan"
"5","1","2","skipped","skipped","nan","nan"
"5","1","3","2","4","nan","nan"
"5","1","3","2","4","nan","nan"
"5","1","3","2","4","nan","nan"
"5","1","3","2","4","nan","nan"
"5","1","3","2","4","nan","nan"
"5","1","3","2","4","nan","nan"
"5","1","4","2","skipped","nan","nan"
"5","1","2","skipped","skipped","nan","nan"
"5","1","3","4","skipped","nan","nan"
"2","5","3","4","1","nan","nan"
"5","2","3","1","4","nan","nan"
