rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
3,7,9,6,5,8,2,1,4,1.0,9.0
4,1,5,3,9,7,2,6,8,,
4,1,2,3,6,9,8,5,7,,
3,2,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,,
1,6,3,7,8,4,5,1,9,,
5,2,6,8,9,9,3,1,4,,
3,1,7,9,2,8,6,4,5,,
2,1,9,7,5,6,3,4,8,,
4,2,3,8,1,5,7,9,6,,
1,3,4,9,9,9,2,9,5,,
1,8,4,6,9,5,3,1,7,,
4,9,1,3,5,7,6,2,8,,
9,4,1,2,9,9,9,3,9,,
7,5,3,1,6,8,2,2,4,,
9,9,9,9,9,9,1,9,9,,
1,2,3,7,4,6,5,8,9,,
9,9,9,9,9,9,1,9,9,,
3,4,8,9,5,7,6,2,1,,
3,5,4,9,6,8,2,1,7,,
1,9,3,9,9,9,9,9,2,,
9,9,9,1,2,9,9,9,9,,
Skipped,Skipped,Skipped,Skipped,2,Skipped,3,1,Skipped,,
2,4,6,8,3,7,5,1,9,,
6,5,8,9,3,7,4,2,1,,
2,1,3,5,4,5,6,4,9,,
7,9,3,6,5,4,8,2,1,,
4,3,5,2,1,9,6,7,8,,
5,2,4,3,6,9,7,1,8,,
9,9,3,9,2,1,3,9,2,,
5,6,4,7,1,2,9,8,3,,
9,9,9,9,9,9,9,9,1,,
9,9,9,4,1,1,9,4,1,,
2,1,4,7,3,6,8,5,9,,
6,9,7,3,2,5,8,1,4,,
9,9,9,9,9,9,9,8,1,,
8,9,6,5,7,1,3,4,2,,
9,9,6,8,1,9,9,7,9,,
2,1,5,6,3,7,3,7,7,,
9,9,9,7,9,9,8,9,1,,
9,9,9,9,9,9,9,9,1,,
5,3,6,7,1,9,4,3,8,,
5,9,4,3,7,8,6,2,1,,
