"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","Num Cands","Num Seats"
"13","2","10","4","12","14","6","7","11","3","5","1","8","9","14.0","1.0"
"14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","1","13","10","5","7","2","9","11","4","14","3","12","8","nan","nan"
"6","4","5","10","2","12","9","8","7","11","13","3","14","1","nan","nan"
"12","3","9","2","4","14","5","7","6","10","13","11","8","1","nan","nan"
"11","1","9","12","3","8","5","10","13","6","4","7","14","2","nan","nan"
"14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","4","5","8","10","12","3","7","6","13","11","2","14","1","nan","nan"
"1","4","11","8","2","9","7","10","12","6","14","3","13","5","nan","nan"
"7","2","14","9","4","5","1","10","12","3","11","6","13","skipped","nan","nan"
"5","1","12","9","6","10","2","11","7","3","13","4","14","8","nan","nan"
"1","5","9","3","6","13","11","2","7","8","12","10","14","4","nan","nan"
"9","1","7","4","2","11","8","5","12","10","13","6","14","3","nan","nan"
"5","4","8","6","12","1","14","11","3","7","2","10","skipped","skipped","nan","nan"
"14","8","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","11","7","5","6","8","4","10","14","2","9","1","skipped","skipped","nan","nan"
"6","1","9","7","4","5","12","8","14","10","13","2","11","3","nan","nan"
"7","1","10","6","3","5","11","8","13","9","12","2","14","skipped","nan","nan"
"5","2","11","6","4","12","9","7","14","8","13","3","10","1","nan","nan"
"4","1","14","9","8","6","2","12","7","3","10","5","13","11","nan","nan"
"14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","1","12","7","4","14","6","9","11","8","10","3","13","2","nan","nan"
"6","2","10","8","1","12","5","3","11","7","13","4","14","9","nan","nan"
"1","6","14","7","3","8","2","11","9","4","12","5","13","10","nan","nan"
"3","1","12","2","11","4","6","5","9","13","10","7","14","8","nan","nan"
"2","3","13","4","12","11","6","7","9","8","10","1","14","5","nan","nan"
"8","3","9","4","2","13","7","6","10","11","12","5","14","1","nan","nan"
"6","3","10","4","2","11","7","9","8","12","13","5","14","1","nan","nan"
"14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","7","14","10","1","11","4","9","8","5","13","3","12","6","nan","nan"
"14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","2","14","10","8","9","3","7","13","4","6","1","11","12","nan","nan"
"14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","8","12","2","11","6","9","14","10","7","5","13","3","nan","nan"
"6","5","14","8","3","1","13","9","10","7","2","4","skipped","skipped","nan","nan"
