rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,numSeats,numCands
1,5,42,9,9,9,9,9,9,43,9,9,9,9,41,9,9,8,9,9,9,9,9,9,7,9,9,4,3,9,2,9,6,9,9,9,9,9,9,44,40,9,9,9,1.0,44.0
5,Skipped,Skipped,3,Skipped,16,Skipped,10,13,21,9,18,20,15,Skipped,8,Skipped,19,Skipped,Skipped,Skipped,6,14,Skipped,Skipped,Skipped,11,Skipped,12,Skipped,Skipped,4,7,Skipped,Skipped,17,1,Skipped,Skipped,2,22,Skipped,Skipped,Skipped,,
8,23,25,Skipped,10,Skipped,2,7,Skipped,Skipped,17,13,Skipped,3,Skipped,1,Skipped,Skipped,4,28,5,18,22,Skipped,Skipped,Skipped,30,15,14,19,Skipped,6,11,Skipped,12,Skipped,Skipped,24,29,9,Skipped,16,38,Skipped,,
10,Skipped,43,43,10,44,43,14,43,44,16,10,10,43,44,10,17,10,43,10,15,10,43,Skipped,19,Skipped,44,10,20,10,44,43,10,Skipped,10,10,44,44,Skipped,18,44,43,44,44,,
44,44,11,44,44,44,12,44,9,6,44,44,44,44,8,44,7,44,44,44,44,4,44,44,44,44,44,44,44,10,44,44,44,44,44,44,1,2,44,3,5,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,2,44,44,44,44,,
15,14,29,32,43,40,22,20,25,18,9,8,16,2,11,24,37,17,7,42,5,6,31,26,34,41,13,21,1,12,38,35,23,30,39,10,3,27,19,4,44,28,36,33,,
44,44,44,44,44,44,2,44,44,44,44,44,44,44,3,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,2,44,44,44,44,44,44,4,44,44,8,3,5,44,44,44,44,44,44,44,44,44,44,44,44,44,5,8,1,44,44,1,44,44,5,43,44,6,1,6,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,3,44,44,44,44,44,4,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2,1,44,44,44,44,44,44,44,,
44,44,44,44,44,4,2,44,44,12,44,44,44,8,10,44,44,44,6,44,44,44,44,44,44,44,5,44,9,13,44,12,44,44,44,44,1,44,44,14,44,44,3,7,,
44,44,44,44,44,44,44,44,2,44,44,4,44,44,44,44,44,44,44,5,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,4,44,44,44,44,44,44,,
44,15,44,44,44,10,6,14,5,18,12,22,23,13,11,27,44,44,27,44,19,29,44,27,44,44,20,9,3,7,16,44,4,21,44,8,17,30,27,1,44,24,2,44,,
11,19,14,12,44,44,44,1,22,8,44,7,16,5,44,44,10,3,44,18,44,6,44,9,44,44,20,44,15,13,44,44,44,4,44,24,2,44,23,17,21,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
9,15,43,22,43,43,8,11,43,5,14,6,23,1,43,28,43,7,26,43,20,3,24,43,16,43,4,43,12,18,43,21,13,10,44,29,2,17,27,43,43,43,19,25,,
8,44,44,44,7,44,44,44,44,4,44,44,44,12,44,44,44,44,44,44,10,44,44,44,44,44,1,3,5,2,44,44,9,44,44,44,44,44,44,6,11,44,44,44,,
13,19,Skipped,14,Skipped,26,Skipped,15,16,21,25,6,11,4,Skipped,Skipped,Skipped,10,22,18,Skipped,Skipped,28,Skipped,Skipped,Skipped,24,7,5,12,27,23,9,17,Skipped,2,1,Skipped,8,3,20,Skipped,Skipped,Skipped,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
6,44,44,44,12,42,7,36,44,44,44,44,2,1,44,5,44,44,4,44,44,24,44,44,44,44,44,44,44,33,44,44,44,44,44,7,5,44,44,10,44,44,44,3,,
7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,1,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,3,Skipped,Skipped,8,Skipped,Skipped,Skipped,2,10,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,,
44,44,44,44,44,44,44,44,44,44,44,44,44,2,44,44,44,44,44,4,44,3,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,,
10,44,44,1,44,1,44,44,44,27,44,44,44,20,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,2,44,44,10,1,44,44,1,44,44,44,10,,
1,3,3,44,2,44,2,4,44,44,44,4,44,1,44,44,44,44,5,44,6,44,44,44,44,44,3,1,1,44,1,4,3,3,44,44,44,3,3,1,44,44,5,44,,
44,44,44,44,44,44,44,3,44,44,44,1,44,2,44,4,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,5,44,44,44,44,44,44,44,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
44,44,44,44,44,44,44,44,44,44,44,7,44,4,44,44,44,44,44,44,44,5,44,44,44,44,44,44,6,44,44,44,44,44,44,44,3,44,44,44,44,44,44,44,,
13,Skipped,Skipped,9,6,8,5,7,18,44,3,19,Skipped,38,Skipped,1,Skipped,Skipped,4,44,Skipped,44,Skipped,Skipped,Skipped,Skipped,44,Skipped,24,44,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,11,43,22,26,10,Skipped,12,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,,
