rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,numSeats,numCands
24,3,13,15,2,4,9,2,25,11,5,16,6,8,25,9,25,1,17,1,19,20,3,5,25,1.0,25.0
22,13,5,9,8,11,1,15,2,3,7,25,17,14,21,18,24,20,4,6,23,19,10,12,16,,
22,22,22,22,22,22,9,22,5,22,22,25,23,22,7,22,1,1,22,2,3,22,22,4,8,,
23,12,3,17,1,15,9,24,21,13,20,18,2,19,5,25,4,6,22,8,11,14,10,16,7,,
19,8,25,23,10,13,4,15,2,16,9,20,7,17,5,18,6,21,24,3,11,18,22,12,1,,
15,13,22,9,4,21,5,23,3,6,14,20,18,24,12,8,17,19,10,1,17,25,7,11,2,,
25,8,25,2,11,12,4,10,3,6,7,25,25,5,25,25,25,25,25,9,25,25,25,25,1,,
11,25,7,25,25,4,2,25,11,1,11,11,5,25,25,25,25,25,3,6,11,11,25,11,25,,
13,24,11,19,23,9,8,14,2,22,17,18,6,20,5,15,25,7,16,4,3,12,10,21,1,,
16,25,20,18,1,1,8,13,11,10,1,9,22,14,5,17,25,19,21,25,7,12,15,2,6,,
19,7,12,4,1,3,2,24,8,5,6,23,13,25,10,14,18,21,17,20,11,9,22,15,16,,
14,20,24,16,19,12,6,7,2,1,25,15,10,9,13,23,17,18,3,5,21,22,4,8,11,,
25,8,25,11,6,12,2,3,14,25,15,25,4,13,25,25,25,25,1,9,5,10,7,25,25,,
25,13,10,13,1,25,1,25,25,25,25,25,13,13,13,25,3,3,13,2,25,13,8,13,5,,
2,5,5,25,6,2,25,25,25,25,24,1,8,20,15,7,5,9,25,24,1,2,10,24,24,,
9,24,13,15,11,25,2,21,22,8,17,3,1,14,16,5,19,6,10,4,20,7,23,18,12,,
25,6,1,13,5,25,25,15,25,25,25,4,21,22,5,3,2,12,25,20,25,2,25,25,25,,
7,5,2,8,20,17,15,12,10,16,21,18,3,13,9,19,1,11,24,23,4,14,25,22,6,,
16,17,1,5,25,23,2,18,20,4,8,13,21,12,19,10,7,15,11,3,9,22,14,24,6,,
25,23,25,25,25,6,10,25,25,25,25,5,24,25,25,25,25,24,4,1,25,25,2,25,25,,
16,9,22,1,18,13,19,21,12,5,2,25,8,20,7,24,6,23,11,3,15,14,17,4,10,,
19,23,11,6,17,7,12,21,8,9,18,13,4,20,3,14,22,24,16,2,15,25,1,5,10,,
24,4,25,11,21,25,5,25,3,7,10,25,25,8,25,23,25,6,25,1,25,25,25,25,14,,
25,25,25,25,25,25,25,25,17,25,24,21,19,25,25,25,13,25,23,15,19,21,5,24,25,,
25,12,25,25,25,8,14,6,5,9,3,25,13,7,25,25,25,3,10,1,24,11,25,4,25,,
12,15,Skipped,6,19,20,7,22,2,18,13,Skipped,17,21,9,Skipped,4,14,10,1,8,24,5,16,3,,
15,13,22,11,20,14,19,5,17,18,21,23,16,9,24,25,8,6,10,2,7,1,3,4,12,,
24,7,6,10,9,19,5,2,12,25,11,22,16,3,21,15,18,8,13,1,17,23,4,20,14,,
3,12,20,5,15,3,16,6,14,2,13,23,11,13,7,21,9,19,24,19,4,11,22,7,8,,
23,10,18,2,23,14,12,17,1,13,24,9,16,25,6,16,23,11,7,5,15,23,3,4,8,,
24,4,8,18,13,25,19,5,12,22,24,20,2,7,17,16,10,3,11,6,9,15,1,21,14,,
8,2,6,14,21,4,16,22,17,20,18,15,1,23,11,24,3,10,13,5,9,19,12,7,25,,
25,25,2,25,3,25,25,25,3,4,25,25,25,25,25,25,25,2,1,4,25,25,25,25,25,,
25,25,25,5,22,25,18,1,16,25,25,21,25,13,1,25,13,8,3,3,25,25,1,12,14,,
18,15,8,5,24,6,10,23,12,21,16,19,3,11,7,25,1,4,9,13,14,17,2,22,20,,
11,2,4,25,5,25,25,1,25,25,12,8,15,6,14,9,7,3,13,17,25,10,16,16,16,,
17,18,17,25,25,25,17,1,17,25,17,2,3,25,17,17,25,17,17,25,17,17,17,17,4,,
25,25,25,25,5,25,7,25,4,25,25,25,25,25,25,25,25,2,3,1,25,25,6,25,25,,
25,25,25,25,25,25,2,25,25,25,25,25,25,2,2,25,1,4,5,25,25,25,25,25,25,,
25,25,1,25,25,2,2,25,25,25,25,1,25,25,25,25,25,3,25,25,25,25,25,25,25,,
6,3,5,23,23,23,2,4,1,23,7,23,23,9,23,25,24,10,25,23,23,23,23,8,23,,
25,9,25,10,2,25,25,2,1,3,25,25,25,25,25,25,25,25,25,2,25,25,25,2,25,,
25,25,25,25,25,25,3,25,25,10,10,25,25,25,8,25,3,2,1,2,6,25,25,25,4,,
24,6,9,12,21,23,22,2,14,4,19,25,16,2,10,11,17,1,13,5,20,6,8,18,15,,
25,25,25,25,25,25,5,4,25,25,25,25,25,25,1,25,25,25,25,25,25,25,3,25,2,,
23,21,25,5,6,7,21,21,3,21,21,22,24,21,21,2,9,8,21,4,21,10,20,21,1,,
