rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
1,4,3,8,5,9,6,7,2,10,1.0,10.0
4,5,2,10,3,9,6,7,1,8,,
1,4,3,8,5,7,2,8,3,6,,
3,2,5,9,4,7,6,10,1,8,,
10,2,10,10,10,3,10,10,1,10,,
3,2,1,5,3,4,3,2,1,4,,
5,7,9,6,2,1,8,10,4,3,,
9,3,4,10,6,7,5,8,1,2,,
6,3,4,7,8,1,10,10,2,5,,
5,6,7,1,3,9,4,10,2,8,,
1,3,5,6,3,3,5,4,5,2,,
3,2,4,10,5,9,6,7,8,1,,
8,1,2,9,5,10,3,6,4,7,,
2,2,1,3,2,3,2,3,1,3,,
10,10,10,4,1,2,10,10,10,3,,
4,3,1,10,5,6,7,8,2,9,,
4,6,5,10,2,9,3,8,1,7,,
8,3,5,8,4,2,6,8,1,7,,
4,3,6,10,9,2,5,7,1,8,,
10,5,4,10,2,10,3,10,1,10,,
3,1,2,5,2,5,2,3,3,4,,
6,3,1,10,2,9,4,5,7,8,,
1,2,6,10,4,9,5,8,3,7,,
7,3,3,10,6,8,5,9,1,2,,
2,3,2,5,3,4,3,2,1,1,,
8,4,5,10,1,6,3,9,2,7,,
2,6,1,10,9,4,5,7,3,8,,
1,7,2,8,5,10,9,4,6,3,,
5,3,5,7,8,2,5,5,1,5,,
2,4,3,6,2,5,4,3,1,5,,
8,3,1,10,2,6,7,9,4,5,,
1,10,2,10,3,5,4,10,6,10,,
6,1,2,5,10,9,8,4,3,7,,
3,4,7,6,9,2,10,8,5,1,,
5,10,3,1,4,6,7,8,2,9,,
