rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,numSeats,numCands
17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,17,1.0,17.0
17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,17,,
16,15,14,1,3,7,8,6,5,11,17,9,2,12,4,10,13,,
17,12,13,1,15,5,2,4,10,11,16,7,8,14,6,3,9,,
15,16,4,1,12,9,6,5,11,8,17,10,3,13,2,7,14,,
17,17,17,1,17,17,17,17,17,17,2,3,17,2,17,17,17,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
14,16,6,3,11,10,2,5,12,13,15,4,8,9,1,17,7,,
17,14,9,1,13,13,7,5,13,4,15,2,6,3,8,16,13,,
17,17,17,17,17,17,17,17,17,17,17,1,17,17,17,17,17,,
17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,,
17,6,17,1,17,17,2,3,5,17,17,17,17,17,4,17,17,,
17,17,17,1,17,11,17,17,17,17,17,17,2,17,17,17,17,,
14,17,5,1,10,8,4,13,12,15,11,16,2,6,3,9,7,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
5,16,6,2,3,9,12,7,13,10,8,1,4,11,17,15,14,,
17,17,17,1,17,17,4,17,5,3,17,17,17,17,2,17,17,,
16,15,14,1,12,9,8,3,6,7,17,5,4,13,2,10,11,,
17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,1,17,17,17,4,17,17,17,17,3,17,2,17,17,,
17,17,10,1,12,4,7,2,5,11,17,6,8,17,9,3,17,,
16,9,11,1,4,5,3,2,10,14,17,6,8,12,7,15,13,,
15,7,10,1,4,8,7,14,5,16,17,2,7,14,3,14,9,,
15,11,4,1,17,11,6,8,7,9,15,3,2,11,5,16,12,,
17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,17,,
14,10,12,1,13,16,6,7,8,11,17,5,4,16,2,3,13,,
17,17,17,1,17,17,5,3,2,17,17,17,17,17,4,17,17,,
17,17,17,1,17,17,17,3,17,17,17,17,17,17,2,17,17,,
17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,,
12,5,10,2,11,15,14,7,8,16,17,1,3,13,4,6,9,,
17,5,1,2,17,17,4,17,17,17,7,17,6,17,3,17,17,,
9,14,13,17,4,15,7,1,5,10,2,11,12,6,16,3,8,,
17,17,17,1,4,17,17,17,17,17,17,17,2,17,17,3,17,,
17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,17,,
11,13,6,3,5,7,10,4,17,16,15,8,1,14,9,12,2,,
3,17,11,5,7,4,14,15,9,6,13,8,2,10,17,1,12,,
16,17,15,4,14,8,17,2,7,8,17,3,6,17,5,1,17,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
2,17,17,1,2,17,17,17,2,17,17,17,17,17,17,17,17,,
17,17,17,1,17,6,4,17,3,5,17,17,17,17,17,2,17,,
10,15,11,5,12,6,1,2,7,9,17,16,4,13,3,8,14,,
17,9,12,1,16,11,5,2,8,7,15,10,3,14,4,6,13,,
17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,,
13,15,3,9,11,16,7,14,17,4,6,10,1,5,8,2,12,,
