rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,numSeats,numCands
44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,1,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1.0,44.0
32,27,1,24,30,2,44,24,44,6,28,7,9,33,3,17,13,13,22,44,44,44,44,10,13,8,17,10,33,22,44,10,13,4,31,17,44,5,44,24,17,29,44,17,,
Skipped,Skipped,6,Skipped,2,1,Skipped,Skipped,Skipped,1,Skipped,7,10,Skipped,Skipped,Skipped,6,Skipped,Skipped,8,Skipped,9,8,7,9,Skipped,Skipped,10,Skipped,Skipped,Skipped,10,8,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
44,44,44,6,44,44,44,44,44,44,44,44,3,44,44,44,1,44,44,44,44,44,44,44,5,44,44,4,44,44,44,44,44,44,44,7,2,44,44,44,44,44,44,44,,
10,28,2,40,27,43,19,38,24,22,25,41,14,5,18,23,6,16,4,11,9,12,21,15,3,31,35,13,32,36,30,37,33,20,7,26,29,34,42,39,17,8,1,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
Skipped,Skipped,6,2,Skipped,44,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,4,Skipped,Skipped,1,Skipped,Skipped,5,5,Skipped,44,44,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,3,Skipped,Skipped,35,Skipped,,
44,44,44,44,44,44,44,44,44,44,44,44,11,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,10,8,44,44,44,44,44,44,44,44,44,44,44,,
44,44,1,44,44,1,44,44,44,6,44,7,12,44,4,5,8,14,44,44,44,44,44,9,44,11,44,44,44,44,44,10,13,1,44,44,44,14,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,1,44,2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
Skipped,44,Skipped,44,44,Skipped,Skipped,44,Skipped,Skipped,Skipped,44,3,Skipped,44,Skipped,44,44,Skipped,Skipped,44,Skipped,Skipped,44,1,2,44,Skipped,Skipped,44,44,Skipped,Skipped,44,44,44,44,44,Skipped,44,44,44,Skipped,44,,
44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
22,Skipped,2,Skipped,Skipped,8,Skipped,13,Skipped,8,Skipped,Skipped,24,25,7,3,23,Skipped,44,44,Skipped,Skipped,Skipped,Skipped,13,44,19,10,1,Skipped,15,Skipped,17,7,Skipped,11,21,Skipped,44,6,12,Skipped,42,Skipped,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
Skipped,Skipped,6,5,Skipped,44,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,30,Skipped,11,11,Skipped,3,Skipped,Skipped,5,5,Skipped,44,2,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,10,5,25,4,Skipped,Skipped,44,Skipped,,
40,40,40,40,40,44,31,40,40,40,40,40,40,40,40,25,40,40,40,39,40,36,40,40,2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1,40,40,39,40,,
18,Skipped,5,2,13,3,Skipped,Skipped,22,15,21,17,9,Skipped,10,Skipped,6,Skipped,Skipped,14,20,16,11,Skipped,12,Skipped,Skipped,8,Skipped,Skipped,Skipped,4,Skipped,Skipped,7,Skipped,Skipped,1,Skipped,Skipped,19,Skipped,Skipped,Skipped,,
43,43,43,43,43,44,43,43,43,43,43,43,43,1,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,,
40,39,5,39,40,4,40,40,41,40,41,40,44,44,40,40,44,40,40,40,40,40,40,40,2,1,40,40,44,40,40,40,40,40,40,26,40,40,30,40,40,40,40,34,,
44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,2,44,44,5,44,44,44,10,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,9,1,44,44,2,44,44,44,2,44,8,44,44,2,44,10,44,44,44,44,44,44,7,44,44,44,44,44,44,44,10,44,5,44,44,44,6,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,1,44,44,2,44,44,44,3,44,44,7,44,3,44,8,44,44,44,44,44,44,44,44,6,44,44,44,44,44,44,44,9,44,44,44,3,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,1,44,5,1,44,2,44,3,44,3,44,44,3,44,44,44,44,44,44,44,44,4,44,44,44,44,44,44,44,44,44,4,44,44,44,44,44,44,44,44,44,44,,
42,42,37,42,42,42,42,42,42,42,42,42,39,43,42,42,40,42,42,42,42,42,42,42,44,42,42,38,42,42,42,42,42,42,42,42,42,41,42,42,42,42,42,42,,
44,44,1,44,44,1,44,44,44,11,44,9,5,14,7,44,5,44,44,44,44,44,44,16,8,3,44,15,44,44,44,17,12,10,44,44,44,3,44,44,44,44,44,13,,
44,44,44,44,44,44,44,44,44,44,44,3,44,44,44,44,44,44,44,44,44,44,44,44,1,2,44,44,44,44,44,44,44,44,44,44,4,44,44,44,44,44,44,44,,
27,12,3,4,15,5,22,16,43,24,44,23,8,Skipped,6,Skipped,9,20,Skipped,Skipped,17,Skipped,10,14,13,Skipped,Skipped,11,Skipped,26,Skipped,2,19,21,7,Skipped,Skipped,1,Skipped,Skipped,18,Skipped,Skipped,25,,
44,44,44,44,44,44,4,44,44,44,6,44,1,44,5,44,3,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,7,44,44,2,44,44,44,44,44,44,,
44,1,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
Skipped,Skipped,8,Skipped,6,2,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,5,Skipped,10,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,9,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
16,44,7,44,44,15,44,44,14,44,44,44,13,20,44,9,8,44,44,44,44,44,44,44,2,6,17,5,3,44,44,18,19,7,44,4,44,11,44,1,21,44,12,44,,
44,2,44,44,44,44,44,3,44,44,44,4,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,2,44,44,1,44,44,44,44,44,5,3,44,44,44,44,44,44,44,44,44,44,44,4,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,4,44,44,2,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,43,44,2,44,44,44,44,44,44,44,44,5,44,44,44,44,44,44,44,,
30,30,30,30,30,44,5,10,30,30,30,13,1,8,30,30,6,30,8,5,30,30,30,30,4,3,30,30,30,30,30,30,11,30,2,30,30,14,10,30,15,30,9,12,,
Skipped,Skipped,7,8,Skipped,44,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,40,Skipped,6,9,Skipped,4,Skipped,Skipped,5,5,Skipped,44,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,8,10,3,Skipped,Skipped,Skipped,Skipped,,
44,44,44,44,44,15,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,5,1,44,44,44,44,44,44,44,44,44,30,44,44,10,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,4,44,2,44,44,44,44,44,1,3,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,15,1,25,44,2,44,25,44,3,44,11,8,44,3,25,7,44,44,44,44,44,44,12,25,5,44,6,44,25,44,20,25,8,44,44,44,8,44,44,25,25,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,1,44,44,2,44,44,44,2,44,8,10,44,2,44,7,44,44,44,44,44,44,11,44,9,44,44,44,44,44,44,44,5,44,44,44,5,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
12,44,15,11,44,44,13,44,44,16,44,44,7,44,44,44,7,44,7,6,44,14,44,44,3,2,44,7,8,44,44,44,7,9,44,44,4,7,1,44,44,5,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,4,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,2,5,44,44,10,15,6,44,44,7,44,44,1,4,44,12,44,14,44,44,44,9,44,44,11,13,3,44,44,44,8,44,,
44,2,5,44,44,6,44,1,44,44,44,4,44,44,44,44,3,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,16,9,44,12,3,44,8,15,6,44,2,44,10,1,44,5,44,44,44,44,44,44,4,11,44,44,44,44,44,44,12,44,7,44,44,44,15,44,44,12,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
40,16,5,24,2,18,12,9,23,1,17,10,36,31,27,32,28,39,22,26,6,33,35,13,7,21,42,37,34,8,25,20,19,30,3,14,43,4,38,11,29,15,44,41,,
40,1,8,37,40,6,40,2,44,4,43,5,10,41,3,40,9,40,40,40,39,40,40,40,42,40,40,7,40,39,40,40,40,40,11,40,40,36,40,40,40,38,40,40,,
