rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,numSeats,numCands
24,10,18,4,14,16,1,20,6,15,17,2,3,22,11,9,5,7,21,13,23,12,8,19,1.0,24.0
1,15,23,7,17,12,9,20,5,2,24,11,21,19,13,22,6,4,14,8,16,18,10,3,,
1,13,23,8,17,11,15,19,6,3,24,22,20,16,9,21,7,4,12,5,14,18,10,2,,
1,21,23,8,18,10,12,15,7,2,22,21,19,20,3,17,9,5,11,6,14,16,13,4,,
2,18,24,10,13,11,3,16,5,8,21,19,20,17,12,22,6,7,14,4,15,23,9,1,,
1,21,15,18,19,12,2,14,5,4,16,11,20,22,6,23,10,7,13,9,3,24,17,8,,
1,17,23,9,12,7,13,10,3,5,24,21,18,15,11,22,8,6,14,4,20,19,16,2,,
2,20,23,5,13,12,8,17,1,6,24,22,16,14,15,21,9,3,11,7,19,18,10,4,,
1,23,21,13,12,9,2,11,8,3,22,17,15,24,10,16,6,7,18,4,19,14,20,5,,
3,24,24,24,24,24,2,24,24,24,24,4,24,24,5,24,24,1,24,24,24,24,7,5,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
1,14,21,8,23,12,13,19,11,2,24,15,22,17,3,18,9,5,10,6,16,20,7,4,,
3,14,23,6,20,13,12,19,5,2,24,22,21,15,7,18,8,5,11,9,16,17,10,1,,
1,21,23,11,24,13,2,20,4,10,9,14,22,12,7,24,5,8,19,3,18,24,17,6,,
1,24,24,24,24,24,2,24,24,24,24,24,24,24,24,24,24,4,24,24,24,24,24,3,,
5,9,12,11,16,19,6,23,8,20,14,7,24,21,4,22,15,1,13,17,18,10,3,2,,
1,24,13,23,24,24,2,24,6,3,8,7,24,24,12,22,11,10,24,4,5,24,23,9,,
3,18,2,16,15,8,13,10,11,12,19,24,20,23,1,17,6,22,7,4,21,14,5,9,,
1,22,13,20,17,12,2,19,6,3,15,5,21,23,7,14,18,8,9,4,11,24,16,10,,
5,24,4,11,20,3,16,7,15,2,13,6,19,22,17,21,1,12,14,10,8,23,18,9,,
10,14,24,8,16,2,19,18,4,5,22,20,17,6,11,21,13,9,3,1,15,23,7,12,,
2,21,16,8,23,20,1,24,10,6,11,7,14,22,12,19,3,9,17,5,15,18,13,4,,
2,15,22,8,17,12,14,18,11,4,24,23,19,13,7,20,9,3,10,5,16,21,6,1,,
1,15,23,12,17,10,2,18,7,4,24,22,16,21,9,19,8,5,11,6,13,20,14,3,,
16,14,24,4,12,10,13,19,5,7,22,18,15,17,2,23,11,3,6,9,20,21,8,1,,
1,15,22,9,18,14,2,21,8,3,17,12,24,20,5,23,7,6,16,11,19,13,10,4,,
2,20,23,10,16,12,5,15,8,3,24,21,19,17,1,22,9,7,11,4,14,18,13,6,,
2,14,21,6,20,4,22,8,10,6,24,15,17,18,7,23,3,1,13,11,9,12,16,5,,
17,13,24,4,12,10,14,19,6,5,21,20,15,16,2,23,11,3,7,9,18,22,8,1,,
1,14,23,9,19,10,15,17,2,3,24,22,20,18,6,21,7,8,11,4,12,13,16,5,,
1,14,23,5,10,15,7,19,11,4,24,17,20,16,8,18,12,3,9,6,21,22,13,2,,
2,12,16,7,10,18,21,15,5,2,24,22,19,23,6,17,9,3,14,8,11,13,20,4,,
3,13,23,5,16,14,11,20,4,7,24,22,19,18,10,21,6,8,12,9,17,15,2,1,,
1,16,23,3,15,13,10,19,5,7,24,17,20,21,8,18,2,9,12,6,14,22,11,4,,
9,24,3,10,22,16,1,19,8,4,2,6,21,23,12,18,7,5,20,15,13,11,14,17,,
2,22,8,7,17,20,1,23,10,4,12,13,18,18,14,24,16,6,5,3,15,21,11,9,,
6,16,21,1,19,13,14,17,9,11,22,24,18,12,4,20,3,2,15,8,23,7,10,5,,
2,18,24,10,17,12,13,15,4,1,24,24,20,19,7,21,3,8,11,5,14,9,16,6,,
1,15,17,8,22,16,10,18,6,2,23,13,21,24,7,20,9,4,14,5,11,19,12,3,,
2,15,20,6,15,10,10,20,3,3,24,14,15,15,6,22,6,6,15,5,10,23,10,1,,
10,14,8,2,16,13,11,22,15,19,7,5,17,18,1,23,3,4,6,12,20,21,9,24,,
2,12,15,1,17,10,14,22,7,8,24,16,20,18,9,21,11,6,3,4,23,19,13,5,,
14,16,24,9,12,10,22,18,6,11,23,17,20,3,2,19,13,5,7,1,21,15,4,8,,
1,14,23,10,13,9,11,17,3,6,24,21,19,15,18,16,5,7,12,4,20,22,8,2,,
1,18,24,12,14,9,7,17,2,3,22,15,20,23,4,19,13,8,13,5,16,21,6,10,,
21,2,19,6,14,9,22,15,8,12,23,17,16,4,7,20,18,5,3,11,24,10,1,13,,
23,20,5,14,21,17,1,3,9,11,2,19,4,22,10,18,8,12,21,16,13,7,15,24,,
4,12,24,9,18,13,7,20,5,2,19,17,22,16,6,23,10,1,14,3,15,21,11,8,,
3,16,9,10,17,8,14,21,4,11,24,15,20,19,1,22,12,6,7,2,23,18,13,5,,
24,9,2,18,12,3,1,6,23,4,19,7,15,16,13,8,5,20,21,22,10,17,14,11,,
1,19,22,12,17,11,5,15,6,4,24,21,18,23,7,14,10,2,9,8,20,13,16,3,,
1,24,13,24,24,24,2,24,8,3,5,9,24,24,12,24,11,10,24,7,6,24,24,4,,
