"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","rank21","Num Cands","Num Seats"
"1","18","9","4","15","14","20","10","3","21","16","17","7","6","5","13","12","11","2","8","skipped","21.0","1.0"
"3","15","2","4","16","18","10","21","9","1","19","14","20","11","12","13","17","8","7","6","5","nan","nan"
"21","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","17","7","13","18","16","21","1","14","20","19","3","2","15","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","9","7","2","21","11","1","10","12","6","3","4","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"21","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","18","6","2","3","16","21","17","9","1","10","20","15","11","4","13","14","19","7","12","5","nan","nan"
"3","20","6","1","15","10","5","2","13","12","21","4","14","11","9","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"21","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","20","2","3","15","12","7","10","14","1","8","13","21","16","19","17","18","11","9","5","4","nan","nan"
"1","20","21","10","6","17","18","7","8","9","2","19","16","14","5","11","3","15","12","13","4","nan","nan"
"6","14","8","5","18","15","16","21","7","1","12","19","17","9","11","10","2","3","13","skipped","skipped","nan","nan"
"3","13","5","6","21","14","1","9","8","10","11","7","16","15","12","2","4","skipped","skipped","skipped","skipped","nan","nan"
"9","18","7","21","11","10","1","8","5","17","3","2","16","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","15","3","4","19","14","18","20","9","1","8","12","21","16","17","13","10","11","2","6","5","nan","nan"
"8","5","21","1","4","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","13","8","7","4","2","14","11","5","9","12","10","1","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","21","3","6","1","2","5","7","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","21","3","4","19","10","9","12","20","13","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","4","3","1","21","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","14","3","1","17","11","5","12","10","2","19","16","18","21","20","6","13","4","7","8","15","nan","nan"
"3","21","10","2","13","6","1","9","12","11","8","7","4","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","21","20","1","4","10","12","13","3","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","21","4","20","8","1","10","12","13","5","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","14","6","2","21","15","4","1","16","12","11","13","7","10","8","9","5","skipped","skipped","skipped","skipped","nan","nan"
"4","5","12","3","9","19","15","21","6","1","13","20","18","8","16","11","14","17","7","2","10","nan","nan"
"4","17","3","2","19","11","21","14","15","1","6","20","12","13","18","9","8","16","10","5","7","nan","nan"
"21","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"21","4","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","6","1","10","19","9","17","20","8","16","18","21","15","5","7","3","14","13","11","12","4","nan","nan"
"4","20","5","1","21","3","2","6","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","21","2","20","19","3","1","14","6","16","7","13","4","11","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","15","6","4","11","21","7","1","9","8","14","10","3","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","17","4","2","20","12","18","21","10","1","15","11","19","9","13","7","16","14","8","5","3","nan","nan"
"4","21","7","3","15","10","11","1","13","16","9","8","14","12","5","2","6","skipped","skipped","skipped","skipped","nan","nan"
"10","15","9","6","12","14","5","18","1","19","17","20","16","11","13","7","3","4","2","8","skipped","nan","nan"
"3","12","1","20","17","10","6","21","14","13","11","15","4","2","7","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","19","8","6","16","11","14","20","12","1","21","17","13","3","10","7","5","2","9","skipped","skipped","nan","nan"
"21","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","11","6","8","19","15","9","17","5","2","7","13","12","18","14","4","21","20","16","3","10","nan","nan"
"4","14","3","2","19","17","10","21","8","1","16","18","20","11","13","12","15","9","5","7","6","nan","nan"
"19","7","3","20","6","1","5","12","9","21","11","10","15","13","4","17","8","14","16","18","2","nan","nan"
"21","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"21","5","2","1","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","20","4","5","13","11","14","12","1","16","21","15","17","2","3","7","skipped","skipped","skipped","skipped","skipped","nan","nan"
"21","8","2","10","1","9","7","11","12","5","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","21","6","4","1","5","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"21","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","20","6","4","8","3","9","10","1","2","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","16","3","2","12","15","14","20","13","1","17","19","21","9","11","18","7","10","4","6","8","nan","nan"
"3","5","4","17","11","8","15","2","21","18","9","16","1","19","10","6","skipped","skipped","skipped","skipped","skipped","nan","nan"
"21","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"21","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"21","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","21","2","3","1","9","11","8","4","5","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","21","20","1","4","10","12","13","3","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","14","10","2","18","15","21","12","1","16","17","20","8","13","6","19","5","7","3","9","skipped","nan","nan"
"2","6","12","1","21","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
