rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
8,4,7,3,6,5,1,2,9,Unknown,9.0
6,2,7,8,9,3,5,4,1,Unknown,
4,7,8,9,3,5,2,1,6,Unknown,
6,1,8,9,5,4,3,2,7,Unknown,
4,8,9,8,1,8,6,3,9,Unknown,
3,7,5,2,1,9,6,4,8,Unknown,
5,4,8,3,6,9,2,7,1,Unknown,
3,6,8,4,1,7,5,2,9,Unknown,
7,1,8,5,4,6,9,3,2,Unknown,
2,6,9,8,3,7,4,5,1,Unknown,
7,3,4,8,6,5,2,1,9,Unknown,
4,5,7,9,6,1,3,2,8,Unknown,
6,4,9,5,2,7,3,8,1,Unknown,
6,3,4,5,1,2,9,9,9,Unknown,
4,5,6,5,3,5,2,1,7,Unknown,
6,4,9,8,7,5,2,1,3,Unknown,
3,4,7,8,1,6,5,2,9,Unknown,
9,5,6,7,4,3,2,1,8,Unknown,
7,3,6,2,9,5,1,8,4,Unknown,
9,1,8,5,6,4,3,2,7,Unknown,
7,8,6,9,1,2,3,5,4,Unknown,
1,2,9,4,7,5,3,6,8,Unknown,
5,1,8,9,6,7,2,3,4,Unknown,
9,8,6,8,2,4,5,1,3,Unknown,
9,9,9,9,9,2,9,9,1,Unknown,
9,1,9,4,5,9,2,3,9,Unknown,
4,3,8,7,6,2,5,1,9,Unknown,
8,3,6,9,2,7,4,1,5,Unknown,
9,3,9,9,9,9,2,1,9,Unknown,
7,1,8,2,6,3,4,9,5,Unknown,
9,3,4,2,6,5,7,1,8,Unknown,
9,3,5,9,4,9,2,1,9,Unknown,
8,2,9,5,7,3,4,1,6,Unknown,
3,5,7,4,6,8,2,1,9,Unknown,
6,4,5,9,1,3,2,8,7,Unknown,
6,7,4,5,2,3,8,1,9,Unknown,
7,1,6,5,4,8,2,3,9,Unknown,
6,2,8,5,9,4,3,1,7,Unknown,
4,2,5,4,2,4,3,1,3,Unknown,
5,2,8,9,6,7,1,3,4,Unknown,
3,2,4,8,9,1,6,5,7,Unknown,
5,6,7,9,8,2,4,3,1,Unknown,
2,2,3,2,3,3,1,2,3,Unknown,
2,8,7,1,5,4,6,3,9,Unknown,
