rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
Skipped,1,Skipped,1,1,1,1.0,6.0
6,1,1,1,1,6,,
6,1,6,6,6,6,,
1,6,2,4,3,6,,
1,3,2,Skipped,Skipped,6,,
6,1,1,1,1,6,,
1,6,1,1,1,6,,
3,6,1,1,1,6,,
1,1,6,1,1,6,,
1,1,Skipped,1,1,Skipped,,
6,6,1,1,1,1,,
6,1,1,1,1,6,,
1,2,1,1,1,2,,
6,1,1,1,1,6,,
3,6,2,6,6,1,,
6,1,1,1,1,6,,
1,6,1,6,6,6,,
1,6,1,1,1,6,,
6,1,1,1,1,6,,
Skipped,Skipped,1,1,1,1,,
6,1,1,1,1,6,,
6,6,2,4,4,1,,
2,3,1,1,1,1,,
2,2,5,4,2,5,,
4,2,1,Skipped,Skipped,3,,
6,1,1,1,1,6,,
6,6,1,1,1,1,,
5,1,Skipped,3,2,1,,
1,6,1,1,1,6,,
1,6,3,2,1,2,,
Skipped,2,2,1,1,1,,
1,Skipped,1,Skipped,Skipped,Skipped,,
Skipped,Skipped,1,1,1,1,,
5,1,1,1,1,5,,
Skipped,1,1,1,1,Skipped,,
4,3,6,1,2,6,,
2,1,6,3,5,4,,
6,1,1,1,1,6,,
2,6,6,6,6,1,,
1,6,1,1,1,6,,
6,1,1,1,1,6,,
3,4,1,5,6,2,,
6,1,5,2,3,4,,
6,1,1,1,1,6,,
6,1,6,1,6,1,,
4,5,1,2,6,3,,
6,1,6,6,6,2,,
4,3,1,5,6,2,,
1,1,6,1,1,6,,
Skipped,Skipped,1,1,1,1,,
2,3,6,4,5,1,,
6,6,2,3,4,1,,
2,2,1,1,1,1,,
6,6,1,1,1,1,,
2,2,1,1,1,1,,
6,1,6,1,1,1,,
1,6,6,1,1,1,,
6,2,5,4,3,1,,
1,3,2,1,1,3,,
6,3,2,4,5,1,,
6,6,6,1,1,6,,
1,6,1,1,1,6,,
1,3,2,6,5,5,,
1,6,2,6,6,3,,
Skipped,2,3,Skipped,1,Skipped,,
6,6,6,3,3,1,,
