rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,numSeats,numCands
13,13,13,13,13,13,13,13,13,13,1,13,13,1.0,13.0
5,11,2,3,12,9,13,4,10,1,6,7,8,,
13,13,13,13,13,13,13,13,13,1,13,13,13,,
10,2,10,10,13,10,10,10,10,1,10,10,10,,
8,4,6,7,5,11,1,10,9,2,3,12,13,,
6,8,2,7,10,13,4,1,11,12,5,9,3,,
13,5,1,13,4,7,13,6,13,2,3,13,8,,
13,1,4,13,3,13,13,13,13,5,2,13,13,,
5,1,4,8,2,6,12,10,7,13,3,11,9,,
13,13,13,13,13,4,1,13,3,5,13,2,13,,
5,1,4,13,13,13,13,3,13,13,2,13,13,,
6,12,1,8,12,4,12,3,7,13,2,12,5,,
8,10,7,3,13,7,12,1,7,11,2,9,4,,
11,11,4,11,12,11,4,1,11,12,2,13,11,,
6,3,1,11,7,12,10,5,8,2,4,13,9,,
13,1,13,13,2,13,13,13,13,3,13,13,13,,
3,6,2,7,5,13,10,11,12,1,9,8,4,,
5,2,1,13,8,13,7,3,13,6,4,9,13,,
13,13,13,13,13,13,13,13,13,13,13,13,1,,
5,1,3,9,8,4,13,6,10,2,11,7,12,,
3,5,6,13,13,12,10,11,2,1,13,13,3,,
4,1,3,8,6,9,12,5,7,2,11,13,10,,
11,2,4,8,12,7,3,6,5,1,9,13,10,,
1,10,12,3,11,2,8,4,5,13,7,9,6,,
2,4,1,13,12,13,13,10,13,5,3,13,11,,
5,13,3,2,13,6,9,7,4,13,1,13,8,,
13,1,13,13,13,13,13,13,13,13,13,13,13,,
7,6,1,4,3,10,9,12,8,2,5,13,11,,
13,13,13,13,13,13,13,13,13,1,13,13,13,,
13,13,1,13,5,13,12,13,13,2,4,13,13,,
3,1,2,10,12,6,9,4,11,8,10,13,7,,
5,8,3,9,13,10,12,1,11,7,4,6,2,,
13,13,13,13,13,13,1,13,13,13,13,13,13,,
2,13,1,13,13,13,13,3,13,6,5,13,4,,
13,13,1,13,13,13,13,13,13,13,13,13,13,,
12,12,2,12,13,12,6,5,4,1,12,3,12,,
5,7,2,11,6,10,4,3,8,12,1,13,9,,
3,12,1,2,13,13,13,5,13,4,13,13,13,,
2,13,1,13,13,13,13,3,13,13,13,13,13,,
3,10,4,5,8,7,9,1,12,13,2,11,6,,
4,2,1,6,11,9,12,5,10,3,7,13,8,,
9,3,5,8,2,6,13,7,4,1,10,11,12,,
4,13,2,3,13,13,13,13,13,13,1,13,13,,
13,13,13,13,13,13,13,13,13,1,13,13,13,,
1,10,2,9,11,9,13,4,9,3,9,12,9,,
4,7,2,6,11,13,9,1,8,13,3,10,5,,
5,4,1,9,2,13,6,11,12,3,8,7,10,,
2,7,3,1,13,13,8,6,9,4,13,13,5,,
11,2,5,12,3,6,13,9,7,1,10,4,8,,
6,5,11,8,13,7,4,2,9,12,3,10,1,,
7,2,1,10,13,6,11,9,8,3,4,12,5,,
8,3,5,4,13,9,7,11,10,12,2,6,1,,
9,4,10,8,12,7,11,6,5,13,2,3,1,,
4,2,3,10,9,13,6,7,11,1,5,8,12,,
4,5,1,7,13,10,11,9,7,3,2,12,8,,
13,13,1,13,2,13,13,13,13,3,13,13,13,,
13,12,3,13,13,13,10,4,13,9,1,11,2,,
3,11,2,5,12,9,6,4,8,13,1,10,7,,
6,9,4,3,13,7,12,2,8,10,1,11,5,,
7,13,3,5,11,10,4,2,8,6,1,12,9,,
13,4,2,11,13,12,3,13,13,1,13,13,13,,
3,2,5,13,4,13,12,13,13,1,13,13,13,,
6,4,2,5,13,11,9,3,8,1,12,10,7,,
6,13,1,8,12,7,11,4,3,10,2,9,5,,
8,10,9,7,11,12,3,6,4,1,13,2,5,,
13,2,4,8,6,11,7,10,9,1,3,5,12,,
6,1,12,8,2,10,4,9,11,3,7,5,13,,
12,4,12,12,13,12,12,12,12,1,12,12,12,,
13,3,13,13,2,13,13,13,13,1,13,13,13,,
5,2,1,3,4,8,10,11,8,13,6,12,9,,
