rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
1,4,5,6,3,11,6,9,8,11,2,Unknown,11.0
11,4,9,10,2,7,1,6,3,8,5,Unknown,
3,5,1,8,11,9,10,2,6,4,7,Unknown,
7,8,5,10,11,1,3,2,4,9,6,Unknown,
9,8,1,6,5,11,10,3,7,2,4,Unknown,
11,11,3,1,2,11,1,11,11,2,11,Unknown,
3,2,10,7,9,8,4,11,1,5,6,Unknown,
5,2,1,3,8,7,11,6,4,4,10,Unknown,
4,11,9,10,1,6,8,7,3,2,3,Unknown,
6,5,9,1,4,2,7,3,8,11,10,Unknown,
8,4,9,10,6,2,11,3,5,1,7,Unknown,
1,6,11,10,2,3,8,5,9,4,7,Unknown,
2,3,11,4,9,6,11,8,1,7,5,Unknown,
2,8,7,10,1,11,5,6,4,9,3,Unknown,
7,3,6,11,10,4,5,8,1,9,2,Unknown,
8,5,6,11,2,7,10,1,3,9,4,Unknown,
1,1,1,1,1,1,1,1,1,1,1,Unknown,
5,6,1,3,8,10,9,7,4,2,11,Unknown,
5,8,7,3,1,2,10,9,11,4,6,Unknown,
7,9,8,5,10,3,1,6,11,2,4,Unknown,
7,2,4,11,9,8,5,6,1,10,3,Unknown,
8,1,7,8,11,1,3,3,5,11,2,Unknown,
7,6,5,11,8,2,1,3,4,10,9,Unknown,
1,10,7,11,5,8,9,6,4,2,3,Unknown,
9,2,6,7,5,11,8,1,4,10,3,Unknown,
6,9,1,3,11,10,7,5,4,2,8,Unknown,
8,11,4,10,9,3,6,2,1,5,7,Unknown,
9,7,6,5,1,4,3,8,2,10,11,Unknown,
7,11,3,1,2,11,6,11,5,4,11,Unknown,
11,5,6,9,2,6,3,1,8,4,10,Unknown,
11,11,11,2,2,11,11,5,3,11,1,Unknown,
8,4,6,7,3,2,11,5,11,1,11,Unknown,
5,10,1,3,6,4,9,8,7,2,11,Unknown,
5,1,11,11,6,3,4,11,2,11,11,Unknown,
1,9,5,2,4,7,10,11,8,3,6,Unknown,
2,7,3,1,6,4,8,10,9,5,11,Unknown,
6,10,5,2,7,11,4,3,9,1,8,Unknown,
5,10,2,1,7,11,4,9,5,3,8,Unknown,
3,2,9,10,5,7,1,8,2,4,6,Unknown,
6,10,7,3,2,5,11,8,9,1,4,Unknown,
11,11,11,6,3,11,5,3,2,1,11,Unknown,
3,4,5,9,7,10,11,6,8,2,1,Unknown,
3,9,5,2,4,7,6,10,8,1,11,Unknown,
9,7,11,8,4,5,6,3,2,10,1,Unknown,
7,4,3,8,3,9,6,5,2,10,1,Unknown,
10,8,9,2,11,7,6,3,5,11,1,Unknown,
4,10,8,1,2,11,3,9,7,5,6,Unknown,
11,11,11,11,11,11,11,11,11,11,11,Unknown,
3,8,4,5,6,10,7,11,2,1,10,Unknown,
3,7,10,5,4,6,8,11,1,2,9,Unknown,
4,8,1,5,6,3,11,9,10,2,7,Unknown,
1,5,9,8,6,10,4,11,7,3,2,Unknown,
