rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
7,5,11,11,4,2,11,6,11,3,1,1.0,11.0
8,7,9,6,2,4,11,10,5,3,1,,
1,8,11,6,5,2,10,7,3,9,4,,
5,3,10,4,6,2,11,7,9,8,1,,
11,11,11,11,1,11,11,11,3,11,2,,
6,7,10,8,9,2,11,3,1,5,4,,
11,11,11,11,5,2,5,3,1,11,2,,
11,11,1,11,3,6,11,2,11,5,4,,
10,10,10,3,2,10,11,9,10,1,4,,
6,9,10,8,7,1,11,3,5,4,2,,
11,6,5,10,8,4,7,3,2,9,1,,
9,7,11,10,6,2,3,8,4,5,1,,
11,8,2,10,7,6,9,3,4,5,1,,
11,2,3,5,2,1,6,2,4,7,1,,
11,1,4,5,2,6,8,10,7,9,3,,
10,3,5,9,2,7,11,4,6,8,1,,
10,8,6,11,4,2,9,7,5,3,1,,
8,5,10,7,6,2,9,4,11,3,1,,
4,5,1,8,6,9,10,3,11,7,2,,
9,6,3,4,8,10,11,7,2,5,1,,
5,8,11,10,7,2,6,9,3,4,1,,
10,3,4,11,1,5,7,9,8,2,6,,
9,2,5,3,1,4,11,10,6,8,7,,
11,3,11,11,3,2,11,11,11,11,1,,
11,5,3,11,2,11,11,11,1,11,4,,
6,5,1,9,2,3,8,7,11,10,4,,
7,6,9,11,5,1,10,8,4,3,2,,
4,3,6,7,8,2,10,9,1,5,11,,
9,3,8,10,2,4,5,7,11,1,6,,
6,10,5,8,7,3,11,9,4,2,1,,
6,11,11,5,1,3,11,11,4,7,2,,
10,1,4,8,5,7,11,6,3,9,2,,
8,9,11,6,7,5,10,4,2,3,1,,
7,6,3,10,2,11,9,4,1,8,5,,
9,4,6,11,2,7,10,8,3,5,1,,
8,6,4,11,5,1,11,6,4,9,2,,
8,5,9,10,3,2,6,7,4,11,1,,
9,8,7,11,3,6,5,10,2,4,1,,
4,9,10,8,1,6,11,3,7,5,2,,
2,5,4,10,7,3,11,9,8,6,1,,
11,3,8,6,5,2,10,9,4,1,7,,
8,5,6,9,3,7,11,10,2,4,1,,
7,4,8,10,3,2,11,5,9,6,1,,
7,2,11,10,3,10,6,5,4,10,1,,
4,1,10,9,3,2,8,6,3,7,5,,
8,5,3,9,7,2,10,6,11,4,1,,
1,8,10,6,3,5,11,4,7,9,2,,
