"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","Num Cands","Num Seats"
"9","18","10","12","8","11","17","16","4","20","15","7","14","6","13","3","1","2","19","5","20.0","1.0"
"8","18","12","11","9","10","17","15","4","20","14","7","13","5","16","3","2","1","19","6","nan","nan"
"8","18","13","9","11","10","16","17","6","20","14","5","12","4","15","3","1","2","19","7","nan","nan"
"8","17","9","11","6","10","15","14","3","19","13","4","12","7","16","5","2","1","18","skipped","nan","nan"
"6","17","12","11","9","10","15","5","14","3","13","8","16","4","2","1","20","7","skipped","skipped","nan","nan"
"20","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","17","14","10","9","11","15","16","7","20","13","3","12","4","19","5","1","2","18","6","nan","nan"
"10","19","13","11","4","9","16","17","7","20","14","3","12","5","15","6","1","2","18","8","nan","nan"
"9","20","13","11","7","10","19","16","4","18","14","8","12","5","15","3","2","1","17","6","nan","nan"
"11","18","14","7","1","10","17","16","6","20","12","5","13","8","15","4","2","3","19","9","nan","nan"
"7","20","8","10","5","9","3","4","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","17","12","11","8","10","18","16","4","19","14","7","13","6","15","3","2","1","20","5","nan","nan"
"12","18","9","11","7","10","17","15","3","20","14","6","13","8","16","5","2","1","19","4","nan","nan"
"9","16","12","10","8","11","19","17","4","20","13","6","15","5","18","7","2","3","1","skipped","nan","nan"
"9","18","11","10","5","12","14","15","4","16","13","3","7","17","6","2","1","19","8","skipped","nan","nan"
"6","18","12","11","9","10","17","15","3","19","14","7","13","8","16","4","2","1","20","5","nan","nan"
"7","17","13","8","10","11","18","16","4","20","12","3","14","9","15","6","2","1","19","5","nan","nan"
"7","6","11","19","20","12","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","18","12","11","9","10","17","15","5","20","13","3","14","7","16","4","2","1","19","6","nan","nan"
"4","17","12","10","8","11","20","15","9","18","13","3","19","14","5","2","1","16","6","skipped","nan","nan"
"3","19","12","11","9","10","17","16","6","18","13","8","15","5","14","4","2","1","20","7","nan","nan"
"8","19","12","11","9","10","17","16","7","20","15","3","13","6","14","4","2","1","18","5","nan","nan"
"8","18","12","11","9","10","19","16","7","20","14","3","13","5","15","4","2","1","17","6","nan","nan"
"9","17","11","10","6","13","18","16","4","20","15","5","14","7","12","3","1","2","19","8","nan","nan"
"8","18","11","10","9","12","19","16","4","20","15","5","14","6","13","3","2","1","17","7","nan","nan"
"8","17","13","10","9","11","18","16","5","20","15","3","14","6","12","4","2","1","19","7","nan","nan"
"8","17","11","10","9","20","18","16","3","12","15","7","13","5","14","4","2","1","6","skipped","nan","nan"
"7","19","11","10","6","12","18","16","9","20","15","4","14","5","13","3","2","1","17","8","nan","nan"
"9","19","12","11","8","10","17","16","6","20","15","4","14","7","13","3","1","2","18","5","nan","nan"
"8","18","9","11","5","16","19","17","6","13","15","3","14","7","12","4","2","1","20","10","nan","nan"
"9","20","13","11","8","10","15","19","6","18","14","5","12","7","16","3","2","1","17","4","nan","nan"
"5","16","9","8","7","10","15","12","17","3","11","13","4","2","1","14","6","skipped","skipped","skipped","nan","nan"
"9","18","11","10","8","12","17","16","3","20","13","7","14","5","15","6","2","1","19","4","nan","nan"
"9","19","12","11","8","10","18","15","5","20","14","4","13","7","16","3","2","1","17","6","nan","nan"
"4","18","11","12","9","10","17","16","7","20","15","6","14","5","13","3","1","2","19","8","nan","nan"
"7","19","12","10","9","11","20","16","4","18","15","5","8","13","3","2","1","17","6","skipped","nan","nan"
"9","17","11","10","5","13","18","16","6","20","15","4","12","8","14","2","1","3","19","7","nan","nan"
"11","17","14","10","9","8","19","15","4","18","12","6","13","5","16","3","2","1","20","7","nan","nan"
"8","18","12","10","9","11","19","16","3","20","14","5","13","7","15","4","2","1","17","6","nan","nan"
"9","18","12","10","8","11","17","13","7","20","14","4","15","6","16","3","2","1","19","5","nan","nan"
"7","17","12","11","9","10","19","16","3","20","14","8","15","6","13","4","2","1","18","5","nan","nan"
"5","19","14","10","9","11","18","16","8","20","12","3","13","4","15","6","2","1","17","7","nan","nan"
"12","20","9","11","8","18","17","5","19","14","4","13","6","15","3","2","1","16","10","skipped","nan","nan"
"7","18","11","12","9","10","16","15","4","19","14","3","13","6","20","5","2","1","17","8","nan","nan"
"8","18","12","10","9","11","19","16","7","17","14","3","13","6","15","4","2","1","20","5","nan","nan"
"11","19","12","8","9","10","17","16","4","18","15","7","14","5","13","2","3","1","20","6","nan","nan"
"6","17","11","12","9","10","19","16","4","20","14","8","13","7","15","3","2","1","18","5","nan","nan"
"6","19","11","12","9","10","17","16","4","18","13","5","14","7","15","3","2","1","20","8","nan","nan"
"9","19","14","11","10","8","17","13","5","20","16","4","15","7","12","3","1","2","18","6","nan","nan"
"6","12","10","9","8","13","4","15","11","5","7","14","3","1","2","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","19","12","11","9","10","18","16","5","20","15","4","13","6","14","3","2","1","17","8","nan","nan"
"14","20","11","9","6","10","18","17","5","15","12","4","13","7","16","3","2","1","19","skipped","nan","nan"
"8","17","10","9","6","11","16","15","3","18","14","7","12","13","4","1","2","5","skipped","skipped","nan","nan"
"10","20","13","9","11","12","16","1","6","18","15","2","14","7","19","5","3","4","17","8","nan","nan"
"8","18","11","12","9","10","17","15","6","20","14","7","13","5","19","2","3","1","16","4","nan","nan"
"6","18","12","9","10","11","20","16","8","13","5","14","4","15","3","2","1","7","skipped","skipped","nan","nan"
"10","17","7","6","3","12","13","19","8","20","16","4","18","15","11","5","2","1","14","9","nan","nan"
"9","18","12","11","7","10","17","16","3","19","14","5","13","4","15","8","2","1","20","6","nan","nan"
"9","19","10","11","8","12","15","18","5","20","17","6","13","7","14","3","2","1","16","4","nan","nan"
"9","19","12","11","5","10","17","15","8","20","13","4","14","6","18","3","1","2","16","7","nan","nan"
"9","17","13","11","8","10","18","16","3","20","14","5","12","7","15","4","2","1","19","6","nan","nan"
"9","17","12","11","6","10","18","14","7","19","15","3","13","5","16","4","2","1","20","8","nan","nan"
"8","19","12","10","9","11","17","16","4","20","14","7","13","6","15","3","2","1","18","5","nan","nan"
"8","20","12","11","9","10","16","7","14","5","13","3","15","6","2","1","4","skipped","skipped","skipped","nan","nan"
"7","18","11","12","9","10","19","15","4","20","14","5","16","6","13","3","1","2","17","8","nan","nan"
"9","16","12","11","7","10","18","17","8","20","14","3","13","6","15","4","2","1","19","5","nan","nan"
"4","17","12","11","8","10","18","16","9","19","15","1","13","7","14","5","6","2","20","3","nan","nan"
"4","18","12","10","9","11","17","16","7","19","14","3","13","8","15","6","1","2","20","5","nan","nan"
"9","19","12","10","8","11","17","15","5","20","14","3","13","4","16","6","2","1","18","7","nan","nan"
"8","18","10","12","9","17","16","3","19","14","4","13","7","15","5","2","1","20","6","skipped","nan","nan"
"9","16","12","11","8","10","18","19","6","17","15","3","13","4","20","5","2","1","14","7","nan","nan"
"6","17","12","11","9","10","18","16","3","19","14","5","13","8","15","4","2","1","20","7","nan","nan"
"9","17","12","10","8","11","18","16","5","20","15","4","13","6","14","3","2","1","7","skipped","nan","nan"
"6","17","9","11","7","12","18","16","4","20","15","5","14","10","13","3","2","1","19","8","nan","nan"
