"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","Num Cands","Num Seats"
"1","16","12","3","15","2","4","13","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","16.0","1.0"
"16","14","1","13","15","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","5","2","9","12","7","8","14","6","4","11","1","13","15","16","skipped","nan","nan"
"1","10","12","15","11","13","8","9","3","5","4","2","6","14","16","7","nan","nan"
"15","16","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","9","3","1","14","5","16","6","7","15","13","12","10","2","11","8","nan","nan"
"1","15","4","2","14","10","7","9","6","5","12","13","3","11","16","8","nan","nan"
"1","16","10","6","12","3","14","9","15","2","13","5","4","11","8","7","nan","nan"
"16","4","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","1","14","10","13","16","9","5","7","12","8","6","15","skipped","skipped","skipped","nan","nan"
"2","6","11","4","7","1","15","14","12","10","8","3","13","5","9","16","nan","nan"
"16","1","4","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","2","3","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","13","2","14","7","9","16","6","1","4","5","12","10","11","8","15","nan","nan"
"9","2","5","12","10","14","13","11","8","6","15","4","1","7","3","16","nan","nan"
"4","9","13","2","12","10","16","7","3","8","14","1","5","6","11","15","nan","nan"
"11","1","8","2","16","14","15","4","13","7","9","3","12","6","10","5","nan","nan"
"10","1","13","14","16","3","12","2","11","4","15","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","2","11","4","15","13","7","6","10","3","5","14","9","12","16","nan","nan"
"1","16","11","6","13","3","10","9","8","14","15","4","12","2","7","5","nan","nan"
"13","2","1","9","11","14","8","12","15","4","3","5","16","6","7","10","nan","nan"
"16","1","6","7","3","5","4","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","8","11","10","5","15","13","4","1","2","12","6","14","7","9","16","nan","nan"
"9","8","2","13","15","4","16","10","7","1","12","5","3","11","6","14","nan","nan"
"1","3","9","7","14","4","16","10","2","13","15","12","8","5","11","6","nan","nan"
"15","16","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","16","5","8","14","1","15","6","12","10","13","11","2","7","4","9","nan","nan"
"16","2","11","10","8","3","4","9","12","5","6","1","7","skipped","skipped","skipped","nan","nan"
"1","16","3","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","10","2","12","16","11","15","6","4","3","14","5","7","8","9","13","nan","nan"
"16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","2","16","7","15","11","8","13","4","1","12","5","14","10","6","9","nan","nan"
"2","16","13","5","7","1","14","4","15","10","12","11","3","skipped","skipped","skipped","nan","nan"
"8","14","6","5","11","16","15","1","3","4","10","7","12","2","13","9","nan","nan"
"3","16","15","4","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","3","8","11","6","2","15","1","12","5","4","14","9","13","7","10","nan","nan"
"1","9","15","10","11","12","14","5","3","13","4","7","6","2","8","16","nan","nan"
"2","6","3","5","7","4","16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","2","1","13","12","10","15","11","16","3","8","7","5","9","6","14","nan","nan"
"8","2","3","16","11","7","12","10","4","13","14","1","9","5","6","15","nan","nan"
"4","1","3","14","7","8","13","2","16","6","12","5","15","10","9","11","nan","nan"
"5","16","10","3","6","7","2","1","8","4","9","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","16","4","6","3","1","5","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","4","1","14","2","12","8","5","3","7","9","11","13","6","15","skipped","nan","nan"
"8","16","15","2","6","3","14","7","12","9","11","5","4","13","10","1","nan","nan"
"3","1","6","12","16","8","15","7","5","10","11","4","2","9","14","13","nan","nan"
"9","7","1","11","15","13","16","3","4","8","14","10","2","6","5","12","nan","nan"
"8","10","12","3","9","1","11","16","6","5","2","4","7","skipped","skipped","skipped","nan","nan"
"16","4","3","5","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","6","7","10","12","16","13","3","9","5","4","11","1","15","8","14","nan","nan"
"11","15","16","9","5","10","4","8","1","14","7","2","13","3","6","12","nan","nan"
"4","16","2","5","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","1","3","15","14","2","13","11","9","12","7","6","4","5","10","16","nan","nan"
"16","1","3","4","5","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","1","3","12","11","9","16","7","4","2","5","8","10","15","14","13","nan","nan"
"9","8","15","2","7","3","11","4","12","16","6","10","13","5","14","1","nan","nan"
"2","16","4","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","1","16","10","12","3","4","9","6","7","14","11","13","5","8","15","nan","nan"
"6","1","8","9","14","15","7","11","3","4","13","5","16","10","12","2","nan","nan"
"16","4","5","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","9","6","13","16","15","3","11","7","12","10","1","2","8","4","14","nan","nan"
"7","3","5","13","15","12","11","8","1","2","16","6","4","10","9","14","nan","nan"
"14","5","9","15","8","13","10","7","4","1","11","3","2","6","12","16","nan","nan"
"2","16","10","14","7","5","4","3","15","9","8","6","1","11","12","13","nan","nan"
"15","16","5","13","7","3","11","6","4","12","2","1","10","9","8","14","nan","nan"
"4","8","7","12","15","11","13","2","9","5","14","3","1","10","6","16","nan","nan"
"6","11","8","15","13","12","9","4","2","5","1","3","10","7","14","16","nan","nan"
