rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,numSeats,numCands
32,32,5,32,6,32,7,32,32,32,32,32,32,32,32,32,32,3,32,32,32,32,32,32,32,32,8,4,32,2,1,32,1.0,32.0
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
3,32,1,2,1,32,1,32,3,4,32,32,1,3,32,2,32,3,32,5,5,32,3,32,32,2,32,32,32,32,32,2,,
5,1,32,32,32,32,32,32,4,2,32,32,32,32,32,32,32,32,32,32,32,3,32,6,32,32,32,32,32,32,32,32,,
16,6,23,19,26,24,18,11,20,1,31,2,27,18,3,21,10,30,12,16,17,13,4,9,32,22,8,30,30,18,5,14,,
32,32,5,32,4,6,32,8,32,32,32,32,9,32,10,32,32,32,1,7,32,32,32,32,32,32,32,32,2,32,11,3,,
32,32,2,32,32,32,3,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
6,8,30,19,13,24,23,10,4,2,14,28,27,18,12,10,3,32,9,26,11,1,15,3,7,25,5,20,21,22,17,16,,
31,31,31,31,31,31,31,31,31,31,31,31,2,32,31,31,1,31,29,31,31,28,30,31,31,31,31,31,31,31,31,31,,
32,2,6,32,1,15,6,32,32,27,20,13,5,32,12,32,32,18,17,7,3,10,32,32,24,12,32,32,10,16,11,4,,
10,32,5,32,3,32,6,32,32,32,32,32,32,32,7,32,32,2,32,9,32,32,32,32,32,4,32,32,32,1,32,8,,
13,17,10,29,3,16,26,22,28,24,16,12,4,30,6,21,27,8,9,2,7,32,15,25,14,31,1,21,23,21,11,5,,
2,3,32,32,32,32,32,3,5,4,3,2,32,32,6,1,32,5,32,32,7,5,9,32,1,32,32,8,9,10,32,32,,
2,32,32,32,32,32,32,32,32,32,32,1,32,32,4,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,3,,
1,20,17,18,8,23,19,13,26,5,32,11,22,30,12,31,27,4,16,8,24,28,27,15,6,10,2,14,27,12,21,3,,
