rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
8,3,8,1,8,7,7,5,1.0,8.0
7,1,6,2,8,3,5,4,,
3,1,2,5,1,3,2,1,,
5,6,3,4,2,8,7,1,,
7,1,3,8,5,4,2,6,,
2,4,3,5,1,5,3,2,,
8,1,2,4,2,3,3,8,,
4,1,3,2,3,4,4,2,,
5,3,1,8,4,7,6,2,,
4,2,5,5,2,4,3,1,,
7,8,8,2,3,7,7,1,,
8,1,2,6,8,5,4,3,,
7,6,4,8,5,3,2,1,,
5,6,2,3,3,7,8,1,,
8,1,8,8,2,3,3,2,,
6,2,7,1,8,5,3,4,,
4,8,3,2,5,6,7,1,,
8,3,4,2,5,6,7,1,,
8,4,3,7,2,5,6,1,,
5,6,3,8,1,4,7,2,,
3,3,3,1,3,2,3,1,,
8,6,2,4,1,5,3,7,,
7,1,4,3,8,5,6,2,,
4,3,1,2,6,8,5,7,,
5,2,7,3,8,4,6,1,,
6,1,8,4,7,4,3,2,,
2,7,1,7,8,4,7,3,,
8,5,1,4,2,4,3,3,,
3,8,4,6,2,5,7,1,,
6,2,3,8,5,8,4,1,,
8,7,3,6,2,4,5,1,,
8,1,5,4,7,2,6,3,,
