rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,numSeats,numCands
47,47,47,47,47,47,47,47,47,47,1,47,47,47,47,47,47,47,47,47,47,47,47,4,3,47,47,47,47,47,47,47,47,47,47,47,47,47,2,47,47,47,47,47,47,47,47,1.0,47.0
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,,
3,47,19,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,4,47,47,47,47,2,47,47,47,47,47,1,47,47,47,47,47,47,47,47,18,47,47,47,47,47,47,,
47,47,47,47,47,47,47,47,47,2,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1,47,47,47,47,47,47,47,47,47,47,47,47,3,47,47,47,47,47,47,47,47,,
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,2,47,47,47,47,47,1,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,,
47,47,2,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,2,47,47,47,47,47,47,47,47,47,47,47,47,47,1,47,47,47,47,47,47,47,47,,
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,2,47,47,47,47,47,3,47,47,47,47,47,47,47,5,4,47,47,47,47,47,1,47,47,47,47,47,47,47,47,,
47,47,1,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,3,47,47,47,47,47,47,47,47,2,47,47,47,47,47,47,47,47,,
47,47,47,47,47,47,47,47,6,4,47,47,47,2,47,47,47,47,47,47,47,47,47,1,47,47,47,47,47,47,47,5,47,47,47,47,47,47,3,47,47,47,47,47,47,47,47,,
1,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,,
47,47,47,47,47,2,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,3,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,4,47,47,47,1,47,,
20,35,35,20,20,20,20,6,4,20,20,2,20,20,20,20,20,20,7,5,20,35,20,35,35,20,20,20,35,20,20,1,3,20,35,20,35,20,20,20,20,35,35,35,35,35,20,,
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1,47,47,47,47,47,47,47,47,47,47,47,47,47,2,47,47,47,47,47,47,47,47,,
