"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","rank21","rank22","rank23","rank24","Num Cands","Num Seats"
"1","24","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","24.0","1.0"
"24","2","4","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","21","13","22","24","3","20","19","23","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","24","8","3","20","22","23","12","13","21","15","2","7","5","11","18","16","19","10","9","4","1","14","6","nan","nan"
"21","18","6","17","24","13","23","7","11","4","16","9","19","3","14","2","12","20","22","1","8","15","5","10","nan","nan"
"12","22","4","13","19","21","20","9","16","14","8","1","6","3","11","7","5","23","18","15","17","2","24","10","nan","nan"
"24","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"24","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"24","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","22","15","18","14","11","17","16","1","4","3","2","6","5","7","24","13","8","19","21","20","23","9","12","nan","nan"
"1","17","16","10","18","11","20","5","7","22","8","23","21","14","4","19","9","2","6","15","24","13","3","12","nan","nan"
"20","19","5","10","22","2","16","17","4","11","23","13","1","3","12","9","15","24","14","18","6","21","8","7","nan","nan"
