rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,numSeats,numCands
38,17,2,54,30,7,60,50,12,14,22,27,59,51,21,16,5,4,61,13,3,35,58,25,46,37,45,52,48,18,47,26,9,31,1,53,41,40,39,33,32,49,44,43,36,55,8,11,10,19,15,6,34,57,29,28,24,23,56,20,42,1.0,61.0
30,17,10,32,52,7,57,18,22,12,20,26,60,48,39,9,13,1,29,8,4,28,53,40,43,42,47,24,15,21,59,49,5,45,2,33,27,36,44,51,38,54,58,41,25,46,6,3,14,11,31,16,56,55,19,50,34,23,61,35,37,,
42,20,5,55,33,14,49,30,17,12,28,41,61,52,24,6,7,1,34,15,4,38,59,27,35,53,47,16,18,21,60,23,9,31,2,43,25,45,37,50,44,51,48,46,39,58,13,3,10,8,19,11,56,57,29,40,32,26,54,22,36,,
37,16,10,41,46,8,54,17,19,15,27,39,61,51,36,9,7,1,49,12,4,30,57,28,42,44,45,18,22,23,58,26,5,38,2,43,33,40,35,56,50,48,47,52,31,53,14,3,11,6,25,13,59,55,24,34,29,21,60,20,32,,
34,23,12,50,42,8,49,11,20,18,26,48,61,43,46,13,7,1,38,10,4,25,54,33,40,39,45,15,19,22,55,30,5,52,2,47,36,37,24,59,53,41,44,51,32,56,14,3,9,6,21,16,58,57,27,31,29,17,60,28,35,,
31,18,14,47,55,6,54,16,11,10,27,29,61,49,32,9,8,1,40,19,4,36,59,20,46,45,42,15,25,17,52,26,5,34,2,33,37,41,24,51,43,56,57,48,39,53,21,3,13,7,22,12,50,58,28,44,30,23,60,38,35,,
43,14,18,40,45,11,57,21,13,10,23,31,61,51,36,8,4,1,34,19,5,32,56,25,44,42,48,15,22,28,59,26,7,33,3,47,39,41,29,60,49,46,58,50,35,52,16,2,9,6,17,12,55,53,24,38,30,20,54,27,37,,
15,18,7,61,61,5,61,6,1,21,14,61,61,61,30,14,3,4,8,13,23,27,61,61,61,20,28,2,15,61,20,61,22,61,7,23,16,61,16,20,61,61,61,61,25,61,21,17,19,9,22,12,61,61,61,61,61,61,31,29,11,,
35,17,5,23,47,8,48,26,12,18,24,14,61,59,15,11,7,1,43,19,4,34,44,25,49,56,46,6,21,32,58,31,9,22,2,39,37,42,28,51,53,45,52,50,38,55,20,3,10,13,16,29,54,57,33,41,36,30,60,27,40,,
33,23,18,39,44,9,53,24,27,10,20,47,61,51,49,7,12,1,37,15,4,32,54,22,40,42,43,14,19,13,56,31,5,36,3,52,35,46,26,59,45,41,50,48,28,55,16,2,8,6,17,11,58,57,29,38,25,21,60,30,34,,
