"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","Num Cands","Num Seats"
"5","4","8","6","7","2","3","10","1","9","10.0","Unknown"
"6","5","9","8","3","7","1","10","4","2","nan","Unknown"
"1","3","9","6","7","2","8","10","4","5","nan","Unknown"
"4","5","8","7","9","3","1","10","2","6","nan","Unknown"
"7","2","4","6","8","1","3","10","5","9","nan","Unknown"
"1","6","9","2","8","3","4","10","5","7","nan","Unknown"
"1","3","10","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"6","2","5","3","9","4","10","1","skipped","skipped","nan","Unknown"
"2","10","5","4","9","3","1","7","8","skipped","nan","Unknown"
"7","8","4","6","5","10","3","9","2","1","nan","Unknown"
"6","9","8","4","1","7","2","10","5","3","nan","Unknown"
"1","10","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"10","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"1","8","5","7","6","3","9","10","2","4","nan","Unknown"
"2","4","5","9","7","6","1","8","3","10","nan","Unknown"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"1","6","2","3","4","10","5","skipped","skipped","skipped","nan","Unknown"
"2","7","8","3","5","4","10","9","1","6","nan","Unknown"
"3","9","7","4","1","6","2","8","5","skipped","nan","Unknown"
"3","4","5","1","7","2","6","skipped","skipped","skipped","nan","Unknown"
"2","9","3","8","7","4","5","10","1","6","nan","Unknown"
"8","9","5","10","1","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"1","10","3","2","skipped","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"5","9","7","6","2","1","3","10","4","8","nan","Unknown"
"4","3","8","2","6","10","7","5","1","9","nan","Unknown"
"4","2","10","3","1","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"5","10","2","7","4","1","3","skipped","skipped","skipped","nan","Unknown"
"1","7","9","2","4","5","8","10","3","6","nan","Unknown"
"5","7","6","1","9","10","8","skipped","skipped","skipped","nan","Unknown"
"4","7","9","8","2","6","5","10","1","3","nan","Unknown"
"1","10","2","4","3","6","5","skipped","skipped","skipped","nan","Unknown"
"1","2","9","10","8","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"2","3","8","9","6","4","1","10","5","7","nan","Unknown"
"1","3","6","4","8","2","5","10","7","9","nan","Unknown"
"2","3","5","10","1","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"2","4","8","1","9","5","6","10","3","skipped","nan","Unknown"
"5","3","4","7","9","6","2","10","1","8","nan","Unknown"
"2","7","6","3","1","4","5","9","10","8","nan","Unknown"
"3","10","5","2","1","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"2","10","1","6","8","4","7","9","3","5","nan","Unknown"
"2","7","5","1","8","3","4","9","10","6","nan","Unknown"
"1","5","9","3","8","4","2","10","6","7","nan","Unknown"
"1","5","6","4","9","3","8","10","2","7","nan","Unknown"
"2","5","6","7","9","1","4","10","3","8","nan","Unknown"
"5","1","9","8","7","4","3","6","2","10","nan","Unknown"
"5","8","4","3","7","1","6","10","9","2","nan","Unknown"
"1","4","10","3","2","5","skipped","skipped","skipped","skipped","nan","Unknown"
"10","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"10","4","5","3","1","2","skipped","skipped","skipped","skipped","nan","Unknown"
"1","10","3","2","4","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"2","4","6","10","1","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"6","5","10","7","1","4","8","2","3","skipped","nan","Unknown"
"5","4","7","8","1","9","6","10","3","2","nan","Unknown"
"1","10","4","2","9","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"4","6","2","1","8","5","9","3","7","10","nan","Unknown"
"7","2","6","9","10","8","3","5","1","4","nan","Unknown"
"1","10","2","3","4","5","skipped","skipped","skipped","skipped","nan","Unknown"
"1","2","3","10","skipped","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"5","6","7","2","10","1","4","8","3","9","nan","Unknown"
"1","4","2","5","10","3","skipped","skipped","skipped","skipped","nan","Unknown"
"3","2","10","5","4","6","1","skipped","skipped","skipped","nan","Unknown"
"5","4","6","2","7","8","10","9","1","3","nan","Unknown"
"10","3","8","2","6","1","5","4","7","9","nan","Unknown"
"4","3","10","2","1","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"1","4","8","9","6","2","3","10","5","7","nan","Unknown"
"10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"6","2","8","9","10","4","3","1","5","7","nan","Unknown"
"2","3","7","9","8","5","4","10","1","6","nan","Unknown"
"10","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"1","9","6","8","7","2","4","10","3","5","nan","Unknown"
"2","1","9","7","5","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"1","5","9","8","4","3","2","10","7","6","nan","Unknown"
"1","10","5","3","2","skipped","skipped","skipped","skipped","skipped","nan","Unknown"
"1","2","4","5","10","3","skipped","skipped","skipped","skipped","nan","Unknown"
"2","6","9","1","3","8","7","10","4","5","nan","Unknown"
