"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","rank21","rank22","rank23","rank24","Num Cands","Num Seats"
"24","1","10","6","5","4","8","7","9","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","24.0","1.0"
"16","8","18","1","10","15","12","9","6","19","7","2","11","17","20","5","3","14","13","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","6","24","4","7","18","15","10","5","16","11","12","2","8","21","3","14","22","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"24","7","1","11","5","10","9","8","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","10","19","1","15","20","16","3","5","4","23","18","12","7","8","14","6","21","13","9","11","22","24","2","nan","nan"
"21","11","23","4","10","7","18","12","2","19","17","6","20","5","8","15","16","24","3","9","14","22","13","1","nan","nan"
"19","7","22","1","8","17","15","9","6","24","18","14","13","4","10","23","12","21","2","5","11","20","16","3","nan","nan"
"23","8","22","3","12","19","16","10","6","24","17","9","14","5","7","21","11","18","4","2","15","20","13","1","nan","nan"
"14","10","24","3","12","18","11","6","5","13","9","2","8","15","16","4","7","17","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"24","1","3","6","22","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","17","10","19","20","18","5","3","7","12","15","9","4","2","21","13","14","11","16","6","23","24","1","skipped","nan","nan"
"20","14","23","1","12","15","18","7","6","22","19","9","10","5","11","21","13","24","4","3","8","16","17","2","nan","nan"
"22","2","4","24","23","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","24","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"24","6","5","7","4","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"24","7","21","3","16","15","19","10","4","17","20","11","14","9","6","18","13","5","2","8","12","1","skipped","skipped","nan","nan"
"24","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","18","23","14","22","20","24","15","21","17","16","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","9","23","2","5","21","22","15","24","17","11","4","7","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"21","9","2","10","14","15","8","6","12","22","3","5","24","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
