rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,numSeats,numCands
9,15,9,4,10,3,14,5,19,18,23,12,22,16,21,8,20,2,17,13,6,1,7,11,1.0,24.0
10,12,21,1,11,13,14,9,16,24,17,6,20,18,19,5,24,4,8,15,3,2,7,22,,
24,24,24,3,8,1,24,24,24,24,24,9,11,10,24,7,24,4,24,24,5,2,6,24,,
24,24,24,1,24,24,24,24,24,2,24,24,24,24,24,24,24,24,24,24,24,24,24,3,,
24,24,24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2,24,24,,
24,24,24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2,24,24,,
21,14,13,2,20,24,15,11,12,17,7,22,13,6,9,23,10,4,5,19,3,1,18,16,,
5,12,21,19,7,10,14,11,14,18,8,4,15,23,16,6,17,9,22,20,2,1,3,24,,
6,24,19,24,24,1,20,24,4,17,24,24,24,22,24,5,24,8,23,24,2,3,7,24,,
7,24,24,2,4,8,24,24,24,24,24,24,24,24,24,24,24,1,6,24,5,3,24,24,,
11,2,9,3,20,18,24,24,24,24,24,12,8,10,24,7,24,1,16,23,4,5,24,6,,
8,16,21,24,3,2,20,7,14,18,17,5,15,13,19,9,22,11,23,10,4,1,6,12,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,24,24,24,,
7,21,23,5,2,6,20,14,10,15,18,11,9,12,16,8,19,1,13,17,4,3,24,22,,
6,7,17,9,3,12,15,8,14,24,16,22,18,22,19,4,20,11,23,13,2,1,10,21,,
4,4,5,1,5,6,5,5,5,4,5,4,5,5,4,4,5,4,3,4,4,2,4,5,,
4,24,24,2,24,24,24,24,24,24,24,24,24,24,24,24,24,3,24,24,24,1,24,24,,
8,9,15,3,13,24,20,7,17,5,22,12,23,19,10,16,21,6,1,18,11,2,14,4,,
24,24,24,8,4,1,24,24,24,24,24,5,24,3,24,22,24,2,24,24,6,23,7,24,,
8,24,24,2,10,4,24,24,24,24,24,5,24,12,24,7,24,6,24,11,3,1,9,24,,
9,11,16,8,6,1,17,10,19,18,14,24,22,12,20,5,21,2,15,23,4,7,3,13,,
24,24,24,5,20,23,22,24,24,2,24,4,24,24,20,18,24,21,3,24,7,6,24,1,,
6,8,12,24,2,1,20,14,5,22,21,10,11,17,7,4,15,3,18,19,9,23,13,16,,
24,4,24,1,7,6,24,24,24,24,24,24,24,24,24,24,24,24,3,24,5,2,24,24,,
10,9,8,1,12,23,22,15,18,5,21,16,19,24,14,20,17,6,4,12,7,2,11,3,,
16,24,24,1,8,20,19,22,24,23,24,7,24,15,24,6,23,5,4,18,3,2,17,21,,
24,4,24,1,6,9,24,24,24,24,24,24,24,24,24,8,24,5,24,7,2,3,24,24,,
8,16,19,5,6,7,11,18,20,23,15,13,10,14,21,4,22,2,24,17,3,1,9,12,,
8,7,15,6,1,12,22,21,16,24,11,5,17,19,23,10,14,4,20,18,3,2,9,13,,
4,3,10,23,6,20,19,14,12,9,15,21,13,18,16,8,17,11,24,22,2,1,7,5,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,,
14,11,20,24,7,1,6,9,8,21,10,23,19,13,15,5,22,4,18,16,3,2,12,17,,
24,24,24,24,6,2,24,24,24,24,24,24,24,24,24,24,24,1,24,24,5,3,4,24,,
7,19,21,24,9,13,18,15,16,20,22,8,12,14,10,4,11,3,23,17,1,2,5,6,,
24,24,24,1,24,24,24,24,24,2,24,24,24,24,24,24,24,24,4,24,24,3,24,24,,
12,15,15,5,6,1,14,13,15,15,15,7,15,8,15,10,17,3,18,16,2,4,9,15,,
24,24,24,1,6,24,24,24,24,24,24,24,24,24,24,8,24,3,5,13,24,4,24,2,,
9,18,23,3,10,24,12,15,17,19,13,6,16,11,20,8,21,4,5,22,2,1,7,14,,
24,24,24,24,24,2,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,,
24,12,11,24,4,3,12,13,24,24,24,6,24,10,24,9,24,1,8,24,5,2,7,24,,
10,2,19,4,13,9,12,11,20,22,17,23,16,21,15,7,18,1,24,14,5,6,8,3,,
9,12,20,17,6,3,18,5,22,16,15,11,13,14,21,1,23,7,24,19,8,4,2,10,,
24,24,24,24,2,1,24,24,24,24,24,24,24,24,24,4,24,24,24,24,3,5,24,24,,
16,14,11,1,8,24,17,22,21,3,19,9,18,15,13,12,20,6,5,23,7,2,10,4,,
6,4,8,1,13,24,14,21,17,9,15,5,19,18,22,7,16,23,11,12,3,2,20,10,,
9,22,13,5,10,14,20,23,18,16,15,4,21,12,19,7,24,6,8,17,2,1,3,11,,
8,24,24,1,24,24,24,24,24,7,24,6,24,24,24,24,24,5,3,24,24,2,24,4,,
24,24,24,24,5,24,24,24,24,24,24,24,24,24,24,3,24,2,24,24,1,4,24,24,,
24,24,24,4,24,3,6,24,24,24,24,24,24,24,24,1,24,24,24,24,3,2,5,24,,
15,6,4,1,23,24,17,11,10,7,5,8,9,13,12,20,14,19,2,18,21,3,16,22,,
24,24,24,24,24,24,24,24,24,24,24,3,24,24,24,4,24,24,24,24,2,1,24,24,,
18,20,15,1,2,4,13,17,7,19,6,11,22,14,16,10,21,5,8,23,24,3,12,9,,
