rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,numSeats,numCands
11,39,54,23,25,45,6,44,24,48,40,18,53,1,32,30,40,1,1,55,47,29,1,2,55,5,11,20,40,30,50,30,13,37,51,15,30,5,49,54,55,2,54,50,41,52,43,1,20,42,10,5,20,5,55,1.0,55.0
55,55,55,55,55,55,55,55,55,55,55,6,2,55,55,5,55,55,55,55,55,55,55,55,55,10,55,55,55,55,55,55,55,55,9,55,55,1,55,55,55,55,55,55,3,55,4,55,55,8,55,55,55,55,55,,
2,25,55,4,20,37,6,35,47,27,15,26,23,18,42,39,53,48,50,12,49,24,30,54,17,3,31,45,21,8,43,11,29,38,46,9,51,13,16,33,28,36,19,40,10,52,32,5,14,22,1,34,44,41,7,,
42,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,5,55,6,50,55,28,26,1,55,45,15,42,55,55,55,20,55,29,42,3,35,55,55,4,55,55,55,55,55,55,2,55,55,55,30,55,25,55,,
52,27,55,55,25,50,55,11,16,8,50,23,50,44,50,50,28,6,51,5,1,50,12,50,4,50,50,22,52,55,7,55,15,26,9,43,19,17,50,55,2,21,55,24,50,14,10,20,52,52,55,18,13,50,3,,
6,29,10,43,39,17,50,32,38,40,31,30,39,51,37,12,43,15,47,5,49,11,39,46,9,48,39,16,3,35,47,21,20,51,52,55,8,34,36,4,3,35,19,51,18,52,54,7,13,2,46,39,1,40,14,,
22,31,55,42,23,14,13,49,48,35,44,25,34,4,35,2,39,45,24,1,55,18,47,37,16,20,9,30,17,21,52,38,27,33,50,3,7,46,29,19,12,26,10,6,5,28,51,11,8,27,41,32,55,36,15,,
10,39,51,6,21,38,49,46,32,22,37,50,43,8,40,24,25,33,52,2,36,45,11,5,3,42,7,35,16,34,23,30,27,48,14,17,13,44,26,47,4,28,15,31,20,29,21,9,15,21,18,19,41,1,12,,
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,2,55,4,7,55,55,55,5,55,55,55,55,55,55,55,3,55,55,55,55,55,55,55,6,55,55,55,55,55,55,1,55,55,55,55,55,55,55,,
4,55,55,55,55,55,55,55,55,55,55,11,55,55,54,55,55,55,55,2,55,55,55,55,3,55,55,55,55,55,55,55,55,55,55,7,55,55,53,55,1,55,8,55,55,55,55,55,55,55,55,55,10,8,9,,
