rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,numSeats,numCands
25,25,17,17,4,1,18,2,25,17,17,17,17,17,17,25,17,17,3,5,25,17,25,17,17,1.0,25.0
25,25,25,25,5,9,25,2,6,4,25,25,3,9,1,25,25,25,25,25,25,9,25,9,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,25,25,25,25,25,25,25,25,,
25,24,19,22,12,11,9,4,1,8,21,17,20,10,7,2,18,6,23,3,14,16,15,13,5,,
3,25,25,25,4,25,25,25,1,25,25,25,25,25,25,25,25,25,25,25,25,2,25,25,25,,
25,25,25,2,25,25,25,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3,,
25,6,17,17,3,3,5,17,25,9,21,20,12,3,7,10,11,18,17,8,17,17,25,4,19,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
25,25,25,25,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
23,15,12,13,1,8,16,2,19,11,4,22,18,7,10,21,6,5,14,17,24,20,25,9,3,,
25,25,25,25,2,7,25,7,25,7,25,25,25,2,7,25,25,25,25,1,25,25,25,7,25,,
22,8,12,5,2,7,19,15,14,15,13,4,1,6,9,21,11,17,10,23,16,25,20,2,24,,
23,22,17,18,3,7,5,9,1,8,14,11,13,2,6,25,10,24,20,21,16,12,19,4,15,,
25,24,13,15,4,10,5,2,1,12,18,19,14,8,9,6,7,20,3,21,17,16,23,12,22,,
18,13,5,12,14,8,3,16,24,1,21,22,11,7,6,23,20,9,10,2,4,15,19,17,25,,
25,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,25,25,25,,
14,9,10,2,16,5,22,13,18,3,11,24,12,15,4,23,19,8,1,25,21,6,20,17,7,,
25,22,22,22,2,3,22,7,25,22,22,1,6,7,5,22,22,4,22,22,22,23,22,7,22,,
12,16,13,10,4,3,15,8,25,5,18,7,22,6,21,19,23,14,9,2,20,24,17,1,11,,
13,14,9,5,12,1,15,7,17,10,24,11,16,6,2,25,8,4,19,3,20,22,21,18,23,,
19,19,1,5,9,7,19,13,8,11,19,21,10,12,3,20,4,25,6,19,22,19,23,2,24,,
25,22,9,20,1,3,10,4,15,11,23,8,5,2,7,16,19,12,17,14,13,21,24,6,18,,
24,11,14,21,5,5,16,10,24,10,6,17,10,5,5,25,14,12,19,18,24,10,24,5,15,,
9,25,19,16,1,5,21,6,10,7,15,8,11,2,4,14,13,17,18,20,24,12,24,3,23,,
24,23,13,22,3,4,11,7,25,9,1,20,15,2,10,17,16,5,12,6,18,14,21,8,19,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
25,25,25,25,25,25,25,25,25,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
22,6,10,11,2,4,17,9,22,9,14,19,13,1,9,20,23,15,5,18,24,13,25,4,16,,
10,10,10,10,1,1,10,8,6,7,10,10,10,1,5,10,10,10,10,10,10,10,10,1,10,,
22,15,16,19,1,7,20,9,18,4,24,25,23,6,3,8,5,12,14,17,10,11,13,2,21,,
25,20,19,10,1,3,9,7,25,6,16,15,13,2,5,25,12,17,11,8,25,14,25,4,18,,
25,25,2,25,25,25,25,3,25,25,25,25,25,25,1,25,25,25,25,25,25,25,25,25,25,,
4,12,17,10,6,8,10,8,15,8,9,14,3,2,1,13,13,4,11,16,18,3,18,7,5,,
25,25,25,25,25,25,25,25,25,2,25,25,25,3,4,25,25,25,2,25,25,25,25,25,25,,
25,18,14,18,12,5,18,6,25,1,16,15,4,2,8,25,11,9,17,7,25,3,25,13,10,,
25,25,25,25,1,4,25,25,2,25,25,25,25,4,25,25,25,25,25,25,25,25,25,4,25,,
24,17,7,17,15,13,5,3,24,9,25,13,13,2,1,4,18,21,8,17,24,13,24,6,13,,
25,25,25,25,2,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,25,25,25,,
25,2,6,25,25,25,5,7,25,25,25,25,25,25,4,25,25,25,25,25,24,25,25,1,3,,
25,25,25,25,4,1,25,8,25,8,9,25,3,2,8,25,25,25,25,25,25,25,25,8,25,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
