rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
11,11,11,11,11,11,1,11,11,11,11,1.0,11.0
11,7,1,6,2,5,11,3,11,4,11,,
11,11,11,11,11,11,11,11,11,1,11,,
6,10,2,4,3,8,7,9,11,1,5,,
4,4,4,4,2,4,4,4,3,4,1,,
11,11,11,11,11,11,1,11,11,11,11,,
9,4,1,7,5,2,10,3,8,11,6,,
10,9,10,1,10,11,10,10,10,10,10,,
11,11,1,11,11,11,11,11,11,11,11,,
11,11,11,11,11,11,1,11,11,11,11,,
8,2,6,1,4,11,5,7,9,10,3,,
11,11,2,11,11,11,11,11,11,1,11,,
11,11,11,11,11,11,11,11,11,1,11,,
11,11,11,11,11,11,2,11,11,1,11,,
11,11,11,11,11,11,11,1,11,2,11,,
11,11,11,11,11,3,4,4,11,2,11,,
11,1,11,11,2,3,11,11,11,4,5,,
10,3,4,7,5,6,11,8,2,1,9,,
11,11,3,11,1,11,11,11,11,2,11,,
11,11,1,11,11,2,11,11,11,11,11,,
11,2,11,4,1,5,11,5,11,11,3,,
3,11,4,11,4,11,5,11,11,1,2,,
11,1,11,11,11,11,2,11,11,11,11,,
11,11,2,11,11,4,11,1,11,3,11,,
11,11,11,11,11,11,11,11,11,1,11,,
11,2,4,11,11,11,11,11,11,1,3,,
11,1,11,11,11,11,11,11,11,11,11,,
10,2,4,8,1,7,9,6,11,5,3,,
1,11,11,8,6,7,9,5,3,4,2,,
11,2,5,4,1,6,11,7,11,8,3,,
11,11,11,11,2,1,11,2,11,11,11,,
11,1,5,3,4,6,8,9,10,7,2,,
10,7,4,2,8,5,1,11,9,6,3,,
11,1,3,11,2,11,11,11,11,11,11,,
11,2,4,11,3,5,7,6,11,11,11,,
11,11,1,11,11,1,11,1,11,1,11,,
9,4,6,1,5,10,2,8,11,7,3,,
8,2,3,4,9,7,10,9,8,5,6,,
10,11,11,11,11,11,1,11,11,11,11,,
11,11,11,11,11,11,11,11,11,11,1,,
11,11,11,11,11,11,11,11,11,11,11,,
5,4,1,7,2,8,11,3,11,6,11,,
11,1,3,4,2,3,11,3,11,11,4,,
11,11,11,11,11,11,11,11,11,1,11,,
11,3,11,11,1,2,11,4,6,11,5,,
11,11,11,11,11,11,1,11,11,11,11,,
11,11,2,11,7,4,11,1,11,5,3,,
11,2,11,1,11,11,11,11,11,11,11,,
11,11,11,11,11,11,11,11,11,1,2,,
11,11,11,11,2,11,1,11,11,11,11,,
11,11,1,11,11,1,11,1,11,1,2,,
11,11,11,1,11,11,11,11,11,11,11,,
11,6,2,5,10,3,8,1,7,4,9,,
1,4,4,4,4,4,3,4,4,2,4,,
11,11,2,11,11,11,11,11,11,1,11,,
11,11,11,11,11,11,1,11,11,11,11,,
