rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,rank86,rank87,rank88,rank89,numSeats,numCands
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,2,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,1,89,89,89,89,89,89,89,89,89,89,89,3,89,89,89,89,89,1.0,89.0
89,1,89,89,89,1,89,89,89,1,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,1,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,1,89,89,89,1,89,89,89,89,89,89,89,89,89,89,89,89,89,1,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,,
4,89,89,2,89,89,89,89,89,89,89,89,89,89,89,89,1,89,89,89,89,89,89,89,89,89,89,3,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,,
2,89,12,89,89,13,89,11,89,1,89,9,89,89,4,3,6,89,7,89,89,89,89,89,89,89,8,89,89,89,89,89,89,89,89,16,89,89,89,89,89,89,89,89,89,89,19,89,89,89,89,89,89,15,20,89,89,5,89,89,89,89,89,89,89,10,89,89,18,89,17,89,89,89,89,89,89,89,89,89,89,89,89,1,89,89,89,89,89,,
89,89,89,89,89,7,89,89,4,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,9,89,2,5,89,8,89,89,89,89,89,89,89,1,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,3,10,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,,
89,89,89,89,89,89,89,89,2,89,89,3,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,1,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,,
4,89,89,89,2,5,89,1,89,89,89,89,89,89,5,89,89,89,89,89,89,89,5,89,89,89,89,89,89,89,89,4,89,89,89,89,1,89,6,89,89,89,89,89,5,89,89,89,89,89,89,89,89,89,89,89,5,89,89,89,89,7,3,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,7,89,89,89,89,89,89,,
89,89,8,89,1,89,89,89,89,89,89,4,89,89,89,89,89,89,89,89,89,89,9,89,89,89,89,89,89,89,89,7,89,89,89,89,6,89,89,89,89,89,89,3,89,89,12,89,89,89,5,89,89,89,89,89,89,89,2,89,89,89,14,89,89,89,89,89,89,89,11,10,89,89,89,89,15,13,89,89,89,89,89,89,89,89,89,89,89,,
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,6,89,89,89,7,89,89,89,89,89,89,89,89,4,89,89,89,89,89,89,89,89,4,89,89,89,89,89,89,89,89,89,89,1,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,2,89,8,89,89,89,89,89,89,89,89,89,89,8,89,5,89,89,89,89,89,,
89,89,89,89,89,89,89,89,89,4,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,1,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,2,89,89,89,89,89,2,89,89,89,89,,
