rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,numSeats,numCands
3,36,36,12,4,11,14,12,1,36,36,36,15,2,5,36,11,36,36,36,36,9,2,36,8,36,6,36,36,7,36,11,10,36,13,36,1.0,36.0
36,36,36,36,36,36,36,36,36,36,36,36,36,36,2,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,1,36,36,36,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,2,36,36,36,36,36,36,1,36,36,36,36,,
36,4,36,3,36,36,11,36,1,36,36,12,8,36,6,36,13,7,10,9,36,36,36,5,36,36,36,36,36,36,2,36,36,36,36,36,,
36,36,36,36,36,36,36,36,36,36,36,36,2,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,19,36,36,36,1,36,36,36,36,36,36,1,36,36,36,36,,
36,36,36,36,36,1,36,36,36,36,36,5,36,36,36,36,36,36,3,36,36,36,36,36,36,36,2,36,36,36,36,36,36,36,4,36,,
2,5,35,11,14,25,12,16,31,3,17,9,10,29,1,33,30,8,6,19,26,36,15,7,23,28,27,34,13,18,32,22,24,4,21,20,,
36,2,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,2,2,36,36,36,36,1,36,2,36,36,36,36,36,36,2,1,36,36,,
3,13,1,20,17,23,36,9,36,12,36,18,36,15,4,36,10,19,36,16,22,2,8,36,36,36,36,21,6,5,7,36,24,36,14,11,,
36,36,34,36,36,36,36,36,35,36,36,36,36,36,33,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
36,36,36,2,36,36,1,36,5,36,36,5,36,36,4,36,36,36,36,36,36,36,36,36,36,36,36,36,4,36,36,7,36,36,36,36,,
36,36,2,36,36,36,36,36,36,36,36,36,36,36,1,36,36,36,36,4,36,36,36,36,36,36,36,36,36,36,36,36,7,36,36,36,,
36,36,36,2,36,36,36,36,3,36,36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
36,5,36,2,36,4,2,36,20,36,36,36,20,36,36,36,36,30,10,36,36,36,36,36,36,36,1,36,36,3,36,36,20,36,10,36,,
36,36,36,36,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
22,21,7,5,23,26,4,16,9,12,33,36,10,34,17,15,35,18,30,25,27,7,29,18,1,11,14,32,3,13,6,2,28,20,24,31,,
36,36,36,36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,2,36,36,,
30,14,2,12,33,11,19,35,7,31,27,24,9,34,6,32,28,16,15,20,10,4,36,17,1,5,23,29,26,25,8,3,18,13,21,22,,
8,36,36,8,36,2,36,8,2,36,36,35,1,10,9,2,36,2,7,36,36,36,36,36,7,8,10,36,36,36,8,2,36,36,36,36,,
36,3,36,36,36,36,36,36,2,36,4,36,1,36,4,36,36,3,3,36,36,36,36,3,36,36,36,36,36,36,36,36,36,3,36,36,,
36,36,36,36,36,36,4,5,36,36,36,36,36,36,1,5,36,36,36,36,36,2,36,36,6,36,36,36,36,36,36,36,2,36,36,36,,
36,36,3,6,36,36,7,36,10,15,9,36,4,36,15,36,36,15,16,11,13,17,36,36,5,1,36,15,2,36,36,36,12,14,36,8,,
35,35,34,5,35,34,5,35,4,34,36,35,34,35,34,7,35,35,35,35,34,34,35,35,1,34,34,35,34,6,33,2,3,35,35,35,,
36,6,36,36,36,36,36,36,36,36,36,36,36,1,36,36,36,36,10,36,36,36,36,36,1,1,36,36,36,36,36,4,36,5,6,10,,
36,2,36,36,36,36,36,36,36,36,4,36,4,36,36,36,36,1,3,36,36,36,36,2,36,36,36,36,36,36,36,36,36,5,36,3,,
36,21,21,21,9,2,36,9,4,36,3,21,36,36,36,21,10,36,36,8,36,21,9,36,36,1,21,21,21,7,5,36,9,21,6,21,,
36,36,5,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,3,36,2,1,36,36,4,36,36,6,36,,
36,36,36,36,36,7,36,36,36,36,36,36,3,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,6,36,36,36,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,3,36,36,36,36,36,36,2,36,1,36,,
35,12,15,35,35,1,10,35,3,35,35,35,2,35,6,35,35,35,11,35,16,35,35,14,5,35,3,35,4,4,3,5,35,13,35,35,,
36,36,2,4,36,36,4,36,3,36,36,36,36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
36,36,36,36,36,36,36,36,10,36,36,36,24,36,36,36,36,36,11,36,20,36,36,36,36,36,6,36,36,36,36,36,36,36,1,36,,
34,34,4,34,34,4,34,34,4,34,34,34,34,34,1,34,34,34,34,4,4,34,34,34,10,10,4,34,4,34,4,34,1,34,34,34,,
36,36,6,36,36,36,5,36,4,36,36,36,3,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,7,1,36,2,8,36,36,,
36,36,36,36,36,1,36,36,36,36,36,36,4,36,36,36,36,36,36,36,36,36,36,36,36,36,3,36,36,36,36,36,2,36,36,36,,
5,36,36,36,36,36,36,36,2,36,3,1,4,36,36,36,36,36,36,36,6,36,36,36,36,5,36,36,36,3,36,36,36,36,36,36,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,34,34,34,34,36,34,34,34,34,34,1,34,34,3,33,34,34,34,34,34,34,,
36,36,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
35,30,30,30,30,30,30,30,35,30,35,4,5,30,6,30,30,1,3,36,30,30,30,2,30,30,30,30,30,30,30,30,35,31,30,35,,
36,36,36,36,36,2,36,36,8,36,36,36,6,36,36,36,36,36,36,36,7,36,36,36,3,36,36,36,36,36,5,1,36,36,4,36,,
36,36,36,4,36,36,4,36,2,36,36,36,3,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,36,,
36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
36,36,3,4,36,6,4,36,36,36,36,10,7,36,2,15,36,9,36,36,6,3,36,9,1,14,12,36,4,36,13,1,5,36,16,36,,
36,16,18,36,36,6,36,10,2,36,30,4,3,34,1,29,25,17,15,16,10,8,36,36,14,19,36,36,35,5,6,13,26,9,15,10,,
34,20,5,15,32,2,18,35,4,31,25,14,11,35,17,35,30,22,24,12,8,36,33,21,9,1,7,34,16,29,10,13,3,24,6,19,,
36,36,36,3,36,36,2,36,36,36,36,36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,4,36,36,36,36,36,36,36,36,,
36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
2,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,36,,
35,8,35,2,35,14,4,35,9,35,35,3,6,36,35,35,35,35,11,35,35,12,35,13,35,7,35,35,1,5,10,35,35,35,35,35,,
34,12,18,27,33,4,28,35,31,20,16,17,30,24,1,21,15,23,13,19,5,8,36,9,7,14,25,2,26,32,22,6,3,11,10,29,,
