rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,numSeats,numCands
12,17,3,9,5,11,21,8,2,13,14,19,23,15,6,10,1,23,7,4,18,16,20,1.0,23.0
6,18,8,7,18,15,10,9,1,18,2,18,13,18,16,14,5,3,12,4,18,17,11,,
9,17,5,7,11,14,22,4,2,10,3,18,23,16,21,12,8,20,1,6,15,13,19,,
10,17,2,8,9,16,20,7,1,12,14,19,21,18,13,6,3,22,4,5,11,15,23,,
12,13,7,11,6,18,21,9,3,10,14,20,23,17,4,8,2,22,1,5,16,15,19,,
7,17,3,5,15,16,20,6,1,14,12,19,22,18,9,4,2,23,11,8,13,10,21,,
11,13,5,4,14,19,20,9,1,15,2,23,21,17,7,12,3,22,8,6,10,16,18,,
11,15,4,5,8,16,20,9,2,10,18,19,22,17,3,6,1,23,12,7,14,13,21,,
9,11,3,12,14,18,19,10,1,13,7,20,23,17,8,4,2,22,5,6,16,15,21,,
6,19,4,12,13,17,21,11,1,14,5,18,23,16,3,10,2,22,8,7,15,9,20,,
4,21,5,7,6,19,10,11,1,9,15,22,23,18,16,3,2,20,17,12,13,8,14,,
9,14,6,4,10,17,21,8,2,13,18,20,23,15,7,12,1,22,3,5,16,11,19,,
4,16,7,3,5,14,21,12,1,11,19,18,23,17,9,8,2,22,10,6,15,13,20,,
4,23,4,4,23,23,23,3,2,23,23,23,23,23,9,4,1,23,4,9,9,23,23,,
8,17,2,3,7,18,14,10,1,9,19,20,22,16,11,6,5,23,15,4,12,13,21,,
3,17,6,10,11,14,13,7,2,9,1,19,23,20,21,16,5,22,8,4,18,15,12,,
15,16,1,10,23,23,23,5,2,23,4,23,23,23,7,8,3,11,9,6,13,12,14,,
10,15,6,8,4,18,19,7,14,12,13,20,23,16,2,5,3,22,1,9,17,11,21,,
17,8,10,11,4,9,19,6,22,5,23,18,20,12,1,2,15,21,7,14,13,3,16,,
3,17,7,14,5,16,18,13,22,6,12,19,8,15,11,2,23,20,1,9,21,10,4,,
3,15,8,5,10,16,18,7,1,9,17,21,22,20,11,4,2,23,13,6,12,14,19,,
23,23,23,23,23,23,23,23,2,23,1,23,23,23,23,23,4,23,5,3,23,23,23,,
8,12,1,7,5,13,20,6,4,9,18,19,23,11,17,10,16,23,15,3,2,14,23,,
4,15,14,5,17,23,8,13,2,19,1,7,12,22,21,16,10,3,9,6,18,20,11,,
8,18,4,3,7,17,20,6,2,12,15,16,22,19,11,9,1,23,5,10,14,13,21,,
8,23,6,1,23,23,23,7,2,23,23,23,23,23,23,3,4,23,5,9,23,23,23,,
3,16,8,13,11,14,15,7,1,10,21,19,22,17,5,9,2,23,6,4,20,12,18,,
4,23,23,23,23,23,20,23,2,12,1,10,23,23,23,23,6,3,23,5,23,23,22,,
18,19,3,5,6,23,9,17,1,11,2,8,14,15,16,20,13,22,10,4,7,21,12,,
6,13,9,4,5,16,20,3,1,11,7,19,22,18,17,14,8,23,12,2,10,15,21,,
11,13,3,8,10,17,20,1,7,14,9,19,23,15,6,2,5,22,16,4,18,12,21,,
7,23,8,10,23,23,22,5,1,23,2,23,23,23,23,23,3,23,9,4,23,23,23,,
11,16,4,14,3,18,20,7,2,9,10,22,21,16,5,12,1,23,6,8,15,13,19,,
6,13,4,11,10,18,18,12,1,9,5,18,18,16,17,8,2,18,7,3,14,15,18,,
18,16,4,6,11,17,23,8,2,12,3,14,23,23,9,10,1,23,5,7,13,15,19,,
