rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
1,11,11,11,11,11,11,11,11,11,11,1.0,11.0
11,1,3,10,6,8,5,4,2,7,9,,
11,11,1,11,11,11,11,2,11,11,11,,
1,11,11,11,11,11,10,11,11,11,11,,
11,11,4,11,2,1,11,11,11,11,3,,
11,1,2,9,5,7,8,10,4,6,3,,
11,2,1,11,11,4,11,11,3,11,5,,
3,4,8,6,5,1,11,7,11,11,2,,
1,11,3,6,4,2,11,11,11,11,5,,
11,4,10,7,1,9,6,5,2,8,3,,
11,11,1,11,3,11,11,2,11,11,11,,
11,5,9,10,7,1,6,4,8,3,2,,
4,6,1,11,3,11,11,2,11,11,11,,
1,11,11,11,11,11,2,11,11,11,3,,
11,5,7,8,6,9,3,10,4,1,2,,
11,11,11,11,11,11,11,2,1,11,11,,
11,11,11,11,11,11,11,11,11,11,11,,
6,11,3,4,1,8,10,9,2,5,7,,
11,3,10,7,8,2,4,9,5,6,1,,
11,11,11,3,11,2,11,11,11,1,11,,
11,3,5,2,7,6,4,8,11,1,11,,
10,7,11,4,5,3,6,9,8,1,2,,
10,4,11,9,8,1,2,7,6,3,5,,
4,10,5,9,8,1,7,2,3,6,11,,
7,8,4,6,3,1,10,5,11,9,2,,
1,11,11,11,3,11,11,2,11,11,11,,
3,8,1,10,7,2,11,6,9,4,5,,
11,3,1,9,4,7,10,5,8,6,2,,
11,4,5,11,11,11,2,11,1,11,3,,
11,4,9,10,5,3,1,7,6,8,2,,
11,11,1,1,1,11,11,2,11,11,3,,
