rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,rank86,rank87,rank88,rank89,rank90,rank91,rank92,rank93,rank94,rank95,rank96,rank97,rank98,rank99,rank100,rank101,rank102,rank103,rank104,numSeats,numCands
56,58,15,83,74,76,66,100,16,9,85,54,38,62,71,30,59,40,90,78,43,104,33,52,69,6,12,60,86,96,98,84,101,55,88,2,34,49,65,8,95,24,70,99,42,79,93,94,53,75,72,47,64,57,91,89,14,29,13,45,51,17,82,28,41,5,32,63,97,37,26,23,19,48,20,61,50,27,1,25,44,3,80,81,18,87,46,68,92,73,39,67,4,21,36,102,10,31,7,22,11,77,103,35,1.0,104.0
42,93,34,93,93,93,93,54,36,97,55,25,17,96,104,93,15,32,11,93,56,45,93,38,93,41,46,4,5,29,93,12,40,22,61,100,93,93,93,33,27,20,93,14,93,93,10,51,6,93,23,19,93,93,65,8,31,98,24,18,93,30,93,26,32,21,93,101,2,16,63,44,93,50,43,60,53,39,28,102,93,93,93,35,2,99,48,62,9,103,64,93,49,57,13,1,52,37,7,44,93,47,93,93,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
104,104,5,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,9,104,10,6,104,104,104,104,104,2,104,104,104,104,104,104,104,104,104,104,104,104,104,104,3,104,104,104,104,103,104,104,104,8,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,7,104,104,104,104,104,104,104,104,104,104,104,104,104,104,4,104,104,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,103,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,2,3,104,104,104,4,104,104,104,104,104,104,104,10,11,104,104,104,8,104,104,104,104,104,104,104,104,104,7,104,104,104,104,104,104,104,104,104,104,104,104,104,104,12,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,9,104,104,104,104,5,6,104,104,104,104,104,104,104,104,104,104,104,104,104,,
13,104,104,104,104,104,104,104,104,104,10,104,104,104,104,104,6,104,104,19,15,104,104,104,2,17,104,1,7,104,104,16,104,104,104,104,104,104,104,104,104,104,22,104,104,104,104,104,104,104,104,9,104,24,104,5,104,104,104,23,104,104,104,12,104,104,104,104,3,104,104,104,104,104,104,104,104,104,104,104,104,104,14,104,4,11,104,104,18,104,104,104,104,104,104,8,20,104,104,104,104,21,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,9,104,1,104,104,104,4,8,104,104,104,12,11,104,104,104,104,104,104,5,104,104,104,104,104,104,104,104,104,104,10,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,6,3,7,104,2,104,104,104,104,104,104,104,104,104,104,,
