"rank1","rank2","rank3","rank4","rank5","Num Cands","Num Seats"
"2","3","5","4","1","5.0","1.0"
"2","4","5","3","1","nan","nan"
"4","1","5","3","2","nan","nan"
"3","2","4","5","1","nan","nan"
"4","3","5","2","1","nan","nan"
"2","3","5","4","1","nan","nan"
"1","4","5","3","2","nan","nan"
"2","3","5","4","1","nan","nan"
"3","2","5","1","skipped","nan","nan"
"4","2","5","3","1","nan","nan"
"4","3","5","2","1","nan","nan"
"3","2","5","4","1","nan","nan"
"3","2","5","4","1","nan","nan"
"1","4","5","2","3","nan","nan"
"2","4","5","3","1","nan","nan"
"3","2","4","5","1","nan","nan"
"3","2","5","4","1","nan","nan"
"3","2","5","4","1","nan","nan"
"2","3","5","4","1","nan","nan"
"3","2","5","4","1","nan","nan"
"3","2","5","4","1","nan","nan"
"3","2","5","1","skipped","nan","nan"
"4","2","5","3","1","nan","nan"
"3","2","5","4","1","nan","nan"
"3","2","5","1","skipped","nan","nan"
"2","3","4","5","1","nan","nan"
"2","4","5","3","1","nan","nan"
"4","1","5","2","skipped","nan","nan"
"3","2","5","4","1","nan","nan"
"3","2","5","4","1","nan","nan"
"2","3","5","4","1","nan","nan"
