"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","rank21","rank22","rank23","rank24","rank25","rank26","Num Cands","Num Seats"
"26","1","2","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","26.0","1.0"
"22","4","12","23","13","5","7","6","25","8","3","26","1","2","24","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","26","6","3","5","7","4","2","8","1","9","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"26","13","10","11","1","4","9","7","12","14","2","5","8","3","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"26","8","3","7","9","5","2","15","11","1","16","17","14","10","4","6","13","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"22","5","13","6","9","25","10","26","3","7","4","23","18","1","2","16","11","14","17","12","8","15","skipped","skipped","skipped","skipped","nan","nan"
"26","4","1","2","3","5","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","24","6","14","3","17","16","5","26","1","15","13","19","22","21","2","7","10","23","4","9","12","25","8","11","skipped","nan","nan"
"25","23","9","11","3","2","8","19","14","24","6","20","1","7","21","4","10","26","16","13","18","12","15","5","17","22","nan","nan"
"12","21","26","14","9","11","17","8","24","6","10","25","20","22","13","18","2","23","4","15","7","1","19","16","5","3","nan","nan"
"26","12","11","10","2","6","8","4","7","1","5","16","3","14","17","13","9","15","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"26","1","11","9","5","7","4","8","12","2","13","6","10","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","5","24","23","8","18","9","6","17","7","20","25","13","21","26","11","10","14","19","1","22","2","3","15","12","4","nan","nan"
"21","11","18","10","5","3","7","19","25","20","2","26","22","12","23","4","15","24","6","17","16","1","9","14","13","skipped","nan","nan"
"19","18","24","4","5","2","26","11","7","20","25","16","13","1","3","6","10","8","12","14","21","17","15","skipped","skipped","skipped","nan","nan"
"5","18","12","14","25","21","19","8","1","6","23","3","15","10","4","11","26","2","13","7","24","17","9","22","16","20","nan","nan"
"20","9","25","13","5","17","6","4","12","7","19","24","16","26","18","14","1","21","3","8","11","2","23","22","15","10","nan","nan"
