rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
3,2,6,5,1,10,10,4,10,10,1.0,10.0
3,8,2,5,1,8,4,9,10,8,,
4,5,3,1,2,9,6,8,10,7,,
2,4,3,10,1,7,9,5,8,6,,
1,6,7,2,3,9,10,4,5,8,,
5,4,3,8,2,6,9,1,7,10,,
7,2,3,8,1,10,9,4,6,5,,
5,4,2,3,1,8,9,10,6,7,,
10,7,5,8,4,6,9,10,10,10,,
2,9,6,3,7,5,8,4,1,10,,
3,7,2,10,1,6,9,5,4,8,,
10,10,1,10,10,10,10,10,10,10,,
5,2,4,9,6,8,3,10,1,5,,
10,10,10,10,1,10,10,10,10,10,,
3,6,7,1,2,8,5,9,10,4,,
10,2,1,3,5,10,10,4,10,6,,
1,8,6,4,3,10,9,5,2,7,,
3,10,4,10,1,10,10,2,10,10,,
6,4,2,5,1,7,10,8,3,10,,
1,3,4,10,10,10,10,2,10,10,,
3,5,6,2,1,10,10,4,10,6,,
4,8,3,6,1,5,10,2,7,9,,
4,10,2,10,1,10,10,3,10,10,,
4,2,3,10,1,10,10,10,10,10,,
10,3,4,10,4,10,1,2,10,10,,
3,10,1,10,2,10,10,10,10,10,,
10,3,8,7,6,4,5,2,1,9,,
1,10,2,10,3,10,4,10,5,10,,
1,10,4,10,2,10,3,10,10,10,,
3,2,1,8,5,7,4,10,6,9,,
1,3,5,2,4,10,10,6,7,10,,
3,5,4,6,1,7,9,10,8,2,,
5,10,3,9,4,7,8,6,1,2,,
2,10,10,3,1,10,10,10,10,10,,
3,2,2,1,1,5,5,1,6,3,,
2,10,10,10,10,10,3,1,10,10,,
4,10,5,10,1,10,10,3,10,2,,
3,10,2,10,1,10,10,4,10,10,,
10,2,3,5,1,10,10,4,10,10,,
2,10,4,10,1,10,10,3,10,10,,
4,4,2,10,1,10,10,1,3,4,,
