rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
10,10,10,10,1,10,10,10,10,10,1.0,10.0
8,7,10,1,9,6,4,5,3,2,,
5,1,4,9,3,8,7,10,2,6,,
5,1,10,6,3,2,4,9,7,8,,
9,6,10,5,4,3,2,7,1,9,,
3,6,1,7,10,4,9,8,2,5,,
3,4,5,2,8,7,9,10,1,6,,
3,6,5,2,1,10,10,10,7,4,,
1,4,3,6,5,7,9,10,2,8,,
1,7,10,3,6,4,9,8,2,5,,
4,10,3,8,9,2,6,7,1,5,,
5,3,5,2,5,5,5,5,1,4,,
10,2,10,10,10,10,10,10,2,1,,
4,8,9,7,6,3,2,10,5,1,,
1,7,4,8,9,10,3,5,2,6,,
7,6,10,3,4,5,2,9,8,1,,
2,1,5,3,6,9,7,8,4,10,,
1,6,4,3,7,5,2,10,9,8,,
6,10,5,10,10,1,4,2,3,10,,
10,3,10,10,10,10,10,10,2,1,,
8,7,5,2,10,3,6,9,4,1,,
3,10,2,10,10,10,4,10,1,10,,
1,3,10,5,6,4,9,7,2,8,,
3,1,10,6,2,7,8,9,5,4,,
3,1,10,8,3,10,6,6,2,4,,
1,6,5,7,2,9,8,10,4,3,,
2,5,8,3,7,6,9,4,1,10,,
3,2,10,9,6,8,7,4,5,1,,
5,6,9,7,2,10,1,3,4,8,,
4,2,10,6,7,5,9,8,3,1,,
1,2,3,4,10,6,9,8,5,7,,
10,10,10,10,10,3,2,10,1,10,,
10,1,7,8,2,9,5,6,4,3,,
10,10,6,1,5,1,10,1,4,10,,
