rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
5,1,4,8,3,8,9,10,2,8,1.0,10.0
7,1,5,3,5,8,6,4,2,9,,
10,10,3,7,3,10,3,4,6,8,,
10,4,3,10,3,6,2,5,1,10,,
7,3,9,6,10,5,2,1,4,8,,
5,2,9,4,9,6,7,3,8,1,,
2,7,6,3,5,4,9,10,8,1,,
10,10,10,10,10,10,1,10,10,10,,
4,7,5,6,5,8,1,2,9,3,,
10,10,5,10,4,10,1,2,3,10,,
10,10,10,10,10,10,10,10,1,10,,
1,10,8,4,9,5,2,3,6,7,,
4,1,10,8,9,6,3,7,2,5,,
3,1,9,6,8,4,10,5,2,7,,
10,10,10,10,10,10,1,2,10,10,,
3,8,6,5,6,10,4,1,2,9,,
10,1,10,10,10,10,2,3,2,10,,
1,5,4,10,4,10,2,2,5,3,,
8,5,2,9,3,10,1,6,4,7,,
10,10,10,10,10,10,1,10,10,10,,
10,10,10,10,10,10,1,10,10,10,,
10,1,10,10,10,10,10,2,10,10,,
10,10,10,10,10,4,1,2,10,3,,
10,4,1,10,1,10,3,3,2,10,,
10,3,5,6,10,10,4,2,10,1,,
5,1,10,6,10,10,2,3,10,4,,
2,1,3,9,3,10,4,6,7,5,,
10,1,10,10,10,10,10,10,2,10,,
10,10,10,10,10,10,10,10,10,10,,
2,1,8,4,9,6,10,5,3,7,,
2,7,9,5,4,10,1,3,6,8,,
1,9,5,4,6,8,3,2,10,7,,
10,1,10,10,10,10,10,10,10,10,,
1,10,4,1,4,9,7,7,8,1,,
3,1,10,6,7,4,8,9,2,5,,
6,5,4,8,3,7,1,2,10,9,,
10,2,10,10,10,10,1,10,3,10,,
