rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
5,7,4,1,9,6,2,8,3,1.0,9.0
8,2,5,1,3,9,4,7,6,,
7,6,4,1,9,8,5,2,3,,
2,2,3,1,7,5,5,6,4,,
5,3,2,4,9,6,1,8,7,,
1,5,9,2,3,7,8,6,4,,
2,2,3,1,9,3,3,9,6,,
8,4,1,2,7,9,6,3,5,,
9,1,5,4,2,9,3,9,9,,
3,6,8,1,9,5,7,2,4,,
9,1,2,3,9,9,4,9,9,,
5,2,3,7,9,8,1,4,6,,
2,8,6,1,3,5,4,9,7,,
4,2,8,5,9,6,3,1,7,,
8,4,1,2,7,9,6,3,5,,
7,9,5,2,6,4,1,3,8,,
8,2,1,5,9,3,7,6,4,,
5,1,2,9,4,6,7,9,3,,
3,4,6,1,9,7,2,5,8,,
3,2,7,5,8,4,1,6,9,,
8,4,5,2,9,1,3,6,7,,
4,2,1,8,9,7,6,3,5,,
8,1,2,3,9,7,4,5,6,,
5,8,5,2,9,3,1,7,5,,
2,5,7,1,9,6,8,3,4,,
2,7,1,9,9,5,6,4,3,,
7,4,5,1,6,2,3,8,9,,
1,4,8,3,9,5,2,7,6,,
2,5,6,4,8,9,7,1,3,,
8,3,1,2,9,7,4,6,5,,
4,5,2,1,9,7,3,6,8,,
9,1,3,4,8,7,6,5,2,,
4,2,3,1,9,8,6,5,7,,
1,4,6,8,9,7,3,5,2,,
9,3,4,5,7,1,2,8,6,,
9,2,5,1,9,4,3,7,6,,
9,5,9,9,9,9,9,5,5,,
7,4,1,2,6,3,5,9,8,,
3,1,2,7,9,8,6,5,4,,
8,7,3,2,9,1,5,6,4,,
