rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
4,6,5,1,2,3,1.0,6.0
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,5,2,1,3,6,,
4,6,3,1,2,5,,
3,6,4,1,2,5,,
5,6,3,1,2,4,,
5,6,3,1,2,4,,
4,6,2,1,3,5,,
3,5,4,1,2,6,,
5,6,3,1,2,4,,
4,6,3,1,2,5,,
5,6,3,1,2,4,,
5,4,3,1,2,6,,
4,5,3,1,2,6,,
5,6,3,1,2,4,,
4,5,3,1,2,6,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
5,6,3,1,2,4,,
4,6,3,1,2,5,,
4,5,3,1,2,6,,
4,6,3,1,2,5,,
5,6,3,1,2,4,,
5,6,3,1,2,4,,
5,6,5,1,5,5,,
4,6,3,1,2,5,,
2,5,4,1,3,6,,
4,6,3,1,2,5,,
5,6,3,1,2,4,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
5,6,3,1,2,4,,
5,6,3,1,2,4,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,5,3,1,2,6,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
5,6,3,1,2,4,,
3,4,6,1,2,5,,
4,6,3,1,2,5,,
5,6,3,1,2,4,,
5,6,3,1,2,4,,
5,6,3,1,2,4,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
5,4,3,1,2,6,,
5,6,3,1,2,4,,
2,6,4,1,3,5,,
4,5,3,1,2,6,,
4,6,3,1,2,4,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
3,5,4,1,2,6,,
4,6,3,1,2,5,,
5,6,3,1,2,4,,
5,6,3,1,2,4,,
4,5,3,1,2,6,,
5,6,3,1,2,4,,
4,5,3,1,2,6,,
4,5,3,1,2,6,,
5,6,3,1,2,4,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
5,6,3,1,2,4,,
4,6,3,1,2,4,,
4,6,3,1,2,5,,
4,5,3,1,2,6,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,5,3,1,2,6,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
5,6,3,1,2,4,,
4,6,3,1,2,5,,
4,5,3,1,2,6,,
4,5,3,1,2,6,,
4,6,3,1,2,5,,
4,5,3,1,2,6,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
5,6,3,1,2,4,,
5,6,3,1,2,4,,
4,5,3,1,2,6,,
5,6,4,1,3,2,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
5,6,3,1,2,4,,
4,6,3,1,2,5,,
4,5,3,1,2,6,,
5,6,3,1,2,4,,
4,6,3,1,2,5,,
3,4,5,1,2,6,,
3,6,3,1,2,5,,
4,6,3,1,2,5,,
5,6,3,1,2,4,,
4,6,3,1,2,5,,
4,5,3,1,2,6,,
4,6,3,1,2,5,,
6,6,3,1,2,4,,
5,4,3,1,2,6,,
4,6,3,1,2,5,,
4,5,2,1,3,6,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
5,6,3,1,2,4,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
5,6,3,1,2,4,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
5,6,3,1,2,4,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,6,2,1,3,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,5,3,1,2,6,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
4,5,3,1,2,6,,
4,5,3,1,2,6,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
5,6,3,1,2,4,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
5,6,3,1,2,6,,
2,6,4,1,3,5,,
4,6,3,1,2,5,,
3,6,4,1,2,5,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
5,6,3,1,2,4,,
4,6,3,1,2,5,,
4,6,3,1,2,5,,
6,5,3,1,2,4,,
