rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,numSeats,numCands
1,2,10,11,12,13,8,9,5,4,6,7,3,1.0,13.0
8,13,6,9,7,2,7,3,12,11,2,4,1,,
1,3,6,5,7,10,12,11,4,8,9,13,2,,
8,4,5,1,11,12,7,10,2,9,3,4,6,,
7,1,13,10,4,3,9,2,12,11,6,5,8,,
5,4,2,1,11,8,9,10,1,3,1,7,6,,
2,5,4,3,12,9,8,13,1,10,7,11,6,,
9,6,3,1,12,11,7,10,2,8,4,13,5,,
1,11,5,6,10,9,7,8,4,11,3,12,2,,
2,4,7,9,12,1,3,13,6,11,8,10,5,,
9,5,1,13,3,6,2,12,8,7,4,10,11,,
5,5,2,4,9,8,3,4,1,6,1,7,6,,
6,9,3,4,13,8,10,11,1,7,2,12,5,,
9,2,8,6,12,13,8,10,3,5,1,11,4,,
1,2,1,2,5,10,5,13,1,3,2,4,2,,
2,7,8,3,6,11,10,13,1,9,4,13,5,,
2,9,12,13,11,1,3,6,5,8,7,4,10,,
6,4,3,2,11,13,9,12,7,10,1,8,5,,
4,13,11,10,8,12,6,7,3,2,5,1,9,,
9,6,2,4,13,11,3,8,5,7,1,12,10,,
2,1,7,13,10,4,12,9,3,6,8,11,5,,
2,6,3,8,10,12,11,13,1,5,7,9,4,,
7,5,9,4,11,13,10,12,2,3,1,8,6,,
8,8,9,9,6,3,4,5,9,7,1,2,7,,
9,1,10,6,4,13,12,7,3,5,8,11,2,,
2,5,4,2,13,13,8,13,6,9,1,7,9,,
9,7,2,5,10,13,11,12,4,8,1,6,3,,
4,10,5,3,12,13,7,11,1,9,2,6,8,,
9,2,1,6,11,12,7,13,3,8,5,10,4,,
7,5,2,8,10,13,9,12,4,11,1,3,6,,
9,4,2,2,13,3,11,12,2,5,1,8,4,,
2,8,5,4,12,10,7,13,1,9,6,11,3,,
2,9,4,5,11,13,12,13,10,6,1,13,8,,
3,4,1,2,10,8,9,13,6,12,7,5,11,,
9,8,3,2,12,13,11,7,10,4,1,6,5,,
1,4,9,12,3,13,7,10,2,8,5,6,11,,
9,4,1,2,10,13,12,7,3,5,8,11,6,,
9,4,5,6,13,12,7,3,2,11,1,8,10,,
1,3,6,7,10,13,9,11,5,4,8,12,2,,
12,13,4,5,9,11,6,8,3,7,1,13,2,,
