"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","rank21","rank22","rank23","rank24","rank25","rank26","rank27","rank28","rank29","rank30","Num Cands","Num Seats"
"30","3","4","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","30.0","1.0"
"30","2","3","4","1","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"30","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","17","6","11","12","16","30","20","14","2","21","10","4","13","5","3","8","9","15","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","18","10","30","12","15","2","29","1","20","25","11","6","14","16","5","13","4","9","27","23","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","17","18","20","10","12","7","29","5","13","21","4","8","19","24","16","9","1","15","14","2","28","25","30","26","11","27","23","3","skipped","nan","nan"
"27","24","20","14","28","22","5","25","29","4","3","30","17","7","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"30","2","6","1","4","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"30","2","1","4","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","9","12","2","13","3","1","8","10","4","5","7","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","15","12","26","13","7","2","30","1","22","24","3","19","5","6","20","29","4","11","25","18","9","10","28","16","14","27","17","skipped","skipped","nan","nan"
"9","8","22","30","2","19","14","27","7","24","28","5","3","15","1","21","16","29","26","23","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","8","10","28","18","11","17","1","24","23","22","2","27","25","7","4","3","5","20","21","16","13","9","12","14","15","19","skipped","skipped","skipped","nan","nan"
"15","8","5","29","19","26","3","28","11","24","22","6","2","7","12","10","4","23","9","16","17","27","20","1","30","13","21","18","25","skipped","nan","nan"
"30","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","9","12","28","19","15","1","30","3","18","25","17","8","14","7","29","10","6","5","21","11","13","26","16","27","22","4","20","24","23","nan","nan"
"30","5","6","11","10","12","8","1","7","4","9","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","1","12","28","27","7","29","2","3","4","8","14","18","13","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"30","6","3","2","5","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"30","3","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","8","11","10","5","4","3","6","13","1","2","7","16","14","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","19","8","25","5","29","6","27","20","28","22","24","26","1","4","21","9","11","2","13","14","17","15","18","30","10","3","12","23","16","nan","nan"
"3","7","9","6","30","4","5","8","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","5","3","29","21","17","4","30","6","22","25","15","2","16","14","24","1","7","9","18","20","23","13","26","28","10","11","19","27","12","nan","nan"
"6","30","8","7","2","10","9","1","4","5","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"30","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","13","30","21","18","14","15","5","17","2","10","8","9","11","16","3","1","4","20","19","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","15","7","28","21","19","25","30","1","24","23","16","14","6","18","8","4","9","10","20","22","26","12","2","29","11","27","17","3","5","nan","nan"
"28","1","2","29","4","3","30","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"30","1","4","29","3","6","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","22","12","27","7","24","8","26","13","30","9","1","14","19","20","23","2","4","17","10","11","29","5","16","25","6","21","15","3","28","nan","nan"
"30","5","2","4","3","29","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"24","4","29","25","1","3","30","2","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","2","11","28","18","24","4","30","20","27","6","23","14","21","17","13","7","8","5","12","10","26","1","9","29","16","22","19","25","3","nan","nan"
"29","30","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","2","1","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","30","1","10","3","4","5","6","7","2","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","5","10","28","6","2","29","9","4","7","1","8","30","11","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","30","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"30","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","30","14","10","7","1","6","4","9","3","11","2","12","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","13","30","5","7","8","3","2","6","11","4","1","16","10","14","12","15","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","9","19","26","20","10","2","30","3","17","23","24","4","21","14","25","7","1","8","15","18","16","28","27","29","12","11","13","22","5","nan","nan"
"5","30","10","12","8","16","23","24","9","15","3","1","7","20","2","11","13","22","17","4","14","19","21","6","18","skipped","skipped","skipped","skipped","skipped","nan","nan"
"21","22","16","12","23","14","2","28","20","9","1","11","24","3","4","8","13","15","10","29","19","26","30","25","18","17","27","skipped","skipped","skipped","nan","nan"
"4","11","8","13","5","12","2","6","3","1","7","9","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"21","6","5","25","29","2","10","30","12","27","17","14","11","1","8","3","26","4","18","7","20","22","24","23","28","15","9","16","19","13","nan","nan"
"14","8","19","30","6","26","9","28","12","17","27","16","11","4","1","20","3","13","5","18","7","21","25","10","29","15","2","22","24","23","nan","nan"
"23","5","3","29","21","26","24","14","4","27","22","28","18","13","17","6","15","10","12","7","1","25","11","16","9","8","30","2","19","20","nan","nan"
