"rank1","rank2","rank3","rank4","Num Cands","Num Seats"
"4","1","skipped","skipped","4.0","1.0"
"4","1","skipped","skipped","nan","nan"
"1","4","skipped","skipped","nan","nan"
"4","skipped","skipped","skipped","nan","nan"
"4","skipped","skipped","skipped","nan","nan"
"1","4","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"3","1","2","4","nan","nan"
"4","skipped","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"1","4","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"1","4","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"4","3","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"1","4","skipped","skipped","nan","nan"
"1","4","skipped","skipped","nan","nan"
"1","4","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"1","4","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"1","4","skipped","skipped","nan","nan"
"1","4","skipped","skipped","nan","nan"
"4","skipped","skipped","skipped","nan","nan"
"4","skipped","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"1","4","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"1","4","skipped","skipped","nan","nan"
"1","4","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"4","skipped","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"4","skipped","skipped","skipped","nan","nan"
"1","4","skipped","skipped","nan","nan"
"1","4","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"4","1","2","skipped","nan","nan"
"4","skipped","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
"4","1","skipped","skipped","nan","nan"
