rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
2,10,3,4,1,5,8,7,6,9,Unknown,10.0
7,8,5,3,4,10,1,2,6,9,Unknown,
5,3,8,4,2,1,9,7,10,6,Unknown,
3,10,2,6,5,1,10,10,10,10,Unknown,
2,4,7,8,6,5,10,9,3,1,Unknown,
6,5,3,2,1,8,10,9,7,4,Unknown,
2,5,3,8,7,1,10,9,6,4,Unknown,
3,5,10,1,4,2,7,8,9,6,Unknown,
10,4,7,3,2,1,5,6,9,8,Unknown,
6,5,7,1,1,4,2,8,10,10,Unknown,
10,10,10,10,2,10,1,3,4,10,Unknown,
3,6,1,2,8,5,10,10,7,4,Unknown,
10,8,7,2,1,3,5,7,10,4,Unknown,
10,8,5,4,3,6,2,1,7,9,Unknown,
10,5,7,2,3,8,1,4,9,6,Unknown,
4,7,5,2,3,6,9,10,8,1,Unknown,
9,5,1,2,7,3,10,8,4,6,Unknown,
10,5,4,6,1,7,3,2,8,9,Unknown,
7,5,10,4,3,8,1,2,6,9,Unknown,
5,5,5,5,5,4,1,2,5,3,Unknown,
7,4,5,6,1,9,3,2,8,10,Unknown,
10,10,10,1,2,10,3,10,10,10,Unknown,
6,5,9,7,1,2,4,3,10,8,Unknown,
7,8,10,3,1,6,4,2,9,5,Unknown,
9,6,8,7,5,4,1,2,3,10,Unknown,
10,4,3,2,1,7,5,6,8,9,Unknown,
10,4,7,9,3,8,1,2,5,6,Unknown,
9,9,5,9,3,10,1,2,4,9,Unknown,
5,7,1,3,4,2,10,10,8,6,Unknown,
8,10,5,2,1,6,4,3,9,7,Unknown,
10,6,8,3,2,5,1,4,9,8,Unknown,
7,4,6,8,1,3,9,2,5,10,Unknown,
6,7,8,3,4,2,10,9,1,5,Unknown,
7,3,9,10,5,2,8,4,1,6,Unknown,
5,4,3,9,6,1,10,9,9,2,Unknown,
5,9,8,1,2,3,10,4,7,6,Unknown,
4,8,10,6,1,5,2,3,7,9,Unknown,
10,2,5,8,1,6,4,3,7,10,Unknown,
5,7,10,9,3,8,1,2,4,6,Unknown,
