rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,numSeats,numCands
34,1,3,34,34,34,34,35,34,34,34,18,4,34,34,34,6,18,35,18,34,6,35,8,35,7,34,34,34,2,5,34,34,9,35,1.0,35.0
35,35,3,13,5,35,10,35,35,35,14,15,7,35,35,8,35,35,12,35,35,4,35,2,35,11,35,35,6,1,9,35,35,35,35,,
35,35,2,35,1,35,1,35,35,35,35,35,2,35,35,35,1,2,35,35,35,35,35,1,35,1,1,3,35,3,35,35,35,2,2,,
35,6,35,1,35,35,9,8,35,12,35,10,35,14,5,35,7,35,19,11,35,35,35,13,17,3,35,35,18,35,1,35,15,4,16,,
16,28,9,24,30,13,4,1,7,15,27,26,5,18,17,10,31,29,20,3,32,23,33,14,21,25,11,19,6,35,2,34,8,12,22,,
34,29,14,30,7,21,16,27,4,13,23,20,12,17,35,31,5,6,24,32,25,19,28,3,33,2,8,18,10,11,15,22,26,9,1,,
35,1,2,35,35,35,35,35,35,35,35,2,1,35,4,35,35,35,35,4,3,35,35,35,35,35,35,35,35,35,35,10,5,3,35,,
35,3,1,35,6,8,5,10,35,35,35,35,35,35,10,35,35,35,35,35,35,35,35,4,35,35,9,35,35,3,2,35,35,35,35,,
14,5,2,10,14,9,11,7,14,8,14,14,14,3,14,14,14,14,14,14,14,14,14,13,14,6,14,14,14,12,4,14,1,14,14,,
35,7,35,1,35,35,11,35,35,4,35,35,35,2,10,35,35,35,35,35,10,35,35,35,14,5,35,35,35,6,3,35,13,12,35,,
35,7,27,32,19,10,13,20,6,9,22,16,15,23,3,25,33,35,5,8,34,4,26,2,1,24,21,17,18,31,12,14,29,30,11,,
10,16,2,35,4,11,22,20,8,26,30,21,27,17,1,24,34,32,19,28,25,7,18,6,13,31,3,29,5,12,23,14,15,9,33,,
35,35,35,2,35,35,8,35,35,35,6,35,35,11,3,12,5,35,35,35,35,35,9,10,35,35,35,35,35,1,4,7,35,35,35,,
1,30,33,33,35,35,35,35,35,35,35,27,32,35,35,35,35,35,35,35,31,35,33,35,35,35,35,35,35,26,35,33,34,33,35,,
14,26,2,16,13,8,34,3,26,26,34,26,26,15,26,35,7,26,28,4,17,26,34,29,27,9,12,34,11,5,1,26,34,6,10,,
35,3,35,2,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,1,35,35,35,35,35,35,35,35,35,35,35,,
13,3,13,13,13,13,7,13,12,11,13,4,2,13,10,13,13,6,8,13,13,13,13,13,13,5,13,1,13,13,13,13,13,13,9,,
35,1,5,2,35,35,13,8,4,35,6,35,35,35,35,35,35,35,12,9,35,35,35,35,35,35,11,35,35,7,10,35,35,3,35,,
35,35,35,35,35,35,35,35,35,35,35,35,3,4,35,35,35,35,35,2,35,35,35,1,5,35,35,35,35,35,35,35,35,35,35,,
35,35,35,35,2,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,1,35,35,35,35,35,2,35,35,35,35,35,,
31,2,20,1,18,10,12,23,22,35,15,13,24,7,3,30,6,34,26,25,28,9,4,8,19,16,32,33,14,29,27,17,5,21,11,,
35,35,35,35,6,35,35,4,35,35,35,35,35,8,35,35,35,11,35,9,35,11,35,35,3,2,7,35,5,35,35,35,35,35,10,,
35,4,1,35,35,35,35,35,35,35,35,6,2,35,7,35,9,35,35,35,3,35,35,35,35,35,35,35,35,35,8,35,5,35,35,,
28,2,2,25,24,21,32,30,31,22,9,23,20,26,12,19,6,11,35,16,33,8,18,1,34,14,14,27,7,1,13,10,17,5,29,,
