"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","rank21","rank22","rank23","rank24","rank25","rank26","rank27","rank28","rank29","rank30","rank31","rank32","Num Cands","Num Seats"
"13","7","12","18","10","29","32","22","8","11","4","16","20","2","3","31","21","1","9","19","5","15","17","23","14","30","6","skipped","skipped","skipped","skipped","skipped","32.0","1.0"
"32","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","32","15","10","20","16","22","24","8","14","11","3","12","5","17","6","21","9","7","18","23","19","1","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"32","7","3","1","2","5","4","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"30","1","2","3","31","22","29","25","32","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","32","1","20","3","10","5","30","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","15","18","21","5","11","10","8","6","12","22","7","20","4","23","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"25","32","19","20","21","1","28","26","24","23","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"32","9","6","10","14","1","5","4","2","3","8","11","7","13","12","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"29","15","30","31","32","28","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"32","2","5","1","3","4","6","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","14","7","10","12","19","29","24","15","17","16","27","1","6","9","3","2","30","21","23","32","5","8","31","11","26","18","22","20","25","28","4","nan","nan"
"17","20","13","10","19","32","27","31","12","8","14","25","7","16","28","15","1","23","21","2","11","30","29","22","24","9","26","18","skipped","skipped","skipped","skipped","nan","nan"
"3","16","8","12","14","27","18","32","10","9","22","21","4","15","17","1","19","13","25","2","7","6","11","20","29","23","28","5","26","31","24","skipped","nan","nan"
"27","8","22","29","5","31","7","28","3","4","19","2","30","6","1","32","25","21","23","26","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
