rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
2,8,1,4,7,5,6,3,8,1.0,9.0
3,4,9,6,2,1,8,7,5,,
3,8,7,4,2,1,5,6,9,,
6,8,4,7,5,1,3,2,8,,
9,4,6,7,2,3,5,1,8,,
9,9,9,9,9,9,4,1,9,,
9,3,9,9,9,9,4,1,2,,
5,3,6,1,2,9,7,4,9,,
3,7,2,9,1,4,5,6,8,,
1,9,9,9,9,9,9,9,9,,
2,9,8,9,3,4,9,1,9,,
1,3,4,5,5,5,2,4,3,,
1,9,7,4,5,3,7,2,9,,
1,7,9,5,4,2,6,3,8,,
2,5,7,9,4,3,6,1,8,,
6,8,1,7,3,2,4,5,9,,
1,8,6,3,4,7,5,2,9,,
5,3,8,9,1,6,7,4,2,,
4,1,9,9,9,9,9,3,2,,
1,6,8,7,2,3,5,4,9,,
7,3,8,4,1,2,9,6,5,,
2,4,9,9,5,3,9,1,9,,
1,9,9,9,9,9,9,2,9,,
3,9,1,6,2,4,5,8,7,,
1,9,9,9,9,9,9,9,9,,
1,9,2,4,6,8,3,5,7,,
1,5,9,6,9,2,9,3,4,,
3,7,2,9,5,1,4,8,6,,
4,9,7,1,5,3,6,2,8,,
3,8,5,6,1,1,4,2,7,,
5,8,3,7,1,4,2,6,9,,
7,3,9,4,1,5,6,8,2,,
1,9,9,9,9,9,9,9,9,,
7,5,9,8,3,2,1,6,4,,
1,6,5,9,7,8,4,3,2,,
2,9,9,9,4,3,9,1,9,,
2,6,9,1,5,4,3,8,7,,
