rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,numSeats,numCands
18,18,18,1,18,3,18,18,18,1,18,18,2,2,18,18,3,18,1.0,18.0
18,3,18,18,5,18,4,18,18,18,1,18,18,18,18,2,18,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,1,18,18,,
18,18,18,18,18,1,18,18,18,18,18,18,10,18,18,18,1,18,,
17,4,17,17,17,2,17,17,3,17,1,17,17,17,17,3,18,17,,
10,10,10,10,10,18,18,10,10,10,10,10,10,10,10,10,10,18,,
14,4,14,14,1,2,15,14,16,5,18,14,3,14,14,14,14,17,,
18,3,18,18,18,2,18,18,18,18,18,1,4,18,5,18,18,18,,
18,18,18,10,18,3,18,18,4,17,18,18,18,1,18,18,3,18,,
18,1,18,18,18,3,18,7,18,8,2,18,18,6,18,4,5,18,,
16,3,12,9,17,13,14,8,10,7,5,11,18,4,6,2,1,15,,
11,7,9,12,13,4,16,8,18,10,15,3,2,14,1,6,5,17,,
9,2,10,13,5,15,16,12,8,11,18,3,14,4,7,6,1,17,,
16,17,16,16,17,17,17,16,18,16,18,16,1,17,16,16,16,17,,
18,18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,,
3,5,8,1,18,7,16,12,13,15,2,11,6,4,14,10,9,17,,
18,2,18,18,1,18,18,18,18,18,18,18,3,18,18,18,18,18,,
10,5,18,10,3,1,16,10,17,2,14,10,4,7,11,6,14,15,,
12,3,15,10,5,2,17,11,8,4,7,13,1,6,9,16,18,14,,
17,4,18,18,1,2,18,18,18,16,18,5,3,18,18,15,18,18,,
13,18,18,11,12,10,2,4,5,9,14,18,3,6,7,18,8,1,,
18,5,18,18,2,18,18,18,18,1,18,18,3,17,18,18,18,18,,
18,18,18,18,18,18,2,18,18,18,1,18,18,18,18,18,18,18,,
18,7,18,18,18,1,8,18,18,4,18,5,3,18,18,6,2,18,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,,
18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,18,,
18,17,18,18,1,18,18,18,3,18,4,18,18,2,18,18,17,18,,
18,18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,,
18,18,18,18,1,18,18,18,18,18,18,18,18,2,18,18,18,18,,
6,2,4,15,1,3,18,9,10,7,12,13,16,8,11,5,14,17,,
5,18,15,8,17,16,2,7,1,6,11,10,3,4,9,12,14,13,,
18,18,11,18,2,1,6,18,4,8,9,18,3,18,18,7,5,10,,
8,1,8,18,2,3,8,8,8,8,8,8,8,17,8,8,8,8,,
12,7,14,8,10,3,17,5,13,1,2,9,11,4,18,15,6,16,,
18,18,18,18,18,2,18,6,18,7,1,3,5,18,4,18,18,18,,
3,2,4,7,15,8,17,5,18,9,1,13,10,6,11,12,14,16,,
18,1,18,18,18,2,18,18,18,18,18,18,18,18,18,18,18,18,,
7,13,12,6,11,16,17,4,8,1,15,9,14,2,5,3,10,18,,
1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
15,3,10,10,10,7,15,5,2,15,5,18,1,10,2,4,4,15,,
18,18,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
18,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,,
