rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,numSeats,numCands
52,52,52,52,52,52,2,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,3,52,52,52,52,52,52,1,52,52,52,52,52,52,52,52,52,52,52,52,52,1.0,52.0
52,52,52,8,52,8,1,52,4,52,52,52,1,52,52,52,52,52,52,52,52,52,52,3,52,52,7,52,5,52,52,6,52,52,52,52,52,52,52,52,8,52,52,52,9,52,52,52,52,52,52,52,,
52,52,52,52,52,52,52,7,52,52,4,52,52,52,52,52,52,52,52,52,52,52,1,6,52,52,52,52,2,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,8,1,52,,
52,52,52,52,6,52,52,52,52,52,52,52,52,1,3,52,52,52,52,52,52,52,52,52,52,52,4,52,52,52,52,52,52,52,52,52,5,52,52,52,1,6,52,52,52,52,52,52,52,52,52,52,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
52,52,52,52,52,52,52,52,52,52,52,52,4,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,2,4,52,52,52,52,52,52,,
52,52,52,52,52,3,6,52,52,52,52,7,4,52,52,52,52,12,52,52,52,52,52,52,52,2,52,52,52,52,10,52,52,52,52,52,52,5,52,8,52,52,52,1,52,52,9,52,13,52,52,52,,
52,52,52,52,52,6,52,52,52,52,52,52,52,52,5,52,52,52,52,52,52,52,52,52,52,3,2,52,52,52,52,52,52,52,52,52,52,52,4,52,52,52,52,52,52,52,52,52,52,1,52,52,,
5,46,36,26,13,27,1,8,36,38,34,16,42,22,28,11,17,41,45,23,9,44,52,41,30,10,18,15,2,39,47,20,6,41,41,51,41,29,3,37,19,4,24,21,17,12,50,49,43,7,31,48,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,2,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,3,52,52,52,52,52,52,52,,
52,52,4,52,52,52,52,52,52,2,52,52,52,52,52,52,52,52,7,52,52,52,1,52,52,52,52,52,52,52,52,52,52,52,52,5,52,3,52,52,52,52,52,52,52,52,52,52,52,52,6,52,,
52,52,52,52,52,52,1,52,52,52,2,52,52,2,52,52,52,1,52,52,52,52,3,52,52,1,52,52,52,52,2,52,52,52,52,52,52,1,1,1,2,52,52,52,52,4,52,4,52,52,52,52,,
52,52,52,2,52,6,1,3,52,52,52,52,2,52,2,52,52,52,5,52,52,52,52,52,52,5,52,52,52,3,52,4,52,52,52,52,52,1,52,7,5,52,52,52,3,52,4,52,52,52,52,52,,
52,52,52,52,52,4,7,52,52,52,52,10,52,52,52,52,52,52,52,52,52,11,52,52,52,1,52,15,52,52,6,52,52,52,52,52,52,52,2,52,52,52,52,52,52,9,52,52,52,12,52,52,,
