"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","Num Cands","Num Seats"
"5","3","16","15","19","8","4","1","12","2","6","7","18","11","9","17","14","20","10","13","20.0","1.0"
"4","5","20","15","6","3","2","13","1","7","8","16","11","10","12","9","14","skipped","skipped","skipped","nan","nan"
"7","9","20","15","17","6","3","1","13","2","4","5","16","18","10","8","12","19","11","14","nan","nan"
"5","6","20","17","16","4","2","1","15","3","7","9","19","13","12","8","10","18","11","14","nan","nan"
"6","4","19","16","17","5","2","1","15","3","7","8","18","12","13","9","10","20","11","14","nan","nan"
"6","3","17","16","19","5","4","1","11","2","7","9","18","14","10","8","12","20","13","15","nan","nan"
"4","20","15","2","1","13","8","16","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","5","17","19","16","7","3","1","13","2","4","8","18","14","11","9","12","20","10","15","nan","nan"
"7","5","17","18","14","4","3","1","12","2","9","10","15","19","8","6","13","20","11","16","nan","nan"
"6","4","19","17","18","5","3","1","14","2","9","8","16","12","13","7","11","20","10","15","nan","nan"
"20","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","9","17","16","20","4","3","1","13","2","7","5","18","15","10","8","12","19","11","skipped","nan","nan"
"4","5","17","16","19","6","3","1","13","2","7","9","18","14","10","8","11","20","12","15","nan","nan"
"5","7","18","16","17","3","4","1","13","2","6","9","19","14","11","8","10","20","12","15","nan","nan"
"3","15","20","6","2","1","10","4","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","17","12","15","4","3","1","14","2","9","5","18","13","11","6","10","20","19","16","skipped","nan","nan"
"4","6","16","12","15","1","8","2","5","3","7","10","13","17","9","11","18","20","14","19","nan","nan"
"6","8","16","15","18","2","3","1","13","4","5","9","19","20","12","7","11","17","10","14","nan","nan"
"7","4","18","16","19","8","3","1","13","2","5","6","17","14","11","9","12","20","10","15","nan","nan"
"3","8","19","20","4","5","1","2","7","9","11","6","12","10","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","5","20","18","15","6","3","2","13","1","7","9","17","19","10","8","12","16","11","14","nan","nan"
"5","8","10","17","19","6","3","1","14","2","4","7","16","11","9","12","20","13","15","skipped","nan","nan"
"7","8","19","16","18","4","3","2","13","1","6","9","17","15","12","5","11","20","10","14","nan","nan"
"8","6","16","11","12","5","2","1","10","4","3","7","17","14","15","9","18","13","skipped","skipped","nan","nan"
"7","6","20","14","4","2","1","13","3","8","9","10","5","11","12","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","12","11","19","20","1","3","5","13","8","6","14","15","10","9","16","2","17","7","18","nan","nan"
"8","7","20","17","19","3","4","1","13","2","9","6","16","14","11","5","10","18","12","15","nan","nan"
"6","5","17","18","16","4","3","1","13","2","7","8","20","15","10","9","12","19","11","14","nan","nan"
"4","3","20","1","10","2","5","11","7","6","9","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","5","20","15","17","4","3","1","14","2","7","9","19","13","12","8","10","18","11","16","nan","nan"
"7","4","17","16","18","6","3","2","14","1","9","5","20","13","11","8","10","19","12","15","nan","nan"
"4","6","18","16","15","5","3","1","13","2","7","8","17","20","10","9","12","19","11","14","nan","nan"
"8","9","18","16","19","1","4","2","14","6","3","7","17","13","11","5","12","20","10","15","nan","nan"
"5","8","17","15","16","7","2","1","12","3","6","4","18","19","9","11","20","10","13","skipped","nan","nan"
"6","5","19","16","17","8","3","1","13","2","4","7","18","15","9","10","12","20","11","14","nan","nan"
"7","6","20","4","3","1","2","5","9","13","10","8","12","11","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","7","19","15","17","4","3","1","13","2","9","6","18","16","10","5","12","20","11","14","nan","nan"
"5","4","18","15","19","8","3","1","13","2","7","6","17","16","10","9","12","20","11","14","nan","nan"
"7","8","19","16","17","5","2","1","14","3","9","6","18","15","11","4","12","20","10","13","nan","nan"
"5","7","20","16","18","3","4","1","13","2","8","6","17","14","11","9","10","19","12","15","nan","nan"
"5","8","18","19","17","4","2","1","14","3","6","9","16","20","10","7","11","15","12","13","nan","nan"
"4","5","19","15","18","8","2","1","14","3","7","6","17","16","10","9","11","20","12","13","nan","nan"
"8","7","18","16","19","2","4","1","14","3","9","5","17","13","12","6","10","20","11","15","nan","nan"
"5","7","20","16","18","8","4","1","13","2","6","9","17","15","11","3","12","19","10","14","nan","nan"
"7","6","17","16","20","4","3","1","14","2","9","8","18","13","11","5","12","19","10","15","nan","nan"
"5","4","20","16","17","3","6","1","13","2","7","9","19","15","12","8","11","18","10","14","nan","nan"
"7","5","16","19","18","3","2","1","14","4","6","9","17","12","10","8","11","20","13","15","nan","nan"
"4","5","19","14","17","9","3","1","13","2","6","7","18","15","8","10","12","20","11","16","nan","nan"
"5","6","19","16","18","8","3","1","14","2","7","4","17","12","10","9","13","20","11","15","nan","nan"
"6","5","19","16","18","4","3","1","13","2","8","9","17","15","11","7","12","20","10","14","nan","nan"
"8","5","18","16","17","4","3","1","13","2","6","7","19","14","10","9","11","20","12","15","nan","nan"
"5","4","20","16","17","7","3","1","15","2","6","8","19","14","11","9","12","18","10","13","nan","nan"
"5","9","20","15","19","4","3","1","14","2","7","8","18","16","10","6","12","17","11","13","nan","nan"
"7","5","20","17","19","6","2","1","12","4","3","8","18","14","13","9","10","15","11","16","nan","nan"
"8","4","17","19","20","6","3","1","13","2","7","9","18","14","10","5","12","16","11","15","nan","nan"
"6","8","17","18","20","4","2","1","14","3","5","7","16","13","11","9","10","19","12","15","nan","nan"
"4","5","18","14","17","7","3","1","13","2","6","8","16","12","10","9","20","11","15","skipped","nan","nan"
"6","4","17","18","16","8","3","1","13","2","7","5","20","14","12","9","10","19","11","15","nan","nan"
"1","5","6","18","19","17","2","20","7","11","9","3","15","10","16","13","4","14","12","skipped","nan","nan"
"6","4","18","16","19","8","3","1","13","2","7","5","17","15","10","9","12","20","11","14","nan","nan"
"8","5","17","15","18","9","3","1","13","2","6","7","19","16","12","4","11","20","10","14","nan","nan"
"7","4","19","17","20","6","2","1","12","3","8","5","18","13","11","9","10","16","14","15","nan","nan"
"6","10","17","16","18","5","3","2","11","4","8","1","19","15","7","9","12","20","13","14","nan","nan"
"5","6","19","20","17","9","3","1","13","2","4","8","16","14","12","7","11","18","10","15","nan","nan"
"20","2","3","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","6","17","16","18","4","5","2","12","1","3","8","20","14","10","9","11","19","13","15","nan","nan"
"5","6","17","16","19","4","3","1","13","2","9","7","18","15","12","8","11","20","10","14","nan","nan"
"20","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","5","17","16","20","4","3","1","13","2","6","9","18","14","11","7","12","19","10","15","nan","nan"
"6","4","16","19","17","5","3","1","14","2","7","8","20","15","10","9","11","18","12","13","nan","nan"
"7","4","17","15","18","8","3","2","13","1","5","9","19","16","11","6","10","20","12","14","nan","nan"
"5","6","18","14","17","8","2","1","16","4","3","7","19","15","20","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","6","18","16","17","4","3","1","14","2","5","8","20","13","11","9","10","19","12","15","nan","nan"
"8","6","17","16","15","7","4","1","12","3","5","2","18","20","11","9","13","19","10","14","nan","nan"
"5","4","19","16","18","7","3","1","14","2","9","6","17","13","11","8","12","20","10","15","nan","nan"
"7","5","20","15","18","6","3","1","13","2","4","8","17","16","10","9","11","19","12","14","nan","nan"
"5","6","20","16","17","8","3","1","13","2","4","7","18","14","9","10","11","19","12","15","nan","nan"
"5","4","20","16","19","8","2","3","18","9","6","1","17","10","14","7","12","13","11","15","nan","nan"
"6","3","20","16","17","7","4","1","13","2","5","9","18","15","10","8","12","19","11","14","nan","nan"
"7","5","17","16","18","6","3","1","14","2","8","4","19","13","10","9","12","20","11","15","nan","nan"
"5","17","16","19","18","4","2","1","12","3","6","7","14","15","11","8","10","20","9","13","nan","nan"
"7","4","20","16","19","5","3","1","12","2","8","9","17","13","10","6","11","18","14","15","nan","nan"
"6","5","20","16","19","4","3","1","13","2","8","7","18","14","10","9","11","17","12","15","nan","nan"
"6","5","18","16","17","4","3","2","14","1","7","8","19","15","10","9","11","20","12","skipped","nan","nan"
"7","6","20","15","2","5","3","1","4","8","12","13","11","9","10","14","skipped","skipped","skipped","skipped","nan","nan"
"5","7","20","16","17","6","2","1","14","3","8","4","18","13","11","9","10","19","12","15","nan","nan"
"6","5","17","16","18","4","3","2","14","1","7","8","19","13","11","9","12","20","10","15","nan","nan"
"7","3","19","16","18","5","4","2","14","1","8","9","17","13","11","6","12","20","10","15","nan","nan"
"7","9","15","19","17","4","3","1","13","2","8","6","18","20","11","5","12","14","10","16","nan","nan"
"7","3","18","14","15","4","1","11","2","5","16","13","8","6","9","17","12","10","skipped","skipped","nan","nan"
"6","4","19","16","17","5","3","2","14","1","7","8","18","13","10","9","12","20","11","15","nan","nan"
"7","5","18","16","17","4","2","1","13","3","6","8","19","15","10","9","11","20","12","14","nan","nan"
"4","5","17","16","18","8","3","1","13","2","7","6","19","15","11","9","12","20","10","14","nan","nan"
"5","7","19","16","17","4","3","1","14","2","12","18","13","11","6","20","15","skipped","skipped","skipped","nan","nan"
"6","5","19","16","17","3","4","1","11","2","9","7","18","14","13","8","12","20","10","15","nan","nan"
"6","7","18","14","19","4","3","1","13","2","5","8","17","15","11","9","12","20","10","16","nan","nan"
"4","3","18","16","19","5","6","1","13","2","9","7","17","15","10","8","11","20","12","14","nan","nan"
"3","6","19","16","18","5","4","1","15","2","9","7","20","13","10","8","12","17","11","14","nan","nan"
"4","9","14","17","18","5","2","6","11","3","8","7","20","13","12","15","1","19","10","16","nan","nan"
"8","4","16","17","19","6","2","1","15","3","7","5","13","12","11","9","10","20","14","18","nan","nan"
"6","4","16","17","19","7","3","1","13","2","5","8","18","14","12","9","10","20","11","15","nan","nan"
"4","5","18","16","20","6","3","1","13","2","8","9","17","14","11","7","12","19","10","15","nan","nan"
"8","4","16","15","18","5","3","1","17","2","6","9","19","13","11","7","10","20","12","14","nan","nan"
"8","6","18","16","17","4","3","2","14","1","5","7","19","12","13","9","11","20","10","15","nan","nan"
"3","8","18","15","19","4","5","1","13","2","6","9","17","16","12","7","10","20","11","14","nan","nan"
"7","4","16","17","18","5","3","1","13","2","6","8","19","15","10","9","12","20","11","14","nan","nan"
"6","4","17","14","18","5","3","1","13","2","7","9","16","20","11","8","12","19","10","15","nan","nan"
"6","4","18","15","17","8","3","1","13","2","9","7","14","19","11","10","5","20","12","16","nan","nan"
"5","19","16","20","6","1","14","2","7","8","18","13","10","9","11","17","12","15","skipped","skipped","nan","nan"
