rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,numSeats,numCands
15,27,17,19,5,27,1,12,27,14,28,31,5,9,27,30,32,9,27,10,7,4,13,30,19,27,3,27,20,14,8,2,1.0,32.0
32,1,32,32,32,32,32,32,1,32,32,2,2,32,1,32,32,3,32,32,32,32,32,32,32,32,32,32,32,3,32,32,,
32,32,2,32,8,32,32,32,4,32,32,5,11,10,32,32,32,32,32,32,3,32,32,32,32,32,13,32,1,32,32,32,,
8,32,5,20,2,23,19,3,4,10,28,16,7,1,11,25,26,18,14,15,21,12,24,27,32,32,29,13,22,9,17,6,,
18,7,3,12,15,29,14,1,1,11,30,22,10,16,4,32,9,17,8,25,6,13,31,32,23,26,21,27,28,19,20,24,,
32,32,19,9,32,32,32,8,5,20,13,32,32,3,11,14,15,32,17,32,4,32,18,16,7,12,32,10,19,2,1,32,,
10,17,13,23,3,16,28,4,1,9,20,22,31,2,14,29,15,7,12,19,8,24,18,27,30,21,26,6,11,25,5,32,,
32,32,27,28,23,32,32,25,31,32,24,24,32,32,29,3,32,32,26,32,4,32,32,32,32,32,1,7,30,32,32,2,,
5,32,32,32,8,8,15,16,14,4,14,25,29,13,29,23,18,1,8,32,20,27,10,13,10,25,17,32,32,3,7,32,,
32,32,4,32,32,32,32,1,2,3,32,32,32,32,32,32,6,32,32,32,32,32,32,5,32,32,32,32,32,32,32,32,,
5,23,30,29,21,24,20,9,26,7,14,18,19,4,30,25,6,3,16,10,12,28,13,15,8,22,17,32,11,2,1,31,,
1,2,4,4,4,2,4,3,3,1,2,4,1,1,3,2,2,1,2,2,4,2,2,2,2,2,4,4,3,1,1,3,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
17,4,30,27,23,31,7,18,3,19,1,14,5,2,15,21,12,24,32,20,16,22,13,8,28,11,26,9,29,10,6,25,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
30,32,7,27,19,5,21,22,2,16,8,24,20,17,25,4,11,18,1,14,15,13,9,3,23,12,26,10,6,28,29,31,,
4,32,32,32,1,32,32,32,5,14,32,13,32,2,12,32,5,4,32,32,19,32,32,32,7,32,32,32,5,4,4,32,,
32,5,4,13,32,16,15,1,7,3,32,11,32,32,32,19,2,32,18,8,10,32,20,17,12,32,6,9,14,32,32,32,,
27,5,30,28,31,3,32,11,4,24,12,22,2,6,23,18,17,20,15,21,9,14,13,16,26,19,18,1,18,10,25,29,,
1,32,32,1,1,32,1,32,32,32,1,2,1,32,1,1,32,9,32,1,1,32,32,32,1,1,32,32,1,32,32,32,,
12,32,32,20,2,1,1,9,2,15,10,9,10,3,8,3,3,4,1,32,22,25,5,3,15,25,18,32,20,5,6,20,,
32,32,32,32,32,32,32,8,5,32,32,32,32,1,32,32,32,4,32,32,9,32,32,32,32,7,32,32,32,2,5,32,,
3,1,9,32,2,32,32,32,32,32,32,32,32,32,5,32,10,32,32,7,6,8,32,32,4,32,32,32,32,32,32,32,,
16,11,12,31,4,14,2,15,9,18,13,7,1,6,24,25,3,28,19,17,27,21,26,23,8,20,30,10,22,29,5,32,,
6,32,13,9,32,32,32,32,1,3,32,32,7,32,2,32,32,32,14,5,4,11,32,32,32,15,8,12,10,32,32,32,,
32,32,32,32,32,32,3,4,32,2,32,5,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,32,32,32,,
12,31,19,16,21,27,18,23,2,1,26,5,7,8,3,9,10,11,20,24,3,25,22,30,15,28,14,29,17,4,13,6,,
11,32,6,32,3,32,4,3,32,3,32,3,3,31,5,32,32,16,32,32,5,32,32,32,7,9,3,32,32,4,11,11,,
21,10,6,25,3,2,1,8,4,18,16,12,5,20,23,19,11,22,7,26,27,29,31,14,17,28,32,9,30,13,15,24,,
32,32,9,6,32,32,32,16,5,3,32,17,1,32,4,13,14,32,10,15,7,19,11,12,19,32,18,8,20,32,32,2,,
29,26,4,14,1,28,32,27,3,21,31,12,17,30,13,22,20,9,7,16,19,15,23,10,2,11,5,24,6,18,8,25,,
32,32,32,32,32,32,32,3,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2,1,32,,
6,12,16,9,22,1,7,30,26,32,17,27,8,2,10,21,23,5,15,25,11,14,20,13,18,29,28,31,19,3,4,24,,
9,32,4,23,32,32,6,5,1,23,32,23,32,8,23,32,13,7,3,23,23,23,32,32,23,23,23,12,2,10,11,23,,
17,21,20,13,27,30,25,18,23,26,4,6,1,16,7,24,2,10,22,5,28,32,31,3,9,12,19,14,8,15,11,29,,
17,23,5,7,9,11,4,1,2,10,22,8,6,24,27,21,13,25,19,28,16,31,18,12,3,32,15,29,14,26,20,30,,
9,19,3,15,4,17,31,6,8,18,20,2,7,11,24,27,14,29,12,26,32,21,16,28,5,30,1,10,23,13,25,22,,
3,32,32,32,32,15,32,5,1,32,32,9,32,3,2,32,5,3,32,32,15,32,32,32,9,32,32,32,32,3,2,32,,
7,1,2,7,1,3,18,2,2,6,3,1,32,4,1,3,3,4,3,2,6,2,4,3,1,7,32,6,2,4,4,32,,
23,32,5,29,14,30,31,25,2,11,17,4,27,26,19,7,9,13,18,6,1,20,8,10,22,16,12,24,3,15,21,28,,
