rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,numSeats,numCands
4,6,17,5,2,17,17,4,2,17,8,5,3,17,3,7,1,Unknown,17.0
2,14,11,1,17,12,9,4,13,5,6,15,10,3,8,16,7,Unknown,
7,4,13,6,9,14,15,16,5,17,12,3,10,8,1,11,2,Unknown,
1,4,9,16,1,16,14,9,9,9,4,9,4,4,1,14,4,Unknown,
10,5,3,4,15,17,7,13,6,11,12,14,9,8,2,16,1,Unknown,
17,8,4,6,17,12,5,2,11,17,9,7,10,17,1,17,3,Unknown,
16,4,3,13,12,9,10,6,7,14,5,8,11,17,1,15,2,Unknown,
8,6,9,13,4,11,2,15,14,16,3,17,12,10,1,7,5,Unknown,
17,16,16,16,17,17,16,3,17,17,16,17,17,16,1,16,2,Unknown,
17,17,17,17,17,17,6,17,10,17,17,17,17,17,17,1,17,Unknown,
10,5,8,4,11,17,6,3,13,12,17,17,7,9,1,8,2,Unknown,
2,3,14,10,8,17,12,5,7,16,15,4,11,1,6,9,13,Unknown,
2,8,12,17,4,16,11,6,14,5,9,7,3,1,10,13,15,Unknown,
12,11,17,4,13,15,5,8,7,16,10,6,2,9,1,14,3,Unknown,
17,5,17,7,9,17,17,6,4,17,17,2,17,8,3,17,1,Unknown,
6,3,8,17,9,16,10,15,14,12,13,1,7,5,4,11,2,Unknown,
3,15,7,16,4,17,16,8,9,10,7,16,6,5,2,15,1,Unknown,
3,6,14,7,11,16,4,12,13,17,5,15,9,2,1,10,8,Unknown,
5,14,6,15,3,17,17,9,8,9,7,17,4,7,2,16,1,Unknown,
8,6,17,5,7,9,17,11,17,13,17,15,3,16,2,14,1,Unknown,
2,10,11,17,1,17,13,7,4,13,8,6,5,3,9,12,17,Unknown,
10,8,3,6,11,12,2,4,15,14,13,9,16,7,1,17,5,Unknown,
10,5,16,17,12,6,3,7,13,15,14,4,8,9,1,11,2,Unknown,
7,5,17,6,2,15,14,8,12,16,11,9,1,4,3,13,10,Unknown,
9,8,5,16,10,15,7,3,7,14,5,17,11,4,1,14,2,Unknown,
7,5,9,11,3,16,14,13,10,17,12,1,8,4,2,15,6,Unknown,
4,8,7,14,9,15,6,5,16,11,10,13,12,2,1,17,3,Unknown,
6,8,9,17,17,17,10,3,17,17,5,4,17,17,1,7,2,Unknown,
17,4,17,17,17,17,6,5,17,17,17,17,17,2,1,17,3,Unknown,
6,15,6,3,15,15,5,7,15,15,10,17,15,16,1,15,2,Unknown,
3,4,7,1,3,8,5,5,9,11,9,2,6,3,6,10,1,Unknown,
17,17,17,17,17,17,2,4,17,17,5,17,17,17,1,17,3,Unknown,
11,16,8,7,5,13,2,9,17,14,4,15,12,3,1,10,6,Unknown,
11,6,15,1,7,10,17,5,14,12,8,4,3,13,16,9,2,Unknown,
1,12,17,16,9,11,8,3,15,14,13,7,6,2,4,10,5,Unknown,
7,5,6,11,12,17,9,4,7,14,10,13,16,3,1,15,2,Unknown,
13,12,5,7,14,15,3,4,11,16,6,9,10,8,1,17,2,Unknown,
4,12,9,15,5,17,16,1,10,11,8,13,6,3,2,7,14,Unknown,
10,3,5,16,15,13,4,5,12,17,7,8,14,9,1,11,2,Unknown,
10,6,13,4,7,16,2,16,17,15,14,8,11,9,1,5,3,Unknown,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,Unknown,
6,15,7,17,4,13,3,11,16,8,10,12,9,5,1,2,14,Unknown,
