"rank1","rank2","rank3","rank4","rank5","rank6","rank7","Num Cands","Num Seats"
"2","4","7","1","6","5","3","7.0","1.0"
"2","4","6","1","7","5","3","nan","nan"
"2","5","6","1","7","4","3","nan","nan"
"2","5","7","1","6","4","3","nan","nan"
"3","2","7","1","6","5","4","nan","nan"
"4","3","7","1","6","5","2","nan","nan"
"2","4","7","1","6","5","3","nan","nan"
"2","4","7","1","6","5","3","nan","nan"
"1","3","6","2","7","4","5","nan","nan"
"3","5","6","1","7","4","2","nan","nan"
"2","3","6","1","7","5","4","nan","nan"
"5","4","7","1","6","3","2","nan","nan"
"2","5","6","1","7","4","3","nan","nan"
"2","5","7","1","6","4","3","nan","nan"
"2","6","7","5","3","1","4","nan","nan"
"2","4","7","1","6","5","3","nan","nan"
"3","4","6","1","7","5","2","nan","nan"
"2","5","7","1","6","4","3","nan","nan"
"2","1","6","3","7","5","4","nan","nan"
"2","5","6","1","7","4","3","nan","nan"
"2","5","6","1","7","4","3","nan","nan"
"4","2","6","1","7","5","3","nan","nan"
"2","5","6","1","7","4","3","nan","nan"
"2","4","7","1","5","3","6","nan","nan"
"4","1","6","3","7","5","2","nan","nan"
"2","5","6","1","7","3","skipped","nan","nan"
"3","5","6","1","7","4","2","nan","nan"
"2","5","7","1","6","4","3","nan","nan"
"2","3","7","1","6","5","4","nan","nan"
"3","2","7","1","6","5","4","nan","nan"
"2","4","6","1","7","5","3","nan","nan"
"2","4","7","1","6","5","3","nan","nan"
"2","4","6","1","7","5","3","nan","nan"
"2","1","7","3","6","5","4","nan","nan"
"3","2","7","1","6","5","4","nan","nan"
"2","4","6","1","7","5","3","nan","nan"
"4","2","6","1","7","5","3","nan","nan"
"2","4","7","1","6","5","3","nan","nan"
"2","4","7","6","3","skipped","skipped","nan","nan"
"2","4","7","1","6","5","3","nan","nan"
"7","1","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","4","7","1","6","5","3","nan","nan"
