rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,numSeats,numCands
37,37,37,37,37,37,37,8,37,37,37,37,7,37,37,37,37,2,37,37,37,5,37,37,1,4,9,37,3,37,6,37,37,37,37,37,37,1.0,37.0
37,37,37,37,37,37,4,37,37,37,37,2,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,3,37,37,37,37,,
37,37,37,3,37,37,37,37,37,37,37,37,2,37,10,37,37,37,37,37,6,37,37,37,37,37,37,37,37,37,13,13,9,37,37,37,5,,
37,12,37,37,6,37,37,37,3,37,37,1,7,2,36,37,37,37,10,37,5,4,37,37,13,14,37,37,37,37,11,37,9,8,37,37,37,,
37,17,5,3,21,23,13,11,6,25,15,9,1,29,18,32,30,33,22,14,7,34,10,31,36,35,12,20,24,4,37,28,26,2,8,19,27,,
37,37,37,37,37,37,37,3,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2,37,37,37,,
17,27,19,14,8,33,5,29,22,21,32,16,3,30,1,12,20,26,31,28,25,4,24,7,37,34,23,11,18,36,13,15,10,9,2,35,6,,
9,37,37,4,37,37,37,37,1,37,5,37,7,10,37,37,37,7,37,37,37,37,2,37,8,6,37,11,37,37,37,37,6,37,2,37,37,,
37,37,37,1,37,37,37,7,5,37,37,37,2,37,37,37,37,10,37,37,37,37,6,37,37,37,37,37,37,37,9,8,37,4,3,37,37,,
37,37,37,8,37,37,37,37,4,4,37,37,6,37,37,37,2,37,37,3,2,37,37,37,37,37,37,37,37,37,37,37,37,7,1,5,37,,
37,37,5,3,37,37,37,37,1,37,37,37,4,37,37,37,37,37,37,37,4,37,37,37,37,37,37,37,37,37,37,37,37,37,2,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,,
37,37,5,37,37,37,37,37,1,37,37,6,37,37,37,37,37,37,4,37,3,37,37,37,37,37,37,37,37,37,37,37,37,37,2,37,37,,
37,37,37,37,37,37,37,37,37,5,5,37,37,37,37,37,37,37,37,4,37,2,37,37,7,1,37,37,6,37,37,37,37,37,37,37,37,,
9,37,2,37,37,13,2,5,6,37,10,4,37,37,18,37,37,34,37,2,37,37,2,9,1,4,4,3,37,8,37,37,1,37,37,37,9,,
1,37,37,37,37,37,37,37,37,3,37,37,37,37,37,37,37,37,37,4,37,2,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
22,1,29,23,9,26,32,6,8,4,14,21,19,34,10,20,30,25,11,13,3,25,5,35,2,12,17,7,36,27,18,33,28,15,16,31,37,,
37,37,37,37,37,2,4,37,37,37,5,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,3,37,37,37,37,1,37,37,37,37,37,,
37,33,25,3,23,34,37,7,1,29,34,31,2,18,37,1,10,6,33,17,16,37,11,33,36,37,20,37,33,5,21,35,29,35,4,8,30,,
2,31,3,16,7,3,12,28,6,37,17,8,30,24,1,15,5,20,25,29,21,23,4,14,36,35,9,10,11,26,27,34,18,19,22,32,13,,
37,37,37,4,37,37,37,37,37,37,37,7,1,37,37,37,37,37,3,10,37,37,37,37,37,37,8,37,37,37,37,6,2,37,5,9,37,,
37,37,2,4,37,37,37,37,4,37,37,37,1,37,37,37,37,37,37,6,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2,37,37,,
1,8,32,36,7,16,9,31,21,27,34,26,17,15,2,28,29,6,24,13,22,5,30,18,3,11,33,12,14,23,25,37,4,20,10,35,19,,
37,37,37,4,7,37,37,37,8,8,37,37,6,37,37,9,37,37,37,37,3,5,37,11,37,37,10,37,37,2,37,37,37,37,1,37,37,,
37,17,37,2,17,37,37,7,5,37,37,37,6,37,17,37,37,18,17,37,17,4,1,17,17,37,37,37,37,17,37,37,37,17,17,37,17,,
6,26,29,24,25,32,5,7,15,27,13,3,28,33,4,31,21,20,35,1,34,11,2,14,30,19,36,8,37,23,16,9,10,12,18,22,17,,
37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,35,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,4,37,7,11,37,2,37,6,3,14,37,10,37,37,5,37,37,37,37,1,9,37,37,8,13,13,37,37,37,37,12,37,37,14,37,,
37,15,17,12,37,37,37,11,1,9,7,37,2,37,37,37,10,37,37,19,3,37,14,13,37,37,8,37,37,5,37,37,16,4,6,18,37,,
37,37,2,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,3,37,37,37,6,37,37,8,37,37,37,37,2,5,37,37,1,9,37,10,37,7,37,37,37,37,4,37,37,,
8,37,8,2,37,7,37,37,37,37,2,37,37,37,3,37,37,37,37,5,37,37,37,37,37,37,37,37,9,37,37,37,4,37,37,37,37,,
37,37,37,37,37,37,37,37,3,37,3,37,2,37,37,37,37,37,37,37,2,37,37,3,37,37,37,37,37,1,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,3,37,37,1,37,37,,
