rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,numSeats,numCands
28,28,28,28,4,28,28,28,28,28,28,28,28,28,28,28,28,1,28,28,28,28,28,28,28,2,28,3,1.0,28.0
28,5,28,28,28,28,28,4,28,28,28,28,1,28,28,6,28,2,28,28,28,28,28,28,28,3,28,28,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1,28,28,,
28,28,28,28,28,3,28,6,28,5,28,28,1,28,28,28,28,28,28,28,28,28,28,28,28,4,28,2,,
28,28,28,28,28,28,28,28,28,28,28,28,2,28,28,28,28,28,28,28,28,28,28,28,28,1,28,28,,
28,28,28,28,28,28,28,2,28,28,28,28,4,28,28,28,28,1,28,28,28,28,28,28,28,5,28,3,,
5,28,1,28,28,28,28,7,28,6,28,28,28,28,28,8,4,28,28,28,28,28,28,28,28,3,28,2,,
28,28,28,28,28,28,3,28,5,28,28,28,2,28,6,28,28,4,28,28,28,28,28,28,28,1,28,28,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1,28,28,,
28,5,28,28,28,28,28,28,28,28,28,20,1,28,28,25,28,15,3,10,28,28,28,28,28,28,28,1,,
28,28,10,28,28,28,28,28,28,28,28,28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
28,28,2,28,28,28,28,28,28,28,28,28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
3,13,28,28,28,14,16,28,28,28,28,28,2,16,11,8,28,6,9,10,28,16,5,11,7,1,16,4,,
28,28,28,28,2,28,28,28,28,28,28,28,28,28,3,28,28,1,28,28,28,28,28,28,28,28,5,2,,
28,28,28,28,28,28,28,4,28,28,28,28,28,28,28,3,28,2,28,28,28,28,28,28,28,1,28,28,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1,28,28,28,28,28,28,28,28,28,,
28,28,28,28,28,28,28,3,28,28,28,28,26,28,28,2,28,1,28,28,28,28,28,28,28,27,28,28,,
28,2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1,28,28,28,28,28,3,,
28,3,28,28,28,28,28,28,28,28,28,28,1,28,4,28,28,5,28,28,28,28,28,28,28,2,28,28,,
28,5,28,28,28,28,28,11,28,28,28,28,28,28,10,6,28,1,28,28,28,28,28,4,28,2,3,28,,
28,28,28,28,28,28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1,28,28,,
28,3,28,28,28,28,6,28,28,28,28,4,2,28,10,28,28,7,1,28,28,8,28,28,28,5,9,28,,
27,27,27,27,27,27,27,27,27,27,27,27,2,27,27,27,27,27,3,4,27,27,27,27,27,28,27,1,,
28,28,28,28,7,28,28,5,28,28,28,28,3,28,2,28,4,1,28,28,28,28,28,28,28,6,28,28,,
28,28,5,28,28,28,28,3,28,4,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2,1,,
28,28,28,28,4,28,28,3,28,7,28,28,28,28,28,2,28,1,28,28,28,28,28,28,28,6,28,5,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,2,28,28,1,28,28,28,28,28,28,28,27,28,28,,
28,28,28,28,3,28,5,18,9,2,28,28,4,28,15,10,28,14,12,28,28,28,28,28,28,1,28,17,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2,28,28,28,28,28,28,28,28,28,1,28,28,,
28,28,28,28,28,28,28,4,28,28,28,28,3,28,28,28,28,28,28,28,28,28,28,28,28,1,28,28,,
28,3,10,28,28,28,9,28,28,28,28,28,2,28,28,8,28,6,11,28,1,28,5,28,28,7,28,4,,
28,28,28,28,28,28,28,2,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1,28,28,,
21,5,13,16,19,22,28,2,27,26,18,17,25,7,24,23,12,20,4,11,14,15,3,11,8,1,11,6,,
28,28,28,28,28,28,28,28,28,28,28,28,4,28,28,28,28,28,28,28,2,28,3,28,28,1,28,28,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2,28,28,28,28,28,28,28,1,28,28,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1,28,28,,
22,18,16,25,17,15,26,1,27,23,3,10,1,20,28,8,11,21,6,13,12,19,6,9,14,7,24,2,,
28,28,28,28,3,28,28,28,28,28,28,28,28,28,28,2,1,3,28,28,28,27,28,28,28,2,28,28,,
28,28,28,28,1,28,28,28,28,28,28,28,28,28,2,3,28,28,28,28,28,28,28,28,28,27,28,28,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1,28,28,28,28,28,28,28,28,28,28,,
28,28,28,28,28,28,1,28,28,5,28,28,3,28,28,28,28,28,4,28,28,28,28,28,28,2,28,28,,
28,28,2,28,28,28,28,28,28,28,28,28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
28,28,28,28,28,28,3,5,28,28,28,28,28,28,28,28,28,28,28,28,28,28,4,28,28,2,28,1,,
28,4,1,28,6,28,28,5,28,28,28,28,28,28,3,28,28,28,28,28,28,28,28,28,28,28,28,2,,
28,28,28,28,7,28,28,1,28,28,28,5,4,28,28,6,28,9,3,28,8,28,28,28,28,2,28,28,,
