"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","Num Cands","Num Seats"
"8","1","11","4","7","5","16","14","12","15","13","10","9","6","2","3","16.0","1.0"
"11","3","9","7","16","2","15","4","14","10","13","1","5","8","12","6","nan","nan"
"6","10","14","7","5","1","15","8","4","9","12","3","13","2","16","11","nan","nan"
"5","8","3","12","16","6","14","2","9","7","15","1","10","11","13","4","nan","nan"
"5","8","9","13","11","7","16","6","1","2","14","12","10","3","15","4","nan","nan"
"4","13","2","3","14","7","16","15","6","10","8","9","12","1","11","5","nan","nan"
"2","12","6","8","14","5","15","4","10","13","7","11","1","16","9","skipped","nan","nan"
"4","8","13","5","16","7","12","1","15","11","10","3","6","2","14","9","nan","nan"
"1","12","14","8","3","16","13","6","11","5","4","2","15","9","skipped","skipped","nan","nan"
"1","3","11","7","13","6","16","4","5","14","15","8","9","2","12","10","nan","nan"
"2","3","14","8","13","7","12","16","9","11","6","1","10","5","15","4","nan","nan"
"1","7","8","6","2","5","14","3","12","15","11","9","13","4","16","10","nan","nan"
"4","13","2","15","9","5","10","16","14","6","11","3","8","1","12","7","nan","nan"
"2","15","4","13","12","3","16","1","6","7","8","11","10","9","14","5","nan","nan"
"1","10","4","13","7","2","15","12","14","11","5","6","9","3","16","8","nan","nan"
"15","7","4","9","14","6","16","3","10","11","8","5","13","1","12","2","nan","nan"
"15","16","7","9","13","6","4","2","11","12","3","1","5","10","8","14","nan","nan"
"3","13","4","5","14","8","15","1","12","16","11","10","9","6","7","2","nan","nan"
"5","11","15","9","12","2","16","1","8","3","14","6","10","4","13","7","nan","nan"
"5","13","2","7","9","3","15","14","16","6","8","12","10","1","11","4","nan","nan"
"6","10","12","9","16","1","15","4","14","8","3","7","11","2","13","5","nan","nan"
"1","15","10","13","14","5","16","2","6","11","9","4","12","7","8","3","nan","nan"
"13","7","5","14","16","4","12","6","8","15","10","1","9","3","2","skipped","nan","nan"
"7","3","8","12","5","2","16","15","6","9","11","1","10","4","14","13","nan","nan"
"11","5","3","8","13","4","16","10","15","2","6","7","12","1","14","9","nan","nan"
"6","8","15","11","10","2","16","4","1","9","14","3","13","12","5","7","nan","nan"
"13","4","12","11","10","2","16","7","8","5","1","9","6","3","15","14","nan","nan"
"1","14","9","12","8","7","16","2","6","15","5","3","11","10","4","skipped","nan","nan"
"8","14","4","15","2","10","1","9","5","6","3","16","skipped","skipped","skipped","skipped","nan","nan"
"1","13","15","8","10","6","16","4","11","12","7","2","3","14","5","skipped","nan","nan"
"4","10","13","8","11","2","15","1","9","12","14","6","3","5","16","7","nan","nan"
"1","10","11","6","14","7","15","3","9","12","2","13","5","16","4","skipped","nan","nan"
"2","1","10","11","3","6","7","9","4","5","8","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","12","8","6","15","2","14","1","11","10","9","3","7","13","16","5","nan","nan"
"1","12","10","15","13","5","16","4","14","7","9","2","6","3","11","8","nan","nan"
"1","5","15","12","10","3","16","6","2","13","9","7","4","11","14","8","nan","nan"
"6","3","12","15","14","2","11","1","13","7","10","5","8","4","16","9","nan","nan"
