rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,numSeats,numCands
9,8,5,12,7,10,1,6,3,4,11,2,1.0,12.0
7,12,3,11,8,10,1,6,4,5,9,2,,
7,8,2,12,9,11,1,6,4,5,10,3,,
3,10,2,12,9,11,1,7,6,4,8,5,,
7,9,2,12,8,11,1,6,3,5,10,4,,
10,7,3,12,8,9,1,6,5,4,11,2,,
7,10,3,12,11,9,1,6,4,5,8,2,,
7,8,5,12,9,11,1,6,3,4,10,2,,
7,10,3,12,8,11,1,6,4,5,9,2,,
10,7,5,12,8,9,1,6,3,4,11,2,,
9,8,5,12,7,11,1,6,4,2,10,3,,
8,7,2,12,9,10,1,6,4,5,11,3,,
7,8,5,12,9,11,1,6,4,3,10,2,,
7,9,3,12,8,10,1,6,5,4,11,2,,
8,7,4,12,9,11,1,6,5,2,10,3,,
8,9,3,12,7,11,1,6,5,4,10,2,,
6,10,4,8,9,11,1,7,3,5,12,2,,
8,9,3,12,7,11,1,6,4,5,10,2,,
7,9,4,11,8,10,1,6,3,5,12,2,,
7,9,5,12,8,11,1,6,4,2,10,3,,
7,9,3,12,8,11,1,6,5,4,10,2,,
9,8,3,10,7,11,1,6,5,4,12,2,,
7,12,3,10,8,9,1,6,4,2,11,5,,
8,9,4,12,7,11,1,6,3,5,10,2,,
9,8,3,12,7,11,1,6,4,5,10,2,,
9,7,4,11,8,10,1,6,5,3,12,2,,
7,8,4,10,12,9,1,6,3,5,11,2,,
8,9,5,10,7,11,1,6,3,4,12,2,,
8,9,4,12,7,11,1,6,3,5,10,2,,
9,8,5,12,7,10,1,6,4,2,11,3,,
7,8,3,12,9,11,1,6,4,5,10,2,,
8,9,3,11,7,10,1,5,2,6,12,4,,
11,7,3,8,9,10,1,6,5,4,12,2,,
9,11,5,7,8,10,1,6,3,4,12,2,,
7,9,3,12,8,10,1,6,5,4,11,2,,
8,9,4,12,7,12,1,6,3,5,12,2,,
8,9,4,12,7,10,1,6,3,5,11,2,,
8,9,4,10,7,12,1,6,5,3,11,2,,
7,11,3,10,9,8,1,6,5,4,12,2,,
9,8,4,10,7,12,1,6,3,5,11,2,,
9,8,3,11,7,10,1,6,5,4,12,2,,
7,8,4,11,10,12,1,6,3,5,9,2,,
