rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,numSeats,numCands
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1.0,20.0
20,18,7,13,9,12,10,8,1,19,17,5,14,11,16,15,4,6,3,2,,
20,18,5,9,7,12,8,6,1,20,17,4,13,11,16,14,15,10,3,2,,
15,6,11,20,16,4,7,18,2,12,18,8,19,17,11,14,13,1,6,2,,
7,5,6,20,18,11,8,17,1,16,12,4,13,14,10,19,9,15,2,3,,
20,7,20,20,20,3,10,20,1,20,8,20,11,9,20,20,20,5,6,2,,
6,18,18,18,10,2,9,9,18,11,9,18,1,20,18,9,18,3,19,4,,
15,9,16,12,19,3,14,18,1,20,17,2,7,10,4,13,11,8,5,6,,
7,13,7,1,10,19,1,11,20,4,7,7,3,1,8,8,1,7,15,5,,
20,18,3,9,7,13,11,6,1,20,16,4,12,11,14,15,17,10,5,2,,
20,6,9,8,20,2,10,20,4,16,15,3,13,14,12,20,11,5,1,7,,
20,20,20,20,20,3,20,20,1,20,7,5,9,8,6,20,20,20,4,2,,
12,18,9,15,19,4,7,14,2,11,13,3,17,16,10,20,5,1,8,6,,
19,7,18,12,10,13,5,16,1,15,9,8,6,4,11,17,20,14,3,2,,
20,8,15,18,16,3,5,11,1,19,14,7,12,10,6,13,17,9,2,4,,
19,13,19,19,19,19,19,19,1,18,16,19,12,14,20,19,19,15,17,2,,
15,11,10,4,17,6,7,19,2,13,12,1,18,14,9,20,16,8,3,5,,
20,20,20,20,20,2,20,20,1,7,10,8,20,9,4,20,20,6,3,5,,
6,17,13,11,2,18,9,1,15,13,7,14,4,3,16,5,8,19,10,20,,
19,14,10,20,18,3,8,7,1,17,6,13,16,9,4,15,11,5,2,12,,
20,15,19,14,19,3,4,5,2,20,10,10,10,6,10,15,13,12,1,11,,
18,14,9,19,12,7,20,10,1,15,5,6,17,13,4,16,11,8,3,2,,
15,18,8,20,14,6,19,3,1,12,11,2,9,16,4,17,5,13,7,10,,
20,20,20,20,20,5,20,20,3,20,20,2,20,20,20,20,20,20,4,1,,
17,7,6,18,20,12,19,1,10,16,13,11,15,14,3,2,4,9,5,8,,
13,12,8,14,20,4,5,11,1,19,20,2,20,20,9,10,7,20,6,3,,
20,8,18,7,16,3,2,15,12,10,14,11,4,13,9,19,17,5,1,6,,
18,10,15,19,12,14,17,13,1,20,3,2,9,11,7,5,4,16,6,8,,
13,8,14,16,7,12,11,10,4,17,1,5,20,9,15,18,2,19,3,6,,
20,5,8,15,17,6,19,13,1,9,10,7,14,17,12,11,19,4,3,2,,
20,20,8,20,20,4,20,20,1,20,20,2,20,20,3,20,9,6,5,7,,
20,17,12,13,14,5,11,15,4,18,9,1,8,7,6,19,16,10,3,2,,
3,8,7,10,18,6,9,17,2,12,15,1,14,19,13,16,11,20,4,5,,
20,5,17,13,12,3,6,17,4,8,18,10,19,17,9,11,17,7,2,1,,
20,20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,,
13,12,7,20,14,2,8,11,1,19,18,6,17,15,10,16,9,5,3,4,,
15,19,17,9,18,4,1,16,2,3,6,10,8,20,11,14,5,7,13,12,,
16,4,10,17,20,6,9,20,3,11,13,5,14,18,6,17,12,1,7,2,,
13,16,4,11,12,14,2,18,5,20,19,1,9,8,3,17,6,15,7,10,,
18,5,17,9,14,11,8,15,1,6,16,10,19,20,7,13,12,4,3,2,,
13,10,7,14,15,3,6,19,4,11,17,1,18,16,12,20,9,8,2,5,,
20,20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,4,20,,
20,20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,,
18,15,19,11,12,4,9,13,1,14,10,7,20,6,5,17,16,3,8,2,,
12,18,2,18,11,7,12,18,8,9,20,3,12,13,6,10,12,1,5,4,,
11,7,13,9,13,8,1,16,5,15,20,4,19,18,10,17,2,14,3,6,,
19,19,8,19,19,2,4,19,1,11,7,10,3,9,12,19,19,20,5,6,,
20,20,11,12,20,4,20,20,1,20,2,6,9,7,3,8,20,20,5,10,,
16,8,13,18,19,7,11,20,1,17,12,5,6,15,9,10,14,4,3,2,,
20,18,4,12,9,11,7,6,1,20,16,5,14,10,15,17,13,8,3,2,,
19,10,7,17,18,5,13,12,1,16,11,14,9,15,8,20,4,2,6,3,,
