"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","Num Cands","Num Seats"
"11","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","11.0","1.0"
"7","10","3","1","8","4","5","11","9","6","2","nan","nan"
"1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","8","4","1","5","7","3","10","9","11","6","nan","nan"
"11","4","5","8","1","2","9","10","6","3","7","nan","nan"
"10","7","9","8","6","1","4","5","2","3","11","nan","nan"
"1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","4","1","6","11","5","9","7","8","2","skipped","nan","nan"
"2","11","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","2","1","4","8","10","9","11","5","7","6","nan","nan"
"4","6","3","10","2","1","11","5","7","9","8","nan","nan"
"11","4","10","7","3","1","9","5","6","8","2","nan","nan"
"1","11","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","11","2","4","3","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","2","5","11","6","3","skipped","skipped","skipped","skipped","nan","nan"
"2","5","11","7","6","1","10","8","9","3","4","nan","nan"
"11","5","9","3","1","10","2","7","8","6","4","nan","nan"
"1","4","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","3","5","6","1","4","11","skipped","skipped","skipped","skipped","nan","nan"
"1","9","5","2","6","3","4","10","11","skipped","skipped","nan","nan"
"1","5","7","8","9","2","10","11","6","3","4","nan","nan"
"1","9","5","6","10","11","4","2","8","3","7","nan","nan"
"1","11","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","11","5","3","6","2","1","skipped","skipped","skipped","skipped","nan","nan"
"1","4","6","11","2","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","11","1","7","4","6","3","5","skipped","skipped","skipped","nan","nan"
"4","8","2","1","9","3","5","7","10","11","6","nan","nan"
"7","4","8","9","1","2","11","5","6","3","10","nan","nan"
"6","3","10","8","5","2","11","4","9","1","7","nan","nan"
"1","11","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","2","1","9","3","10","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","11","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","11","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","6","3","10","11","2","1","7","8","5","9","nan","nan"
"1","11","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","4","3","2","11","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","11","2","5","4","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","2","4","3","8","9","11","5","7","6","skipped","nan","nan"
"7","6","11","9","1","2","10","5","4","3","8","nan","nan"
"4","3","5","11","6","1","2","skipped","skipped","skipped","skipped","nan","nan"
"2","6","8","9","1","3","7","11","5","10","4","nan","nan"
"7","1","11","10","3","9","2","8","4","5","6","nan","nan"
"3","11","2","1","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","7","8","3","5","2","4","11","9","10","6","nan","nan"
"1","3","4","5","8","9","11","7","2","6","skipped","nan","nan"
"2","1","11","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","10","1","6","5","4","11","9","8","3","7","nan","nan"
"2","11","3","4","1","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","11","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","11","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","4","1","6","11","5","8","3","7","skipped","skipped","nan","nan"
"11","1","5","4","2","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","6","1","2","9","3","7","11","8","4","skipped","nan","nan"
"11","10","3","5","6","2","9","1","7","8","skipped","nan","nan"
"1","8","3","7","5","2","11","6","4","skipped","skipped","nan","nan"
"1","11","4","3","2","5","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","6","11","5","4","1","3","skipped","skipped","skipped","skipped","nan","nan"
"2","8","11","10","9","4","1","6","7","5","3","nan","nan"
"3","1","11","2","10","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","11","3","2","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
