"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","rank21","rank22","rank23","rank24","rank25","rank26","rank27","rank28","Num Cands","Num Seats"
"27","14","28","15","23","6","8","24","12","1","22","19","10","20","17","2","13","5","25","7","18","9","26","21","16","3","11","4","nan","nan"
"21","11","26","9","4","5","15","18","14","3","7","17","13","23","10","2","24","8","25","27","20","19","28","12","16","1","22","6","nan","nan"
"25","7","20","12","5","4","2","6","28","10","3","15","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"27","28","5","2","26","10","3","25","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","28","8","9","4","3","2","6","7","10","14","5","13","11","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","6","5","2","3","10","28","14","8","13","16","1","7","11","18","9","15","12","4","17","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","2","1","28","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","28","5","23","27","4","9","1","11","13","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"28","7","4","6","13","9","2","10","12","3","5","11","1","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","6","28","17","1","3","10","5","16","9","20","18","4","19","15","12","14","8","2","7","11","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"28","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"22","6","28","7","9","4","19","17","12","1","5","23","21","26","11","2","15","8","24","25","20","18","27","13","14","3","16","10","nan","nan"
"15","10","18","2","6","11","19","12","1","8","9","5","4","25","21","22","24","23","16","20","14","7","13","3","skipped","skipped","skipped","skipped","nan","nan"
