"rank1","rank2","rank3","rank4","rank5","Num Cands","Num Seats"
"2","5","3","1","skipped","5.0","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","skipped","skipped","skipped","skipped","nan","Unknown"
"4","1","3","2","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"1","3","2","5","4","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","2","3","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"3","2","1","4","5","nan","Unknown"
"4","3","5","2","1","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"3","5","1","2","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","skipped","skipped","skipped","skipped","nan","Unknown"
"3","1","2","5","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"1","3","5","2","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"2","3","1","4","5","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"1","4","3","5","2","nan","Unknown"
"2","3","1","5","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"4","3","2","1","5","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"3","5","2","4","1","nan","Unknown"
"2","1","3","5","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"2","1","4","5","3","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"1","2","5","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"1","5","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"2","1","5","4","3","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
"5","1","skipped","skipped","skipped","nan","Unknown"
