rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,numSeats,numCands
52,52,52,1,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,1.0,52.0
3,52,52,52,30,52,52,52,52,52,52,52,52,5,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,2,52,52,52,52,52,52,52,52,52,15,52,52,52,52,1,52,52,20,52,,
4,52,52,52,3,52,52,52,52,52,52,5,52,52,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,8,52,2,52,52,52,52,52,52,52,9,52,52,52,7,52,52,52,6,52,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,2,52,52,52,52,52,52,52,52,52,1,52,52,52,52,52,52,52,52,52,,
52,9,52,52,52,52,52,52,11,52,6,52,52,52,52,52,52,52,5,52,52,52,52,52,52,1,52,52,52,2,52,3,52,52,8,52,52,52,4,52,52,52,52,10,52,52,7,52,52,52,52,52,,
52,52,52,52,4,2,52,52,52,52,52,1,52,52,5,52,52,52,52,52,52,3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,11,52,52,52,52,6,52,52,52,52,52,52,52,52,52,,
10,52,52,15,52,52,15,52,5,52,52,52,52,5,52,52,52,52,52,52,52,52,52,52,52,1,52,10,52,1,52,52,1,52,10,52,52,52,15,52,52,52,52,15,52,52,52,52,52,52,52,10,,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,
5,52,25,33,17,31,46,33,22,11,52,13,14,3,8,15,48,36,35,50,37,16,45,46,12,1,33,7,18,2,34,44,32,18,24,41,39,23,33,21,44,49,18,4,44,19,9,6,38,40,36,10,,
52,7,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,2,52,4,52,52,52,52,1,52,52,52,52,52,52,52,52,52,52,5,52,52,6,52,52,52,3,52,,
